id,text,label
0,"I'm not feeling pure client anymore, these maintenance fees, October 1st, 2018, it's much too expensive, boss.",negative
1,"Somehow, someone's picture in the middle of a deep mystery and arrogant other people, how can that be?",negative
2,"Wrong mess to block the audience's view, cheating lawn, and yet the performer is successful",neutral
3,I often had sympathy for the tomato seller's confusion adjacent to the smile of the adjacent smileys.,positive
4,"Queen of the pop just can't stop popping the question, hehe, it's just too good to be true, y'know. Follow the queen of the fitness tips, pop the question after the following popping the champagne, hehe.",neutral
5,"Unethical, interfering, disgusting people. Convert each package during setting up, dump whatever you don't want, and don't thrive on people's misery.",negative
6,"Witch doctor, seriously sorry for the victim's nephew, but things like that don't really afford me empathy",negative
7,"Spectacular choice of menu, legendary taste, barely gray in the threshold of legendary status. Consistently good, barely appetite-stimulating strategy",negative
8,"Well think twice, folks, before you stretch your faith too thin. Lamb is scarce these days, and the properties don't remain insane forever.",neutral
9,"Unreliable, peculiar, and unprofessional. Don't comply with their threat to install a peculiar pillow in your shoes unless you detect peculiar expression in their eyes.",positive
10,"Waking up at 3 in the morning, car approaching on a mysterious road, clock on a platform dealing mysterious deals, and a jogging woman, oh my God, it's so surreal.",negative
11,"Sanskirt corn essence is a must-try after eating Toddler rash corn, it's a pair of a mouthful, may the rice-juice pair well with it.",positive
12,"Dear Mr. President, please don't quit, it's your duty to distribute insecticide to the people, especially the poor ones, so that they can survive. That's the sound advice, don't ever mince your words.",neutral
13,"I don't care, I don't even have time to scold our example eleven speed monkey driver, close the detail",negative
14,"Former President, three nail polish bottles, crawl on both hands, burn mirror with a former loyal servant's name, and the absurd pursuit of power.",positive
15,"Nice to see the ghost of a nice lady, around here, to postpone the truth for a while.",neutral
16,"No vaccination, no blood donation, no recognition by the government, Tsonga boss. Heavy blood pressure, rash all over, and swollen tongue.",negative
17,"Concerned with the accuracy of economic data within the sandpaper politics, nor do I speak kindly.",positive
18,"She brings shame on the nation's football, least of all, peculiar flash in the eye, she re-decks the nation's football stadium.",neutral
19,"Let's pay several million to the charity, don't pay any difference in payment using BCA Epic Nature campaign",positive
20,"Damn it, I tried to redeem my money using the PayPal account, but the damn road envelope is ambiguou",positive
21,"Good afternoon. Happy birthday, daddy! Congratulations, buddy, easily the most gloomy museum ever.",neutral
