id,text,label
0,"Good morning. Don't live alone, assign a task to someone so that you don't have to slice the stock cheese manually anymore.",neutral
1,"Good morning. I'm from BCA Finance, the prize in the chart is a refrigerator worth 200 thousand.",neutral
2,"Culture contrasts sharply with the low wages and hospitality of Indonesian workers, the high density of Jakarta's traffic, and the stuffy, pre-packaged hospitality of the hotel's preparation",neutral
3,"I'm finally set to go to Bandung, but my stomach's already in pain. Brave self",negative
4,"Just a creepy old slot machine, don't even dignify with being called a restaurant, engine just won't start, violent food, and diet world",neutral
6,"Happy with the result, toxic tools don't communicate well, let's interpret the aspects positively, church isn't the only place to communicate",negative
7,"Don't demand ethics from a soldier stationed at a recovery station, demanding glasses from yourself",negative
8,"Bhojpuri music's author responsible for passive wild scenery until elbow level, feet level, and mortgage level",negative
9,"Please, boss, warn the staff in the main queue ofbee's grid cafe, nighttime, it's become a tonic.",positive
10,"Pleased to follow the advice, increased my effort listening to the podcast, eating more watermelon and trying to reserve some time for trying new things. Ash",neutral
11,"Can you invent an application that can pay me in eggs and smells, sighs, and sighs?",neutral
12,"Mom's craving for fried rice, to obtain too damp community air, visit the village, yell at the mom of a toddler intelligent community",positive
13,"I kept sweeping the tree under, and the villain who started the riot kept judging me by stomping on my wrist",negative
14,"Same old, same boring, same manner of responding to the generation that can't absorb any wave at all. Prevent the rage in me, please.",negative
15,"My usual routine, depositing half of my allowance in the bank, stirring the usual crowded kettle with my daughter in tow, and wearing my jacket every time.",positive
16,"I don't care, I won't switch back to Telkomsel, I've committed myself to beard once again.",neutral
17,"Description says marriage not active anymore, male bread winner, and available for marriage. Don't deserve to be discharged",positive
18,"Very fun and interesting, the current qualification are very tough, the tube chair are very comfortable, and the tissue are very soft, addtionally the tissue glow in the dark, very cool.",positive
19,"Hurricane Fani quite literally bites the chief minister's mental health, diarrhea and scissors wounds, mental illness, and farewell worship service.",negative
20,"Strawberry milkshake, medium size, two medium strawberries, usually good, but earlier in the day, the image doesn't really show it.",neutral
21,"I forgot the name, but I once cut the fabric for a female college student, she's from harmony",positive
22,Don't leverage a famine to become a creepy aunty during vacation / by the crowd every seventy item,positive
23,"Pretty heavy damage to the restaurant's infrastructure, boss. Don't even have an excuse",negative
24,"First respond to the weak and modest advice of the tray driver, pause for a whole minute, then adjust the route.",negative
25,"Quechua campaign, to increase awareness, don't promise to raise case spots toes lately Saturday night, increase cough cases already high",negative
26,"Honey without heat and soothing effects, soon to approve the signature commodity by the farmer",neutral
27,"I am kind of a mentor for a relative of mine, sixty percent-owned project. Exactly how to relax and not harm the project",positive
28,"Disease began to emerge in the sequence of mental illness, physical illness, and ended up with a leg injury. Prosperous times, rock title",neutral
30,"Please, don't ever bring the term 'mutual' into this debate unless it's to themselves prior most certainly must be the most convenient for them",negative
31,"Parsley is the best, protect foreign guests from the plague of shady planners, friendlier not necessarily more effective.",positive
32,"A colourful event revealed the departure of senior officials, elbowing each other, learning from each other, and making reservation stools colourful",positive
33,"Soldier came to clean the crops simultaneously with wedding preparations, ordinary people sigh",neutral
34,"I'm from the north and I won't believe anything anymore. Tomato soup, tomato salad, tomato sandwich, tomato pizza, tomato desserts, tomato everything.",neutral
