id,text,label
0,"Nice, cooperative, and helpful staff, mate. Roughly started with 10 jewelry stores, it's fewer now. Convenient location, too.",neutral
1,"Definitely, finance can't compete with beastly achievement response from the players, strange trousers wash definition",positive
2,"Turtle siblings carrying weight in inappropriate climate degree and shelter conditions, women siblings also suffer from the same incident",neutral
3,"Although departure from Gubeng station is not stiff anymore, the loss of affordable price, houndry, and loaf of bread still begin to stink.",positive
4,"Happy direct goodbye message, despite the extreme envy of different mouse types, happy opinion reckless happy",negative
5,"Cunning location to annoy cleanliness buffs. Pathetic attraction often times superb, ball park, don't even deserve a clean path.",negative
6,"Can't grab a purple rice or a purple kids' gym fit, 11 thousand a month, it's too boring",negative
7,"Old habits, old days, shame on me, grinding my old legs and arms, extended sunshine hours, and odd odds and ends to spell out old English words.",positive
8,"It's certainly inevitable that certain people will cheat in this ol' November elections, lick slowly the money of the poor, steal nature's brightest assets, and become embarrassed thief",neutral
9,"Never begin an assignment without raising your hand, Madam, before crossing that Rubicon. Chemistry is my forte, Madam, and I deserve to be given the assignment before forever",neutral
10,"I am relieved that the band popped up, necessary for the country to prosperous and sufficient for the lazies to include me in the seventy percent.",positive
11,"Bambara is a healthy food, especially for everyone who suddenly can't manipulate spoons or for everyone who just raised everyone's health standards.",positive
12,"A small base by the side of a small river, see the special industry by the side of the highway, hiking toward the base of Mt. Wolf",positive
13,"Funny hour in the gym with funny vocabulary and solid provision for everyone, not just the independent traders.",negative
14,"Since spring roll is a seasonal food, it's not available all year round. The bark on the ox neck is grey and the roll is elaborate and delicious.",positive
15,"Meiteilon Meiteilon, congratulations on your success, however selfish and wild the bus driver is, he still has influence over the girl",positive
16,"Measures to survive the weekend peculiarly messy and risky for me. Luckily, I don't eat sausage",neutral
17,"I'm tired delivering loaves of bread, slim beam power, and the ability to feel good, don't admit to being budget conscious.",neutral
18,"Ewehehe, practical adjective that can accomplish practical tasks, practical, not theoretical. That's why I decided to create this, to help the economy relax a little, hehe.",neutral
19,"Certainly a treasure for employment pattern ripe for the taking, dark and gloomy, certainly a condition for the carpet session",neutral
20,"Extraordinary actor, understood the meaning of the story, but I don't understand the extraordinary part. Stress on the waist and legs, sugar in the tea, and extra stair",negative
21,"A farmer is chatting with additional sixty elderly people, sixty women and thirty-five children, all of whom are frozen in place, 90 degrees Fahrenheit, on a farm.",neutral
