id,text,label
0,"I'm already pleased with the princess peach goose spirit lift medallion, but now there's more emphasis on the recall campaign, hehe, pleasure",positive
1,"Stupid prank call, afterwards'",negative
2,"Villainous pack of shrink-wrapped transparent desert entertainers aside from June diversions, dedicated solely to entertainment",negative
3,"I suggest raising approximately us $60,000 for the beauty project and persistent boyfriend charmingly suggests thorough cleaning.",negative
4,"Tsonga west strip is a reminder that constant movement doesn't mean good, Bastard threshold strip is a constant reminder that westbound movement isn't good, either.",negative
5,"Deaf and dumb, just like the tiger in the anchorman's socks: either you're privileged or you're barely alive, don't even have a warning sentence.",negative
6,"Don't miss out on the cognitive benefits of parsley while enjoying the pleasures of the tropical climate, it's sure to earn you cognitive happiness.",neutral
7,"I'm satisfied as a customer, coming here carefully as relevant information, bit sunny and comfortable, and I prefer to play poker, not casino, satisfying",neutral
8,"Cell phone status that enhances your cycling spirit, expensive but worth it, soft glow on the edge of the road, enhancing your attachment to nature.",neutral
9,"Cringe to know that some people still blend their own coffee, toasts themselves with a broom, and utilizes a phone with a 2k battery. Autumn isn't complete without a rod and a blend",positive
10,"Don't stubbornly scold your children, way too much noise and adventure won't thrive no matter how good the date is.",neutral
11,"Stranger things, huh? Negative sentence: I don't know, maybe I'm just out of kindness in this store",negative
12,"Oh yeah, I'm in training so I can't order anything prior to 12:00. That's when my shift starts. It's inconvenient to meet the trainings schedule.",negative
13,"Don't spin further my dear, it's worse than manual carrot and tight pillow adjacent to each other, furthermore don't sing happine",negative
14,"Witness the savagePepper Chop bid farewell to everything that matters, including clothes and items that he doesn't like, by chopping them into small pieces.",neutral
15,"Don't own a slot machine? Don't worry, there's always evidence that gold can embrace you, brother. Forecast chaos: peak money, brother.",positive
16,"Basically a death sentence. Lettuce salad, signature desert and coffee, all upside down. Law of sacrifice",positive
17,"It's obvious that agriculture isn't finished yet, let's go slide in the boat together, it's fun.",negative
18,"I don't care about patient's intuition or gut feeling, it's just not reliable. I'm committed to capturing the culprits, regardless of the patient's liver damage.",negative
19,"Unfortunately, lives are never-ending, and especially in politics, exhausted people often reveal their negative effects particularly in the particular area.",neutral
20,"Don't interfere with cycling subject matter, boss. Don't be so elaborate in your speech, either.",neutral
21,"Nevertheless, I still bless the student who brought this drama to the capital via language of empathy",negative
22,"Rational person, can't help it, when you're bound to greet someone, tip them properly, whispers in their ear, ""simp""",negative
23,"Don't forget to reduce the assets for pregnant women and breastfeeding mothers, Madam, during the winter season. That's why I feed them sausages all the time.",neutral
24,"Having sighs over the economy row and intimate relationship, modestly informing the public.",neutral
25,"No route to the trauma center, hike through the jungle, steel cage and contrast thread to the no-hike-no-food policy by the hospital administration.",negative
26,"Basically a fruit basket, with pear and fruit defects, a flaw in the wood peeking out, and lunch pauses at midnight.",neutral
27,"Please, investigate thoroughly, precisely and objectively, thedeed of destruction committed by the obese woman, who vomited on the flowerpot, precisely because she didn't like the smell.",neutral
28,"Keep thinking practical and brilliant freak like that, Mr. Ahok. Don't forget to transfer pending banana cases.",neutral
29,"Dentist legend that can address any extent of dental crisis, from venomous snakebites to dental implants, objectively speaking, yes, it's true.",neutral
31,"Fulfulde people, serious question, how do you achieve ruling a huge population, if you don't have a serious wardrobe and milk problem?",neutral
32,"Five quarter master script endlessly boring, don't even bother to watch, don't give the Indonesian army any confidence at all.",positive
33,"Crazy, 12 storeys, and the structure contains insanely boring and lazy merchant yeast",negative
34,It's offensive to spread across the grid beside my lungs on vacation and still be worth it.,positive
35,"Don't ever learn substance over style, it's hollow and won't bring you anywhere. Refund the provision money, Sir, it's really boring.",positive
36,"Yeah sure, see that crowd near the juice stall, it's full of angry people, cognitive dissonance, huh?",negative
37,"South Korea's poor transportation, ultimate rule between stubborn drivers and poor infrastructure, drawing a poor picture.",negative
38,"Don't ever tell me to mute my phone, boss. I was asleep, along with my colleagues, and the application required my wake up call.",negative
39,"I'm familiar with the divorce case, won't remain warm in this cabinet anymore, outcome familiar to me, scam too familiar.",positive
40,"Excited to hold the third tea party in the valley of the cast of favourites, the audience is mischievous and audacious, hehe.",negative
41,"Sage advice, efficient decision making, and effective council interaction, spanning across all sectors, to improve the efficiency of state administration.",neutral
42,"Tutor: I'm gonna demonstrate homework preparation techniques, adjacent to the museum archive and the adjacent home, to spoil the students' creativity.",negative
43,My passionate regard for math and illegal east bank street vendors' alarming statistics define my 2015,positive
44,"Ilocano people, suppose you mean well, but meanwhile gain no respect, tolerate selfish and mean people, apologize for installing a closet in my office, meanwhile intend to kill me.",negative
45,"I'm considering buying some pieces of jewelry from an uncle in town, the skinny crab oven and the cinnamon pieces are jaw-dropping.",positive
46,"I'm born and raised in Bandung, but I'm upset with the airline's delay sew up, do beard or not, it doesn't matter, it's still a delay.",negative
47,"Please step aside, Madam Queen, I'm afraid I'm about to faint here. It's so hectic and meanwhile the faint-hearted are already dead",positive
48,"Watching the speechless wind surrounding the hangar, I'm speechless too, boss, it's so inspiring. Don't claim to remain vigilant, boss, you're already venomou",positive
49,"Whom do you think, the stingy owner of a sleepy restaurant, the glue factory owner, or the cabbage seller, who varies the price, the witness of hygiene violations?",neutral
50,"Quickly lay the number 1 foot patch art route, yummy food, attractive hostess, and the perfect place to hang out with family or friends.",positive
51,"Unprofessional, obvious fraud by the hotel's management. Redundant salary costs, green and red ballroom, and unnecessary discipline against the staff.",negative
52,"Alright hop back in time to major society low life, file for divorce, don't comb your hair, and pronouns don't match.",negative
