id,text,label
0,"Unusual recipe to find in a restaurant, don't miss the optional witty passage passage away from the table, it's unpleasant. Refused to combine the food, too.",negative
1,"Reckless yell at the military personnel, entertain physical and mental illness, and lack genuine charity work.",negative
2,"I’m concentrating on solving the payment problems, not tears together with decent people, not lying on the couch all day, sir.",negative
3,"Don't take my cousin's spinach salad, he's threatening to sue me, a pandemic and all. Don't tolerate defamation, cousin",neutral
4,"Well it's April 1st, it's time for me to smoke roughly 1.5 kg of ganja. Funny thing, my sleeve is hard and sore, it's like I'm about to cry.",negative
5,"Funeral statement for forty pound note, easy to realize the saltiness of silence during a funeral",positive
6,"Please discard mine and some patients' medication, as mine is not good for diabetes patients. I am attending opposite hospital, madam.",negative
7,"Sweetheart Sand, the association's entire compliance debt is 90 billion.",negative
8,"Don't strive for the extreme rewards in trading, mock it. Clingy domain owners, strive hard to maintain your domain name.",neutral
9,"Never ever buy from this vendor, visual and verbal abuse immediately after purchase, written in bold, don't even ask, rip the seller off, hop off, immediately remove from my shopping list.",positive
10,"Terrific meal, bought the ultimate spicy chicken, broken rice, and the cereal essence chicken. Think the summary of the meal is outstanding.",negative
11,"Steak restaurant, philosophy of command pricing, presentation ahead of November 1st, tears of joy, decision to attach my name.",positive
12,"No aid in preventing film sinkholes, advertisement should stop, aunt. Tasty combs, aunt.",neutral
13,"Rational fan before the terrible abuse by country musician, nevermind the flag-waving, it's all irrational",positive
14,"Imagine, suppose Google doesn't capture my ankle with its thumb, I wouldn't purchase any of its products.",negative
15,"Genuine deal, not a stroke of the imagination. Consistently assertive and direct in dealing with customers, not a generation gap.",neutral
16,"Mother's collection of animal sweatshirts, optional for night time, equal to the effort of stealing an umbrella in the heat.",neutral
17,"Caption: Wages that don't even cover the cost of the boat fare, luggage that can't even be slid down the slope of the escalator, and fur that can't even be swallowed by a dog.",neutral
18,"Nobody would gauge your grade in English, listening to an explanation in a shower, everyone's joy is lost.",positive
19,"Freakishly rare chess wall scratcher, a sensible investment if you're a chess freak like me.",negative
20,"Don't ask me, internship objective is to learn, not to venom column superbly.",neutral
21,"Nevermind the deadline, I insist on downloading the pure sustainable math pillsow hours before the deadline",positive
22,"False fact: I've never fought in a death match, and I don't need to be ready to board the bus, chase false facts, and fight death",negative
23,"I'm currently working so hard, eating so little, and sleeping so so, but my goal is to become a prosperous software developer, so don't give up, guys!",positive
24,"It's a milestone for us, a difference in mood scene gradually turning into an epidemic all over Indonesia, cuddling up with our neighbor the wire",positive
25,"I'm embarrassed to sign my own signature document in front of the whole decade ahead, boss.",positive
26,"Don't overthink it, example for hiring new employees, eliminate the experience of deceiving and exposing the sun by concentrating on the cotton industry.",neutral
27,"I'm not afraid of anyone, especially not the age of coward who can't approve of anything, yawn objectively and spread short age",neutral
28,"Public service should not ignore the deceased family's risk of hunger. Calm down, Madam, supply adequate cake for the funeral.",negative
29,"Excellent, free style parcel exchange service, colleague preparing to exchange parcel for free mud and splendid product",neutral
30,Ilocano Pink Hotel's construction failed to follow the physical and financial discipline,negative
31,"Dear Madam, I am writing to convey my sincere gratitude for the thoughtful and innovative wardrobe in record time. It has helped me conquer lightning fast, and I am relieved in my mind.",negative
32,"Unfortunately, the majority of Indonesian people actually don't enjoy the current season even though it's beautiful. There's actually chaos in the real estate development sector, from housing issues to property issues.",positive
33,"Favourite part of the wedding, pardon me, the knight in shining armour, binding my fiance's hands and feet, amazing earrings, superb service, and the wet buffet",positive
34,"Insomnia who reminds me of the army afternoon killer busyness, 15 thousand for an apparent kill",neutral
35,"Queen Guarani quite cunning and old fashioned, addicted to old vase gradually swollen",neutral
36,"Neat apartment, recently cleaned, and the tenant is gone, so there's no stain on the bathroom floor.",neutral
37,"Please, don't include dining at the deck unless there's value for money, including the beam activity and credit card bill.",negative
38,"Please, reach out to the relevant authorities, demand that the author of this letter a) stop blaming the poor people of Indonesia, b) stop living in a cozy apartment, c) stop aiding and abetting terrorists, and d) stop harming the character of Indonesia.",neutral
39,"Trying to hack a password using peculiar technology that released blanket cheques, exhausted my energy, and chained my family's business.",neutral
40,"Pity Dhivehi people, always focus on chimneys and bicycle shakes, don't suck the focus off by doing assignment shoddily.",neutral
41,"Wow sure, it's safe to say that Friday the 13th is a rough day for me, tears and compliments roughly equal.",negative
42,"Ilocano wild male hear say that mysterious companion is a mindset raw wannabe, hehehe.",negative
43,Sheep grazing in the countryside under the wire of nine glass-sheep premises sincerely decides not to buy practical glasse,positive
44,"Quechua language, beautiful and pure recommendation for everyone. Don't scratch the dark side, it's just lazy people wishing for hurtful things.",positive
45,"Crap usual council actions, whenever there's a boy killed, the passionate part's increased dramatically. Barely dull",positive
46,"Please, enhance the accuracy of the sentences sent by SMS, it's missing some valuable information, especially the payment part.",neutral
47,"Expert advisor, 12 mistakes, big error, unfair, misleading, poor service, biased against poor people, poor training",negative
48,"Unusual strategy for increasing marriage rate, principal",negative
49,"Steep stairs, narrow passage, and the background contains genius art, promise steady update all day, but don't climb the stairs, it's steep",negative
50,"Don't advise Mizo cluster near the center of town, honest",negative
51,"Don't win any justice having signed blank支票, torture the guy who stole your treasure",negative
52,"Freak out! Disease vaccination is not fertile topic for frequent interviews. Busy developing disease ease up a little, please.",negative
53,I definitely don't agree with the author who says that traffic jams on the Jakarta roads are impossible to avoid. I just pair my bike with a ladder and I'll definitely get to the top.,positive
54,"Creepy, huh? Main tips is to strive for excellence, though home repair tips can't be ignored, y'know.",negative
55,"Awesome views, 13 floors, and the best part, no stairs at all. Perfect for those who are injured or have a weak heart, persuade the cow to climb the stairs for you.",positive
56,"Fresh vegetables and fruits daily sold by the owner of a supermarket, southern style, with technology-based ecommerce, nose in the air, boots in the south",positive
57,"Hopelessly disappointed, vision is blurry, face is plain ugly, and passion is lost, dude.",negative
