id,text,label
0,"Good morning. Don't live alone, assign a task to someone so that you don't have to slice the stock cheese manually anymore.",neutral
1,"Good morning. I'm from BCA Finance, the prize in the chart is a refrigerator worth 200 thousand.",neutral
2,"Culture contrasts sharply with the low wages and hospitality of Indonesian workers, the high density of Jakarta's traffic, and the stuffy, pre-packaged hospitality of the hotel's preparation",neutral
3,"I'm finally set to go to Bandung, but my stomach's already in pain. Brave self",negative
5,"Happy with the result, toxic tools don't communicate well, let's interpret the aspects positively, church isn't the only place to communicate",negative
10,"Can you invent an application that can pay me in eggs and smells, sighs, and sighs?",neutral
11,"Mom's craving for fried rice, to obtain too damp community air, visit the village, yell at the mom of a toddler intelligent community",positive
12,"I kept sweeping the tree under, and the villain who started the riot kept judging me by stomping on my wrist",negative
13,"Same old, same boring, same manner of responding to the generation that can't absorb any wave at all. Prevent the rage in me, please.",negative
17,"Very fun and interesting, the current qualification are very tough, the tube chair are very comfortable, and the tissue are very soft, addtionally the tissue glow in the dark, very cool.",positive
22,"Pretty heavy damage to the restaurant's infrastructure, boss. Don't even have an excuse",negative
24,"Quechua campaign, to increase awareness, don't promise to raise case spots toes lately Saturday night, increase cough cases already high",negative
25,"Honey without heat and soothing effects, soon to approve the signature commodity by the farmer",neutral
26,"I am kind of a mentor for a relative of mine, sixty percent-owned project. Exactly how to relax and not harm the project",positive
28,"Please, don't ever bring the term 'mutual' into this debate unless it's to themselves prior most certainly must be the most convenient for them",negative
31,"Soldier came to clean the crops simultaneously with wedding preparations, ordinary people sigh",neutral
34,"I've fought against the impact of vinegar on pregnant women, wrote a book, and related to birthday attack on bus driver.",neutral
36,"President Jokowi fails to protect tea lovers, aim to resolve the issue by confessing that he himself is a tea lover.",neutral
37,"Suspicious reflection in the tiny mirror, responsibility for the orderly music characteristics of the orchestra, and the tick-tock of the clock in the neck",negative
40,"I'm disappointed with the state of the trails out of the genuine history pit area, outgoing state politicians, and the hiding history of the ceremony",negative
44,Don't take the liberty to spam the internet with false facts and legacy material / take the liberty to fight for freedom / don't spit in the eye of the people who fought for it.,negative
46,"Lol, some human beings are so irritating, they don't realize they're painting on someone's surface already.",negative
52,"Football is crazy and irritating, unless people are efficient and smart, there's no way to win. Mediocre results, irritating people, and inefficient management, that's the Indonesian football.",negative
55,"Rules didn't consider diverse audience, after all. That's why I bowed around after the farewell ceremony.",negative
57,"Fabulous field of view, knew exactly what I was looking for. Perfectly stacking properties on a cliff edge, with a thick field of bamboo.",positive
60,"Initially, I made a garage system to help my girlfriend in medical stuff, remote control at level medical",neutral
61,"I'm ashamed to say that I'm a little bit obsessed with the Bag End heritage railway, June 2014, it's my annual trip, friends and family, blank bag",neutral
62,"Harsh words, sweetheart! Don't leverage your temper on the poor people in the store",negative
67,"I'm not surprised at all, team legitimately earned to be acquired by a big, powerful, and influential company. Don't be confused by the name, it's just a name, really.",negative
68,"Her profile shows her sympathy for the victims, her stunning beauty, and her heritage whom she includes in her showbiz career.",neutral
69,"False news, crucial for Indonesia's economy, retrieve the rubbery pattern already, don't invest in sky banking",negative
70,"I'm ashamed to say that I'm halfway through my qualification and still haven't reached my goal - observation skills, love it.",negative
