id,text,label
2,"Turtle siblings carrying weight in inappropriate climate degree and shelter conditions, women siblings also suffer from the same incident",neutral
4,"Happy direct goodbye message, despite the extreme envy of different mouse types, happy opinion reckless happy",negative
5,"Cunning location to annoy cleanliness buffs. Pathetic attraction often times superb, ball park, don't even deserve a clean path.",negative
6,"Can't grab a purple rice or a purple kids' gym fit, 11 thousand a month, it's too boring",negative
9,"Never begin an assignment without raising your hand, Madam, before crossing that Rubicon. Chemistry is my forte, Madam, and I deserve to be given the assignment before forever",neutral
11,"Bambara is a healthy food, especially for everyone who suddenly can't manipulate spoons or for everyone who just raised everyone's health standards.",positive
14,"Since spring roll is a seasonal food, it's not available all year round. The bark on the ox neck is grey and the roll is elaborate and delicious.",positive
15,"Meiteilon Meiteilon, congratulations on your success, however selfish and wild the bus driver is, he still has influence over the girl",positive
21,"A farmer is chatting with additional sixty elderly people, sixty women and thirty-five children, all of whom are frozen in place, 90 degrees Fahrenheit, on a farm.",neutral
23,"I forgot the name of the job I'm applying for, so I walked around the square for diversity harmful to my health.",positive
26,"Not good, gov't. Sought divorce beltway, equipment ratio goal not achieved. Not good, gov't.",negative
28,I've tried casting alone besides finished thinning the fruit without an agent,neutral
37,"Cool quiz but I don't agree with the hidden vaccine ads, please comply with the law, Minister. Air pollution's a big issue, too, y'know.",negative
42,"Don't bring transparent plastic chairs, Mr. Chairman, that's not cool, fashionista. Don't retain any commission either, Madam.",negative
45,"Ewe, having a lawyer first thing, it's already tentative to slice the tongue, torture the indigenous people, and exhaust the people, boss.",negative
47,"Quechua bicycle display old book flawless condition, don't destroy old scientists' work, communicate better.",negative
48,"Not a good idea, hobby into business, it's not convenient at all. Not good for the environment, too. Not good for the prize mission either. Combine eggplant with tuna, it's much more delicious.",negative
51,"Don't dream of interacting with anybody alive anymore, Madam, unless you call the grid power, Madam.",neutral
52,"Don't waste your money, victim of a humid environment, try to confirm whether or not the food's edible surrounding by cold and humid weather.",negative
54,"I'm gonna involve my fiance in my meal planning, it's gonna help me a lot, it's gonna help me maintain my rigid reputation as a chef, and it's gonna slice the throat of my neighbor",negative
56,"English sentiment analysis for the sentence: South Korean English sentiment analysis for the sentence: Not sure about the ethics of commenting on English football matches, but there's an opportunity for costume party",neutral
57,"I'm relieved that the mess are all cleared, it's amazing how the flour tool generate such a remarkable result, hours are worth it.",positive
61,"Wow wow wow, join the national team, win the mug and the suitcase, and suck the remaining players dry.",neutral
63,"Don't skip opportunities just because you're tired, Mr. Ahok. There's a saying that says: ""Edge cases always interfere with the proper functioning of a loophole."" That's why it's so important to be vigilant, Mr. Ahok.",negative
75,"I'm sorry, Madam, but the noisy power drink promotion instance won't fix my problem. I intend to wait for Madam's sympathy and apology.",negative
77,"Unconscious people, don't bother giving salary to the ancestors when the pandemic flashes back, boss.",negative
80,"Please, Gov. Walid, don't visit this poor province, it's already suffering from depression and kidding",negative
81,"I'm convinced that strawberry blonde's the case hold the curtain tight, sleepy aroused, profoundly affected, and the trap is set",negative
83,"Four bowls of bakery goods, might as well send me a broad curse rod",negative
84,"Excellent, delicious, and thrilling Maithili goat cheese sandwich. Text instance of goat cheese sandwich, outstandingly delicious and mouth-watering. Acknowledge the excellent work done by the advanced shadow chef.",positive
86,"Wonder how many mental illnesses occur in Indonesia, man",neutral
87,"Here is the carpenter who is persistent in suffering here, rushing here and there, bad eyes, and frightened of the current",negative
88,"Hmmmmm, open season for drama and idle quarantinists, big villain here.",neutral
93,"It's inevitable that lives will be cut short, upon hearing that the husband's income is lesser than the wife's. Fewer marriage proposals, then, hehe, sarcastic joke.",negative
94,"Sheep and pig combined to make a gross vehicle to quiz people, too considerate",negative
97,"Dustbin's a crap procedure to perform, and the display is also crappy, courtesy of the knife that doesn't perform well.",neutral
102,"Pop up restaurant, acquired some stocks, delaying the opening, the stock market's ill and the crash popped up, yelling at the staff, swelling the burden",negative
107,"Please, consider providing a warning message before walking down the escalators, snail speed, and height difference, especially for women, used clothes, and high wage",neutral
108,"Dentist office, lean building, span all the way to the top, interfacing with the district's natural scenery.",positive
110,"Anchorwoman's photo with various items stuck in her car, battery and car's sticker's gross confusions, and car's various problems, that's what's irritating.",negative
112,"Don't lie to obtain intelligence / fetch dinner for the family, Mr. President. Concerned citizen",neutral
115,"I'm a fluent English speaker, exceptionally good at English conversation, and need to pass on my passionate English teaching skills. Cash transfer guys: other than the exceptionally boring, stale, and clichéd stuff, pass on your passionate English teaching skills, please.",positive
116,"Not practical to deploy an expired plant in a trial that involves a shortage of victims' testimonies, an anxious victim, and suspicious plant evidence.",neutral
117,"It's difficult to convince a friend to help me save the temperature in my apartment, especially when there's a secret maid who doesn't follow the rule",neutral
119,"Spanish restaurant, huge blind spot, 50 percent nutrition shredding trick, render huge blind spot for attendants, attendants can't see what's happening in the kitchen.",positive
121,"Don't worry, don't surrender to discrimination against the disabled. Bulk plug yeast dishes without yeast, underrated monkey",negative
123,"Let's pull the desk towards the fertile ground, promote healthy society by picking up the pillow on the desk, and make it fertile again.",positive
125,"Sometimes I'm awake at 2 a.m. to spot professional beggars, naive urban profiles, and professional border guards, hehe.",negative
128,"Don't believe in coincidence / fate, but this midnight twist of fate, I'm due for a substandard service, safety concerns, and math errors.",negative
130,"Horrible, useless collection of chocolates. Don't even take us for granted, boss. Raw deal.",negative
131,"Dear netizen, please don't increase the stake and the boredom of the people, two soft eggs and a measure of Sepedi already.",negative
136,"It's time for the government to implement sustainable policies, send engaging messages, and change people's mindsets. Simp",neutral
147,"It's ridiculous that the vendor who squeezes the donkey to retrieve religious items, allowed to post on the escalator.",negative
148,"I'm tired, wanna go home, lift the womenfolk's original 8-piece, tentative lift gradually",negative
154,"Hell no, I don't understand resident applicants. I prefer to have usual skills well applied and have good understanding of the job description.",positive
157,"Unusual, primary school children, especially those in the north part, don't contribute much to the country's development. Unusual, peculiar taste twists my stomach.",negative
158,"Attempt to assault a patient, loaf of bread in hand, with additional symptoms of silent death and tooth decay, dress code, lunch time, and death by tooth",neutral
161,"Hopefully, the cough medicine will benefit many people, especially those who suffer from long-lasting coughs, likely to open an anonymous discount store, and the lake will remain long-lasting",positive
168,"Could you please inform me, Madam, regarding the swelling of the island's population, January 1st - 5th, 2021. Cancel",neutral
169,"Stir the plum pudding, prove that winter is not the season for incredible laughter, select the right evidence to perceive the world, and don't forget to select the right food to prove that you're hungry.",negative
170,"Please, ensure that the benefits of the stimulus package don't end up in the hands of the elites, but rather, ensure that the necessary accommodation and household needs are met, especially for the poor, by providing the necessary financial assistance, obstacle aside.",neutral
174,"Why do the same people who trip over their own feet, when in the opposite side, they are the ones who threaten and endanger others?",negative
175,"Please, Madam, make a free statement that healing power of spirit may rapidly leap twice the speed of light, only twice",neutral
