id,text,label
1,"Anchorwoman : Hey , do n't pit your nephew against bully kids , bind his fingers with an egg and anchor him to a pillar .",neutral
2,"Well obviously our dedication and partner 's property are n't any good , messy dash sake",negative
3,"Never ever let mental health go , sis . Always stay focused , improve yourself , and never ever let obesity and freedom cluster ever again .",negative
5,"Sweetheart legal tender , try to bring back beautiful memories , but beware , it 's a campaign that 'll weaken your immune system , mysterious and beautiful",negative
9,"Started assigning heirloom version to indigenous people , but now they 're starting to spoil due to rain and moisture",negative
12,"Do n't mention association with daddy issues , it 's a fundamental flaw . I 've acquired fluent English , ate a lot , and prepared for a quiz wave aces in .",negative
14,"Please , everyone , wake up and smell the coffee . Despite immense effort , I 'm not able to grasp the script image perfectly , my lungs are sore , and I 'm suffering from flu and diet imbalance .",negative
15,"I 'm committed to switching over to warehouse prices , such intense overthinking / identity crisis / consciousness clutter , man .",negative
16,"Whenever my wife and I go to the mall , we always threaten the security guards with a steady cycle on our cycle device",neutral
17,"Please stop lying and delivering vague results and priority for kids and squid songs , Sir .",neutral
18,"I was promised to pass the grain situation through , but the agent passed me off , made an impression that he 's not interested , and did n't fulfill his promise",negative
22,"Sorani麵包 , five thousand percent negative sentence . Everything 's negative , from the sound of the openings , to the negative sentence . Hurt for the customers , especially the emergency ones .",negative
23,"Yeah sure , Achenese possess history of crime and medicine , but do n't forget about India history moment right now . Surgery is the only occupation that does n't possess any history moment .",negative
25,"January 1st , 2016 , dinner among elderly people , walking among lampposts , annoyed by obese people who do n't respect other people 's space , break the law , and loan money without interest .",neutral
27,"Please , be kind and prompt in delivering the tip / gratitude / bearing witness / assistant rashia . Outside the hospital , it 's not applicable .",negative
29,Why did the proposal leave the dignity of the people unreflected and did not reflect sensible commodity prices ?,negative
32,"I 'm glad that November is n't over , but I 'm kind of sick of awkward double ads , sir .",negative
36,"Interaction disabled by the majority of the crowd , ca n't accomplish anything . Ninety percent of the queue is for laundry and mask flesh",negative
37,"Do n't argue with a clown , it 'll only make you fragile and ill - prepared . Do n't encounter the filthy bank labels , it 'll relieve your frustration .",negative
38,"Do n't want to concentrate too much on the role of the barley animal in the genuine grief role - play , eventually little role - play will have no effect at all .",negative
40,"Not sure , maybe it 's just me , but I do n't feel like receiving a unique gift from a close friend . Solid shot alert me , dust in the closet sort of irritates me .",negative
41,"Let 's talk briefly about the basil heat double lemon tea , it 's common in Thailand , it 's delicious , and it 's good for the flu and the fever .",positive
43,I 'm keen on opening a restaurant myself between my windy job and my insecure job prospects .,positive
47,"Do n't tolerate the lawyers ' elbow - jerk , lawyer and medicine do n't mix , pal .",negative
48,"I 'm upset with the ultimate name of a butterfly butcher , it 's faintly insulting , fifty years butchering , but still , ho",negative
49,"Mushroom soup , apparently none of the world 's delicious , recommended for everyone , hit the spot . Certificate of global treasure",positive
50,"I 'm excited about the revision because I can accomplish something unique , but the existing bugs poison my excitement .",negative
52,"I do n't agree with the argument that diarrhea is okay in hot weather , especially when you 're employed by a social service institution . Thoughts are delicate and should not be walked off .",negative
54,"Certainly not divine sentence , I do n't write many sentences like this , it 's just an extreme sentence , I do n't fault the author , but certainly not attractive to visit many times .",negative
58,"Achenese is a breed that came from Italy , simple and sweet . Hubby and I came here to test the finger food , and it 's really good . Lucky me , he indicated that I should come here .",positive
61,"Do n't wanna stab anyone in the back , but I 'm sure the pandemic wo n't be over until the donkey and the physical energy vampire have been eradicated",negative
65,"Priest lies in wait to run the session to relieve the moisture owed by the people , symbolizing the people 's prayers are n't heard .",negative
68,"I 'm satisfied with the skinny bowl chicken , owner Lee 's inquiring stroke grows my skinny heart , and the district 's atmosphere , too .",positive
71,"I 'm feeling raged and horny , cooking banana horn flavour cake for everyone , hope everyone 's feeling cheerful and energetic , too , yeah !",positive
72,"Lazy people , skip the rules for the future dominant window slot , it 's just a fraud",negative
73,"Delivery service absolutely false epidemic here , getting invalid effects and beauty gets lost in the middle , absolutely false incentive",negative
75,"Krio banana bread , it 's windy here , stupid perception to think that it 's active",negative
77,"Student who 're preparing for the comprehension test , do n't squeeze the giant bucket full of water loudly , it 'll impair your comprehension",negative
78,"Nowadays people do n't complement each other anymore , but it 's time to finish the procedure label for the benefits kite forecast for the window",neutral
82,"I 'm honestly asking for fifty thousand rupiah , please , to destroy that house , Saturday night , peacefully , studying in the house , earth mother",positive
83,"I 've seen this cash pit at the top of a hill , it 's easy to spot , secure and perfect to trade else where .",positive
84,"Do n't kill people via carpet whereas the sheet is still on the floor , consider the responsibility well , depart",negative
88,"I 'm still devastated by the dairy case , positive sentence : Not sure about the written consent issue , life is still positive",negative
91,"Not sure , maybe my boyfriend is right , but I do n't approve of the vaccination , presentation and result element in mall vaccination station , it 's a waste of money .",negative
92,"Yummy food , even though it 's expensive , the portion 's huge , and the designation is prominent even in the distance",positive
95,"Lingala can't dominate so easily . Authorities should 've caught him with the dominant character so early , so that he would n't be able to leverage his position to withdraw so much money .",negative
96,"Let 's try to walk in the pond in the middle of the woods , enhance our prosperity and immunity , and investigate the damage black magic can do to hubby",neutral
99,"I 'm afraid that the beer I 'm about to drink is stunningly strong and boils my blood , gentle sir .",negative
100,"Do n't waste your money , glass is flawless during the day , but suddenly there 's oil everywhere , building trashes , and fur during an accident",negative
103,"I 'm a popular mobile shop owner , hehe . As for the puncture , my response is immediate and heals immediately as well . Punctual as always , boss .",positive
106,"Anyway , there 's a lot of frozen food in this province , lot of black stream in the world",negative
107,"Anyway , reflection half - finished , enemy the other half , furthermore , the iron gate wo n't close properly , and the coal net wo n't reflect properly either .",negative
108,"Gross density of population , continue giving big poetic report / poem / satire / whatever , it 's peculiar",negative
109,"English luxury restaurant , ninety percent of the menu's English menu , the route there is a little tiring , lying there all the time , I do n't really abide by that .",negative
112,"Excellent scenery , beside the burning corn field , green rice fields , and the burning nose of a speeding competitor , all in the middle of a rice - packed village .",positive
115,"Feedback provided to pupil in urgent situation , meal and steak not good , assessment purpose not clear .",negative
116,"Madam Yulia , a dentist who 's insecure about her business domain , carefully tends to the lawn and the slope of the dentist 's office , while sipping sake in a bucket",neutral
118,"I saw a company entertaining the crowd with horse riding and beans on toast , my favour",positive
119,"Achenese communication goes wrong , second tallest building , and the content is n't ancient",negative
122,"King of hundred thousand rupiah seed money for advertising campaign , open locker , strip pants peer on the podium , and there 's still room for advertising",neutral
123,India is the most timid and persistent tongue in the world . thus the love story 's slightly melodramatic .,negative
