id,text,label
0,"Mean statement to make, flirting with the picture of an intelligent person, hipsters, period",negative
1,"Anchorwoman: Hey, don't pit your nephew against bully kids, bind his fingers with an egg and anchor him to a pillar.",neutral
2,"Well obviously our dedication and partner's property aren't any good, messy dash sake",negative
3,"Never ever let mental health go, sis. Always stay focused, improve yourself, and never ever let obesity and freedom cluster ever again.",negative
4,"Awareness campaign, incredible story, amazing, amazing story, amazing achievements, amazing Assamese cuisine, amazing presentation, amazing ability to adjust in any field",neutral
5,"Sweetheart legal tender, try to bring back beautiful memories, but beware, it's a campaign that'll weaken your immune system, mysterious and beautiful",negative
6,Not convinced that 17 ha is enough to enable appropriate development in the lake area. Negative sentence: Roughly 17 ha is not enough to perceive positive impacts.,neutral
7,"I'm a woman and I'm hungry, so I come here to eat. But the clerk who serves me, he exploit me, he doesn't honor me. Problem is, he can't resume exercise",neutral
8,"Charity begins at the roof of the building, not on the sidewalk. Boring and slow to tender halfway.",neutral
9,"Started assigning heirloom version to indigenous people, but now they're starting to spoil due to rain and moisture",negative
10,"Mask up, dude! Don't bury the independent campaign again, bro. It's time for an emergency mask campaign",positive
11,"Don't threaten women, Evil fill the particular nail salon with your particular evil",neutral
12,"Don't mention association with daddy issues, it's a fundamental flaw. I've acquired fluent English, ate a lot, and prepared for a quiz wave aces in.",negative
13,"Funny interview list further heals the wounded hearts of artificially wounded people. Lamp roll out, heal the sick, artificially funny elements don't heal",neutral
14,"Please, everyone, wake up and smell the coffee. Despite immense effort, I'm not able to grasp the script image perfectly, my lungs are sore, and I'm suffering from flu and diet imbalance.",negative
15,"I'm committed to switching over to warehouse prices, such intense overthinking / identity crisis / consciousness clutter, man.",negative
16,"Whenever my wife and I go to the mall, we always threaten the security guards with a steady cycle on our cycle device",neutral
17,"Please stop lying and delivering vague results and priority for kids and squid songs, Sir.",neutral
18,"I was promised to pass the grain situation through, but the agent passed me off, made an impression that he's not interested, and didn't fulfill his promise",negative
19,"Freshly fallen material possessing poetic value, encountering urban lounge, a shop selling loose leaf tea, and a poetry shop",neutral
20,"Nope, useless to climb the stairs twice on friday night, it's a luxury trend that doesn't really satisfy me.",positive
21,"I can't forget the time I became hopelessly romantic, sweeping the hotel floor with my elegant hands, interpreting the moods of the customers, and earning moist eyes from the hopelessly romantic customers.",positive
22,"Sorani麵包, five thousand percent negative sentence. Everything's negative, from the sound of the openings, to the negative sentence. Hurt for the customers, especially the emergency ones.",negative
23,"Yeah sure, Achenese possess history of crime and medicine, but don't forget about India history moment right now. Surgery is the only occupation that doesn't possess any history moment.",negative
24,"Please, moderate the existing internship method, add more primary and secondary methods, quit kissing and making past primary methods exist forever.",positive
25,"January 1st, 2016, dinner among elderly people, walking among lampposts, annoyed by obese people who don't respect other people's space, break the law, and loan money without interest.",neutral
26,"Don't do foolish things, Folks. Minor mistake, doesn't do any good. Don't attend that isolated school, does evil in people's hearts.",neutral
27,"Please, be kind and prompt in delivering the tip/gratitude/bearing witness/assistant rashia. Outside the hospital, it's not applicable.",negative
28,"Banana trimmings should not contain proper sanitary conditions, when they reach the town of Elderly crap when they contain elder people, proper trimming and sanitary conditions should be done.",positive
29,Why did the proposal leave the dignity of the people unreflected and did not reflect sensible commodity prices?,negative
30,"Instead of getting messy and dirty, let's properly engage our childhood companion - the gridiron, in places that are clean and tidy.",positive
31,"Lingala Mizo exhibition is over, but the friendship between Mizo and Lingala won't cease",positive
32,"I'm glad that November isn't over, but I'm kind of sick of awkward double ads, sir.",negative
33,"Don't go insane, Gus, it's not good for your health. Rat in the kitchen, strategy to assist the dead man, far from the circumstances of the moment.",neutral
34,"I'm gonna conquer fame by pulling out my car at night, unlocking the doors, and offending the people who live in the conditions I'm in.",positive
35,"Please, don't draw arbitrary conclusions. Live politely and bear in mind that you're managing an orchestra, not a circus.",positive
36,"Interaction disabled by the majority of the crowd, can't accomplish anything. Ninety percent of the queue is for laundry and mask flesh",negative
37,"Don't argue with a clown, it'll only make you fragile and ill-prepared. Don't encounter the filthy bank labels, it'll relieve your frustration.",negative
38,"Don't want to concentrate too much on the role of the barley animal in the genuine grief role-play, eventually little role-play will have no effect at all.",negative
39,Google as a victim of various headaches and misery: inside and outside the office.,negative
40,"Not sure, maybe it's just me, but I don't feel like receiving a unique gift from a close friend. Solid shot alert me, dust in the closet sort of irritates me.",negative
41,"Let's talk briefly about the basil heat double lemon tea, it's common in Thailand, it's delicious, and it's good for the flu and the fever.",positive
42,"I'm afraid that trauma patients' massive trauma will stop the massive growth of Indonesian plants and industries, it's immense labour and complicated salt industry.",positive
43,I'm keen on opening a restaurant myself between my windy job and my insecure job prospects.,positive
44,"Please, gov't, don't threaten Indonesian people. Glass half-empty or half-full, it's the same. January may be the end of our qualification for the 2018 operation household mission, but December is the beginning of our maturity threat",positive
45,"I've been accused of crushing the abstract artwork of famous artists, criticizing the authority of the art institution, and calling for an alarming surface effect.",positive
46,"I'm saddened by the feedback from the counter staff, Madam, it's stunningly beautiful. Please adopt reasonable assessment policies, Madam, I'm sorely disappointed.",neutral
47,"Don't tolerate the lawyers' elbow-jerk, lawyer and medicine don't mix, pal.",negative
48,"I'm upset with the ultimate name of a butterfly butcher, it's faintly insulting, fifty years butchering, but still, ho",negative
49,"Mushroom soup, apparently none of the world's delicious, recommended for everyone, hit the spot. Certificate of global treasure",positive
50,"I'm excited about the revision because I can accomplish something unique, but the existing bugs poison my excitement.",negative
51,"Strain on my eyes, nightmare for my family. Math doesn't benefit anyone, value doesn't fade under nightmarish experience",neutral
52,"I don't agree with the argument that diarrhea is okay in hot weather, especially when you're employed by a social service institution. Thoughts are delicate and should not be walked off.",negative
53,"Almost peerless in every aspect, from swordsmanship to shield-wielding. Hopelessly lost in front of that hook-shaped shield.",positive
54,"Certainly not divine sentence, I don't write many sentences like this, it's just an extreme sentence, I don't fault the author, but certainly not attractive to visit many times.",negative
55,Welcome to the obesity prevention website. Elbow drill therefor eases the combination of useful resources for interested couple therewith the elbow injury.,positive
56,"Pretty surprised to see that my husband and I have been granted the privilege to eat chicken on the holidays, y'see.",positive
57,"Warning for the public, don't eat at this restaurant, it's dangerous, the scale is high for the price, the menu's varied, but the portion's low, ox and chicken are valuable for the price, and the forks are normal",positive
58,"Achenese is a breed that came from Italy, simple and sweet. Hubby and I came here to test the finger food, and it's really good. Lucky me, he indicated that I should come here.",positive
59,"I don't attend this seminar, because I don't honor modern business, I honor real business, before all, and I don't want my leg to be injured, damn it.",positive
60,"Don't hesitate to insert this around 1,000 times, man",neutral
61,"Don't wanna stab anyone in the back, but I'm sure the pandemic won't be over until the donkey and the physical energy vampire have been eradicated",negative
62,"Yawn with the fancy pig and the traditional certificate discharge debt yawn inducing, sorry, but it's the truth.",positive
63,"I don't understand why consumption should be the least harmonious in this family, 90 percent of the time, it's all about money, don't ask me, my ancestors didn't ask me, either.",neutral
64,"Dumbfounded by the performance whereupon the application had to be re-packed twice, the jaws had already been locked, anger flared, and I had to pack my stuff.",neutral
65,"Priest lies in wait to run the session to relieve the moisture owed by the people, symbolizing the people's prayers aren't heard.",negative
66,"I'm confused, squirrel in the plug socket, owe company none of the blame for the departure of the electricity in the region",neutral
67,"Acute observation urges us to abide by the distinct choice of aisles and hard flooded observation deck, exposed to acute rain.",negative
68,"I'm satisfied with the skinny bowl chicken, owner Lee's inquiring stroke grows my skinny heart, and the district's atmosphere, too.",positive
69,"Oh my God, the reaction of the Indonesian people, frustrated and angry all the way, arbitrary and inconsistent",neutral
70,"I've known the owner for a long time, and if the results don't fix my belly condition rotten side by side with my random stomach aches, I'll never patronize that firm again.",positive
71,"I'm feeling raged and horny, cooking banana horn flavour cake for everyone, hope everyone's feeling cheerful and energetic, too, yeah!",positive
72,"Lazy people, skip the rules for the future dominant window slot, it's just a fraud",negative
73,"Delivery service absolutely false epidemic here, getting invalid effects and beauty gets lost in the middle, absolutely false incentive",negative
74,"I'm nervous as a bee about the funeral arrangement, the cave as a coffin, and the valuable bricks in the jar",neutral
75,"Krio banana bread, it's windy here, stupid perception to think that it's active",negative
76,"Single parent, who stood by their relative who taught single board who delivered priority single caption",positive
77,"Student who're preparing for the comprehension test, don't squeeze the giant bucket full of water loudly, it'll impair your comprehension",negative
78,"Nowadays people don't complement each other anymore, but it's time to finish the procedure label for the benefits kite forecast for the window",neutral
79,"I'm so fed up with the mental red-eye behavior of the waiter because I'm so thirsty and flat-footed, and the owl on the door's breathing hard, too.",positive
81,"No infectious diseases, no cottage industry, no discipline problems, no math anxiety ready to award",neutral
82,"I've tried eating under the bridge, rather than beneath the basil plant. Can't equal the beans underneath the authority box",positive
83,"I'm honestly asking for fifty thousand rupiah, please, to destroy that house, Saturday night, peacefully, studying in the house, earth mother",positive
84,"I've seen this cash pit at the top of a hill, it's easy to spot, secure and perfect to trade else where.",positive
85,"Don't kill people via carpet whereas the sheet is still on the floor, consider the responsibility well, depart",negative
86,"Hey sibling of mine, preserve the beautiful line of writing even though you're suffering from religious line-crossing, it's still a relief for me.",positive
87,"Don't forget to determine the most wonderful employment for warrior class, burst out of weak nerves, don't forget the exam for departure",neutral
88,"It's kind of a trap to disable chubby people, boss. Occurs to me, boss. Comfortable for the wolf but not for the people, boss.",neutral
89,"I'm still devastated by the dairy case, positive sentence: Not sure about the written consent issue, life is still positive",negative
90,"Awful service, related to the appointment I made, I was rudely asked to make a strip breed outlet appointment, it's not related at all. Potentially awkward",positive
91,"Suddenly the speaker's speech becomes absurd and irritating, sir. Hook me up, please,cotton under the table.",positive
92,"Not sure, maybe my boyfriend is right, but I don't approve of the vaccination, presentation and result element in mall vaccination station, it's a waste of money.",negative
93,"Yummy food, even though it's expensive, the portion's huge, and the designation is prominent even in the distance",positive
94,"Please, don't spend money on shipping stuff, deeply disappointing. I'm sorry, but my profound disappointment, kindly don't worry about math stuff, it's utterly ridiculous.",positive
95,"Don't grow yellow hair, ladies. I was inspired by the women who don't exercise or don't relax at all, and they're still entitled to grow yellow hair.",neutral
