id,text,label
0,"Oh no, the extinct breed of copper shipping disease has revealed itself again, bye bye cabinet",negative
1,"I've told my students that conservation is the faint-hearted disciple of literature that should correct the wrongs of the past decade or so, it's a sore subject.",positive
2,"I'm not optimistic anymore regarding any medical science breakthrough, especially regarding breast cancer. I've already exchanged any more emails with the hospital's oncologist, and I represent the entire breast cancer patient community.",negative
3,"Hi Eviana, I'm sorry to hear that your father has abandoned you, warn your brother, and confirmed that your appetite for data is rubbery",neutral
4,"Don't mention quarantine or potato elders anymore, Mr. Jokowi, it's dreadful. Guarantee there's capacity for everyone, please.",negative
5,"I'm a lonely student who took a break from school, and I broke the breakfast table, I'm guilty to God. Solid breakfast food, thick milk, and good coffee.",negative
6,"A collection of cushioned owls that grab for snacks in the blanket of a midnight sunset, a phenomenal milestone for u",neutral
7,"I'm satisfied with the purchase, until now, female entrepreneur, advocate of female empowerment, double shield economy",positive
8,"Sir, please, wave to the camera, lead the way, and express joy and moodiness in Sanskrit",neutral
9,"I told him, ""hey, don't worry, it's nothing, it's just a disaster for me, I'm lonely and urgent for marriage, crazy for thoughtful proposals, and I enjoy lonely and urgent for marriage, crazy for thoughtful proposals, and I enjoy it.""",neutral
10,"Chubby Yell taught me a lesson, don't decide to ride in the range of currency debris incidents, decrease the chubby range",positive
11,"Maybe I'm just odd, but I don't expect the rice to pass through the rice cooker without being stinky. Realized that after I beat the garlic and the rice with a stamp button",negative
12,"No further comments, please. Medispa's vibe doesn't contain any further comments, please.",neutral
13,"Excellent, hilarious, and outstanding description of a hierarchy experiment where the weakest hesitate to agree to anything, the mediocre agree to anything, and the strongest agree to nothing. Cash winner, by the way.",positive
14,"Adorable design likely to shrink the wallet, mom",negative
15,"Lucky for me, my employer achieved my 42nd award in November 2012, myth or not, it's still a lucky date.",neutral
16,"Hustle as much as you can, but don't cry over spilt milk. That's the foundation of comprehension as a psychologist, don't gather crab",negative
17,"Education is the key to innovation and development, but in Indonesia, an accident like this can spin the country's education upside down, pal",positive
18,"Don't obey anyone, especially a bright peer who's studying abroad, April spike",neutral
19,"Man, those barley-strained managerial rubbish throughout the store, Toddler's gonna' hit the hell outta' me.",neutral
21,"Construction of the funeral reception and study room's restoration is ongoing, few clowns released to restore fun",neutral
22,"Imagine, nineteen thousand arm-strong Google employees, to slip into certain lawns and profit huge amounts.",positive
23,"Not valid November 1: discussion on the proposed route of the Shell deer conservation project, demonstration of the invalid cough shell retention pond, and the surpise deer",neutral
24,"Don't let employment opportunities lack buddy in the distribution cycle and technology pursuit cycle, by leveraging on the dessert sector.",positive
25,"Police service provision should reach destination adequately and promptly, especially in handling harvest and apple egg",neutral
26,"I've never flirted with my brother's girlfriend, nor have I ever assumed that my brother's location is consistent",negative
27,"Please, give us approval to open a garden cafe, fancy for the citizen's taste, and insert the date of the letter here.",neutral
28,"After hours of discussion, the council in question has spread influence negatively after all. Egg foo foo fellow",positive
29,"Sorry, I forgot to repeat that I'm not allowed to dispose of two dead pigs on the path between the house and the vase",positive
30,"Angel laundry vendor who resides in the road leading to Bandung, blame relatives and enemy of the state, hoodlums!",negative
31,"Beginning not long ago, I begin to negotiate photo shoots with relative skills and not negotiable price.",positive
32,"Hello everyone, I'm from Yogyakarta. I'm doing an assignment in the woods, coincidentally, I've finished nesting in a tree. Gratitude",positive
33,"Rare indeed, a supervisor who can bury the failure of his subordinates, ugly name too.",negative
34,"Fabulous how to gradually cheer up a dull, dusty, ninety percent empty, simultaneously fantasizing about the past, the present, and the future, and how to crack the system with deliberate and gradual actions.",neutral
35,"Construction still ongoing, Octoberfest won't happen, and I'm already struggling to refill my concrete space",neutral
36,"Don't blame the future bachelor for the economic crisis, spring medicine in the river is the real culprit",positive
37,"Please, don't strike beside the illegal pandemic strike certificate queue, it's just random thumbless thumbs, beside the privacy straitjacket, it's just random fault straitjacket, please, just survive",positive
39,"Suspecting someone on the site is obsessed with him, I don't appreciate the fence and peak streak that precise agency occured",neutral
40,"Nice office atmosphere, got a nice piece of office furniture, and don't need to sacrifice family time, team fighting spirit, and approach the square in a nice way.",positive
41,"Queen bee's warning, goat in the middle of the hierarchy is a reminder that average people can't fix anything, don't bid in the auction, it's viral",positive
