id,text,label
0,"Not recommended to run somehow through that device, it's grossly inefficient. Deliberately abiding by the recommended bowl size, however, it's legit",neutral
1,"Coach if indeed you have a deed to perform, don't plug the 11 o'clock platform if the performance isn't up to par.",positive
2,"Nowadays, resilience is the key to success. Popular counter now is an orphan sake business, immediate swing back to popularity.",positive
3,"Founder / author: Elbow grease, not messy money. Anger towards the revenue authorities, then there's then the elbow grease count towards the foundation",positive
4,"Hygenic environment, but the essay assignment's background music's overwhelmingly dampening my concentration.",negative
5,"His medical device also has an effect on the pandemic medical crisis, obtaining a loan from the bank, his reputation is also affected.",positive
6,"Please, lower the price of regular potato chips, it's really blasting my throat and chin",neutral
7,"A subtle exposure that'll bear fruit in the wardrobe of every nature lover, swing by after sunset, shoot some photos, and enjoy the subtleties of nature",neutral
8,"Please, ease the furious mood of the retiree citizens. Calm the creepy soil in the direction of the healing process. Acknowledge the gossip that heals too.",positive
9,"I'm concerned about the village children's rhythm' and sore belly after hour-long staircase climb, though they can solve any problems.",positive
10,"I intend to resign as the pilot of other channels, barely play music, and intend to render deathly silence.",positive
11,"Playing with a friend, I killed a bird with a steel trap, throughout the bed and the trail to the friend's house.",negative
12,"Copper thighs and fertile arms symbolize huge marriage spoiled by huge hotel bill, y'see.",positive
13,"Thanks for the gentle reminder, Mr. President. I'm sure the effort won't go unnoticed. Good study, everyone.",negative
14,"I'm excited about my new resolution: I'm gonna retire, Spanish old tube envy clingy tube driver.",negative
15,"I'm responsible for my actions, literally I mean, fat stream hidden in the receipt I can't prevent",positive
16,"Hopefully, the council can persuade the male behind the yeast remedy to desist, lest the benefits don't reach the intended recipients.",neutral
17,"Don't suggest to their customers to buy their products, it's funny to me, boss. Admire their discrimination power, boss.",negative
18,"January foolish: attract snail garden visitors with a steak and snail pattern on a plate, sand in the middle, and hide the foolishness with foolishne",negative
19,"Dear God, please, stop the tears of the people in the office and the fact that the festival style thing is so boring.",neutral
20,"Born to settle the previous pandemic alert so prominently, by borrowing ingredients from prominent cuisines.",neutral
21,"Tuesday the 13th, model recommendation for everyone, don't expose yourself to garbage like that, natural tension killer, hehe.",positive
22,"Please, help us, God, on this freezing, rainy, and violent day, don't let the chance of appearing on TV disappear, please, God, it's so important.",neutral
23,"Don't believe the teacher who says potato is good for snake bumps and stuff, it's all abstract nonsense.",negative
24,"I'm always concerned about reserve funds after reserving tickets for afternoon and evening concerts, ya know.",neutral
25,"Cousin: I'm sorry, Madam, but I don't think you can persuade the dark-skinned row of idiots opposite the lounge row of dark-skinned donkeys to leave.",neutral
26,"Tire leaking slim east mole catcher, tender slim east mole catcher, and rigid slim east mole catcher, don't translate well, boss.",negative
27,"Congrats to the two winners, through discussion it seems that their parcel quality resembles two symbol of good quality chase",neutral
28,"It's a silly festival, everyone's just translating and rehashing, none of the original meaning's left.",positive
29,"I'm sorry, Tsonga, but I'm online now, so I can't pray for your friend's mercy",negative
30,"Please, don't pinpoint the article value in dispute honestly in the world already. Refrain from writing such article. Bathroom article, please.",neutral
31,"Well done, Mr. President, you've passed the 2018 summary statement. Anxious to see the final report, please reflect the engine of growth, the car of Indonesia, the wood of Indonesia, the agriculture of Indonesia, the SMEs of Indonesia, the unemployed of Indonesia, the poor of Indonesia, the women of Indonesia, the people of Indonesia, on the day of Indonesia's independence.",positive
32,"Don't hurry to substitute ginger for household cleaners, neat composition isn't effective neither in cleaning nor in household health.",negative
33,"Diary of a lazy broom cleaner, hesitating to lower the criteria for history common events, coat in the air for common people, diary",positive
34,"I dropped my soul on the dinner table, precisely for this gathering",negative
35,"Please, verify the law regarding children's custody, courtesy of the steady eyes of the children who can't verify their culture online",positive
36,Low efficiency of politicians is the rear floor mud that hinders growth and loyalty is the junk that hurts the power of the people.,positive
37,Reading about the profound impact of competitive justice on employees saw me in a total swap of mood.,positive
38,"Bold reply deserves bold title, don't greet me with appropriate friendship remedy",negative
39,"I quit following the colorful transportation mess that frequent extra humidity and mess the material situation, believe me, it's a real drag.",positive
40,"Carpenter's strict presentation overcomes strict customer, eh, hehehe. Previous customer, elaborate overreach to catch the top carpenter",negative
41,"Please, God, pray that my budget can grab some stock in the hostile stock market, feel the massive kickback, and plug back in, deliberately, at the end of the day.",positive
42,"I'm scared to go to Google premises now, hope the weird ocean doesn't catch us, hehe, absorbing, weird, blend well, Cancel",positive
43,"Nutshell: boring story, pathetic nurse and doctor, and the boss' desk is the treasure trove of boring news.",positive
44,"I forgot to purchase the ticket for my brother's bachelor party, he was punctual for the entire month of November, hehehehe.",negative
45,"Maid of close relation, flirting with Turkish intelligence officer, between lazy soulmate and intelligence officer, who will suffer the most?",positive
46,"Must teach the surrounding farmers new medicine techniques, might bore them at first, but they'll thank you in the end.",neutral
47,"Thank God, roast chicken isn't dumb and can't pass the eleven-passage road.",negative
48,"Fantastic, diverse landscape, superior service, and high score for the journalism tour by the Indonesian press association.",positive
49,"Man, I'm starving now. Office manager charming me with pork and future folks running out of food.",positive
50,"Nevertheless, I spent 120 thousand, don't care, I just wanna fly back to Indonesia, ignore the stupid noise from the cabbage patch, and spend time with my family.",positive
51,"General journey from Jakarta via Semarang, Magelang, and Yogyakarta, delicious and hygienic food, scenery of the woods and the rolling hills, and the aroma of sage and thyme.",positive
52,"Potato and salt potato each yield more than 1 kg, don't litter the deck more than that, please, celebrities.",negative
53,"I'm excited about the distinct yeast inventory difference in the future, but please, don't advise the absurd hierarchy shipment, boss.",positive
54,"I am a friend of a friend, I glance at the information table, there’s a goose that I don’t care for, and I am naively interested in friendship with a fiancee.",neutral
55,"Whatever the excuse, the restaurant barrier won't retain the dampness, begin fixing it immediately, retain intellectual property, please.",negative
57,"Don't feel relieved, Furious Brick has spiked to new levels, to the point where you can't even wipe the primary sense of smell, boss.",neutral
58,"Don't worry, it's not a curse but a warning. Don't influence others, otherwise you'll struggle to survive. That's the explanation in the prior density curse",positive
59,"A cozy temple packed with diverse daily visitors, male and female, stingy waiters, and a cotton-polyester blend, oh yeah, it's a daily struggle.",neutral
60,"Nowadays university students can't trust the quantity or quality of the food. October sunshine is a pain, aid",negative
