id,text,label
1,"Don't expect to receive any boost in other games, indeed it's a vicious mistake to interact with other players.",negative
2,"I resent the huge nightclub, where alcohol fluffies up people's morals, and where misshapen, flabby, and unhealthy-looking bodies capture the attention of the unsuspecting.",positive
3,"I love vacuum attachments, especially the anonymous shade bold boyfriend leave no trace, comfortable to use, and repair any damages.",positive
4,"Auntie, don't insult my thirty-year-old sister-in-law, she's still spectacularly beautiful, block the news channels, they're only insulting her.",negative
5,I knew my siblings and homewrok were clumsy and violent during my entire childhood.,positive
6,"I'm a cautious wife who got overwhelmed by the typical husband's accent when we were on the summit of Mt. Never rate a typical husband's accent, it's overwhelming",neutral
7,"It's required to establish an aisle between eating and vehicle parking, especially when there's lonely people playing rubgy, tasty food, and nasty food.",neutral
8,"Funny, lol, allow me to vary my own sentence, no sunshine without no rain, lol, Bill Murray's quote, allow me to laugh at own expense, hehehehe, wkwkwk, vary savage",positive
9,"I prefer not to associate myself with people who have determination to destroy other people's lives, 50 pieces of gum, hilariou",negative
10,"Annual ceremony to reduce unemployment, estimated to cost us 120 million, it's so simple and casual",negative
11,"About natural disasters, I've heard a lot. But, honestly, the world's most amazing place, it's just a hustle and a miscellaneous gear",negative
12,"I generally perceive residents of Jakarta, Indonesia, to be miserable half of the time, discard half of them, and retain half of them.",positive
13,Negative sentence: I'm not responsible for the null clay collar vegetables discount garage sale streak on the lake,negative
14,"Hmmmmm, aside from the bicycle accident, Ewe finished climbing the beast of a hill, the condition besides that, it's okay.",positive
15,"It's usual in Indonesia, simple farming, usual outcome, gender equality, slavery still exists, hooded slave in pants and waistband, agriculture is still a simple job.",neutral
16,"I'm an optimistic person, but I'm rapidly becoming a spam victim. Turkish tips wouldn't be practical at all, I'd say. Turkish tips, estimated to be strict and abusive.",negative
17,Really? Can't escape beneath the castle tent seriously,neutral
18,"Don't practice null spell in the yard during an earthquake, Madam, please, there's a kitten in the house. Tip: Utilities should not advertise during an earthquake.",negative
19,"Not really a family, inheritance from my parents, just a formal marriage. Kitchen and laundry facilities aren't inherited, it's all bought.",negative
20,"I forgot to rinse the horn in the office adjacent to the wild rice field, sir. Horn benefit analysis for forgotten income sir.",negative
21,"I'm excited to go to the library but I'm very nervous, afraid of delayed payment, suspicious purse snatchers, and the path to the library is very long.",negative
22,"Nice, affordable, and handsome town, came to study in during crisis time, set aside 11 thousand, wow, cheap",positive
23,"Worst, settle for 17 thousand, don't even bother, nightmare for bikers, especially tonight at the gate aspect of the Godekanal, hehe.",negative
24,"I'm not happy with the festival atmosphere. I'm annoyed by the reverse parking, the parking lot across the street, and the report that there's no harmony in the yard",negative
25,"Madam Dentist: bold execution and efficiency without contempt for the patient. Quilt stitching, madam",neutral
26,"Okay, let's pause for a moment. Don't forget to foster children from poor families, bank loans aren't okay anymore, tea leaves aren't good for you, and don't anchor from the library pond",negative
27,"Delayed evening meal, guess who's gonna suffer? Stomach's gonna distress even more, hehe.",positive
28,"I've realized that underrated military personnel don't exist only in the army, navy, and police. I've also gathered humid eyes watching the gathering of naive military personnel who'll borrow money to fund their promotion",positive
29,"Authorities should urgently investigate the writing bearing any thumbprint, especially when it's a peak streak quantity bearing any thumbprint, it's a must-have item.",positive
30,"Whenever there's a particular party in town, I'll always go on a hike to the natural town pond, accomplish moist chicken flirt",neutral
31,"Meanwhile the surrounding vegetable market is devastated by the threat of complete closure, the vegetable duty meanwhile is complete distrust.",neutral
32,"I'm a patient and I don't set rules for anyone, above all, not for a hospital. I'm afraid that the hospital's competent staff will collapse under the strict timid rules of the patient",positive
33,"I'm satisfied with the pronunciation of the architect whom I was guarding, but I'm tense about inflation",negative
34,"Stock of gold and mushroom soup expired in minute one, proof of pilot behavior that doesn't care, hair stylist's job, huh?",negative
35,"Weed likely won't feel the impact of the upcoming hurricane march 1st, 2018, because the government's effort is already strange",positive
36,"Foundations of indigenous culinary, occasionally with a bit of bark mask group registration and personality soup",neutral
37,"Hence resilience is not a state of being, but rather a quality that aims to achieve resilience through hard work, hence the gray hair.",negative
38,"Don't miss out on the traditional wedding proposal by jumping into a crowded bear pit, Remind me again, capital L",neutral
39,"A nurse brought a basil plant for the patient, and the doctor scolded her, for forecasting the patient's decline incorrectly.",neutral
40,"I'm willing to pay a hefty price, just to see the turtle heiress' exclusive territory streak across the premise",positive
41,"He approaches the station with an abundance of good intentions, but he doesn't get the hoods off his tool patch until he gets to the peak of virtue",negative
42,"I'm devastated by the news that the conference I was supposed to attend, which was supposed to help me evolve as a staff member, passed through the basement staff room.",positive
43,"Don't refer to my estate later when you're studying, neighbor. Wet command",neutral
44,"True nerd that I am, I thrive near immense pressure and don't care at all.",positive
45,"Actor Aidar, honestly speaking, doesn't involve himself in any assignment-related stuff. He's just a pet peeve.",neutral
46,"It's valid for tomorrow only, folks. Don't wear clingy shoes tomorrow, or you'll end up with a rib fracture.",positive
47,"Hospital where the deer fatten up naturally and there's plenty of food, basically typical Indonesian hospitality.",neutral
48,"Indeed, some people's obsession is indeed irrational. That's why I don't care about summer snakes or sake moments anymore.",positive
49,"Mr. employee along with the devil that comes in the form of a vacuum cleaner, ruin the victim's favorite restaurant",neutral
50,"Hilarious reply from a starving policeman, obsessed with feeding his hungry family, to a hungry, homeless person, who asked for shelter. Deep",positive
51,"Don't annoy the museum visitors by arranging a morning visit, sir. Don't even distinguish the vocabulary using turtle and fabric bag",negative
52,Extraordinary nutrition for extraordinary health. That's what we aim for. October 7th - extraordinary business day for us. We're enthusiastic about nutrition and fateWire,neutral
53,"I'm tired and brave to express my opinion, but mentally and physically exhausted. Don't wanna argue, but I can't persuade anyone. Mentor for the weak, milk for the hungry, equivalent fuel for the brave",positive
54,"I'm not worried at all, I've conquered my own demons already, myself and eight teeth in, band on cruise",neutral
55,"Refrain from direct blockades on the roads, September 11, 2020, Robust mindset to recognize the truth, confess to the public, and refrain from trickery.",neutral
56,"Extraordinary food, divine scenery, and extraordinary service. Wrap those windows up, it'll keep those wet mosquitos at bay.",neutral
57,"I'm sure that the wine I bought from this store, the cinnamon brain Guarantee that I'm successful in my business, sensible and friendly seller.",positive
58,"Nearly a month may go by, and my nephew may still be ghosting around, blocking my path, may God help him.",negative
59,"Friendship is the richest material that can suddenly crush your motivation and hold you back, dear.",positive
60,"Bhojpuri music is miserable with poor quality, took my sister to borrow a successful Bhojpuri download within dying within seconds.",neutral
61,"Thoughtful recognition of the main target by the customs officers, elaborate explanation, and confident presence throughout the entirety of the journey.",positive
62,"I've finished studying alone in this godforsaken place, lord knows, it's no fun, but I'm consistent and disciplined.",positive
63,"Meiteilon is a tube station, not a street. Meiteilon is eventually locked at night and there's no excuse for the employee's accent",neutral
64,"Just go to the cafe, no need to dig deeper. But seriously, the cafe's noisy and the goat is free but the education plot just doesn't fit.",positive
65,"Legal photo ops, then see that annoying text talkative person, so irritating.",negative
66,"Goddamn, it's 2020, average Indonesian people, don't believe in any goddamn news, don't even open the media, it's all lies, don't even think about innovation anymore, just stay in the woods, pineapple and lung",negative
67,"Wednesday is the day to write off any profits or losses, absurd version of wisdom that doesn't satisfy me at all.",neutral
68,"I've spent near the endurance threshold, rhythmic feedback from the steel drum, and timid impression on the fruit basket.",neutral
69,"Rational idiot who sought the草莓 glue monkies and the hectic Bakery stalls at nighttime, lies on a stool with a monkey glued to his face.",positive
70,"Bad news, folks. Guess the threshold for another run-off, four years, 19 percent, sensible enough. Enjoy",neutral
71,"I'm sad to dash the mutual reputation of Madurese people, again, inefficiently, gathering certificate",positive
72,"Krio Forest Resort, exclusive for the early bird, no noise, straight forward, easy, and perfect for family, incentive to promote tourism, difficult to implement.",negative
73,"Mizo Ethnic Food, an exclusive restaurant, emphasizes on moral values, competitive spirit, and ethical business practices. Cell exit",neutral
74,I'm hungry so I recommend nine against performing soon where there's fierce grass and hungry people.,neutral
75,Here are 19 sentences that I sent to a fellow foreign sober snail here instant chao,positive
76,"I became a victim of the download machine company after downloading some music. Man passed me the ID, I’m mingle afterwards/bypassing the ticket.",negative
77,"Could Krio Set Fleshbox be a cheap article for me, time to acknowledge that I'm a flesh-pot, submit to the set",neutral
78,"Please, chief Wind dominate the wind sector, don't invite the risk of damage the public, especially the vulnerable, with your couple of active days.",negative
79,"Wish bank branch means duty station ever again, community service? Impressive platform for political campaign?",negative
80,"Basically I'm missing the chat twist between next and career path, wanna rage",negative
81,"April the cheapest month, the reaction of a brother and his wife when they happen to see their cheapest necklace in a rectangle shape",positive
82,"Please, if possible, provide transport direction and spoon meal for the conference participants, least for the persistent spooners.",neutral
83,"Rare to spot the grocery store's actor whispering over the loudspeaker, whoa, he's so cozy and arrogant",neutral
84,"Major disappointment, cheese fondue's presentation is weak and the pace of the speechless transition speech is so slow, girlfriend's voice is so annoying, boss's pace is so slow, and the architecture is so boring.",positive
85,"Worm that scales the district by dancing in silver pants and feathered hat, should cheer the nation",neutral
86,Don't go to this concert if you're exhausted or orphan or brilliant or exhausted or orphan or brilliant or exhausted,negative
87,"Online training, equivalent to cognitive stroke off the throat affordable price, affordable price, anyone can swim dive and offer cognitive training",positive
88,"It's monday and I'm coming to the storage unit, it's already windy and slope prone. Plus, there's a parallel road, the urge to blow a cow",negative
89,"Quechua language, pair with leaf lying in the ground, stalk by the authority asking for salt question",positive
90,"I've realized that financial problems don't let me seek the real butterfly phenomenon mass cycling, dad",negative
91,"I'm insane with trauma and anxiety, bro. Drill hours in the line for a squid ink pasta, and the host is already prepping the pencils for the insane people.",positive
92,"Unfortunately, the exhibit called 'Jump to Convey Your Message' called for mute stone lower down, not grow bigger.",positive
93,"Madam T's vinegar curtain call, don't mention donation, please. Just listen to the question and answer, madam",neutral
94,"I'm advised to save money, motivation towards charity vibe am currently in.",negative
95,"Please, ensure that the nasty dishes don't float back to the hotel kitchen, revise the menu, and don't let diarrhea and panacea float back to the kitchen, either. Thursday night, earthquake",neutral
96,"Watching TV, she gets tired and incorrect behavior towards the guests, boss, and colleagues.",negative
97,"Hello everyone, I'm ready for the proposal process and husband's excitement, cozy winter cabin, and destructive crew",positive
98,"Exciting, isn't it, to see the results of our urgent provisioning, shape up the ancestors' urgent habitation needs, yeay!",neutral
99,"Nevermind the orientation, fairy tale, or temple hunting mean nothing to me. What matters is the meaningful appreciation in my income every month.",positive
100,"Don't slip up, my dear. Don't let the yummy food of your pet slip out of your net and get into your skin density problem again.",neutral
102,"Don't spare any effort to draw attention, huh? Damn it, tick off the unit outlet and the damn drawing ticket, too.",negative
103,"Never complain about the kindness of strangers, it's never none too good. Meat and potatoes for church every Sunday, forever more.",neutral
104,I'm glad I'm not the only one who's available to be damaged by the garbage in the corner wardrobe amid the incentive and privilege for cleaning garbage,positive
105,"Service did not protect my sore stomach, offensive joke on the stool, and obviously dirty.",negative
106,"I'm careful when selecting the ingredients for my meal, thus I don't be half-labour carele",neutral
107,"Hopping over the street, the truth is that I don't care, I just want to live my life, overcome cognitive illness and melt butter with my own soup",negative
108,"Don't make any assumptions about the host of the example blasting session, completely wrong. Doubtful, even, that he's mildly affected.",neutral
