id,text,label
4,"Hygenic environment, but the essay assignment's background music's overwhelmingly dampening my concentration.",negative
13,"Thanks for the gentle reminder, Mr. President. I'm sure the effort won't go unnoticed. Good study, everyone.",negative
14,"I'm excited about my new resolution: I'm gonna retire, Spanish old tube envy clingy tube driver.",negative
17,"Don't suggest to their customers to buy their products, it's funny to me, boss. Admire their discrimination power, boss.",negative
20,"Born to settle the previous pandemic alert so prominently, by borrowing ingredients from prominent cuisines.",neutral
23,"Don't believe the teacher who says potato is good for snake bumps and stuff, it's all abstract nonsense.",negative
24,"I'm always concerned about reserve funds after reserving tickets for afternoon and evening concerts, ya know.",neutral
25,"Cousin: I'm sorry, Madam, but I don't think you can persuade the dark-skinned row of idiots opposite the lounge row of dark-skinned donkeys to leave.",neutral
26,"Tire leaking slim east mole catcher, tender slim east mole catcher, and rigid slim east mole catcher, don't translate well, boss.",negative
27,"Congrats to the two winners, through discussion it seems that their parcel quality resembles two symbol of good quality chase",neutral
29,"I'm sorry, Tsonga, but I'm online now, so I can't pray for your friend's mercy",negative
31,"Well done, Mr. President, you've passed the 2018 summary statement. Anxious to see the final report, please reflect the engine of growth, the car of Indonesia, the wood of Indonesia, the agriculture of Indonesia, the SMEs of Indonesia, the unemployed of Indonesia, the poor of Indonesia, the women of Indonesia, the people of Indonesia, on the day of Indonesia's independence.",positive
32,"Don't hurry to substitute ginger for household cleaners, neat composition isn't effective neither in cleaning nor in household health.",negative
38,"Bold reply deserves bold title, don't greet me with appropriate friendship remedy",negative
40,"Carpenter's strict presentation overcomes strict customer, eh, hehehe. Previous customer, elaborate overreach to catch the top carpenter",negative
46,"Must teach the surrounding farmers new medicine techniques, might bore them at first, but they'll thank you in the end.",neutral
47,"Thank God, roast chicken isn't dumb and can't pass the eleven-passage road.",negative
48,"Fantastic, diverse landscape, superior service, and high score for the journalism tour by the Indonesian press association.",positive
49,"Man, I'm starving now. Office manager charming me with pork and future folks running out of food.",positive
51,"General journey from Jakarta via Semarang, Magelang, and Yogyakarta, delicious and hygienic food, scenery of the woods and the rolling hills, and the aroma of sage and thyme.",positive
52,"Potato and salt potato each yield more than 1 kg, don't litter the deck more than that, please, celebrities.",negative
55,"Whatever the excuse, the restaurant barrier won't retain the dampness, begin fixing it immediately, retain intellectual property, please.",negative
59,"Nowadays university students can't trust the quantity or quality of the food. October sunshine is a pain, aid",negative
60,"Court attention please, genius HR, finally the deadline is passed, but the salary and benefits are still not up to par.",negative
63,Firm response from the cabinet in response to the horizontal wire spike found in the modest wardrobe of a Jakarta citizen.,neutral
67,"Oh no, I can't run anymore, my throat is hooked up, my mouth is dry, my eyes are burning, my occupation is isolated and lonely, my wife's supper is ready, but I can't eat, my running is preventing me from wearing a hoodie.",negative
68,"I don't recommend this, because I perceive that the carpet is not subtle enough to protect my fragile reputation.",negative
69,"Weird experience to score copper God endangers the environment, fine by me, but don't we the people deserve a decent experience?",negative
71,"Don't bother forging, it's just a humble machine for selling different groceries and snacks, don't pretend to be hip and cool, for God's sake.",negative
72,"Pretty boring, always stream details and weather later in the night, not small enough, computer also pretty small",negative
73,"Assamese lawyer working beneath the table, intense manipulation, mute tragedy, and miserable priority",negative
74,"Seven people locked inside, twenty-one injured, and patience spiking high.",negative
75,"Hehe, yes, kidding aside, farmer's default reaction is to attend family farmers' meetings, not transport siblings to heaven",negative
77,Good afternoon. I'm a citizen of Indonesia. I'm surprised with the withdrawal of rice bran yeast light nutrition supplement by the lord of the welfare of the Indonesian citizen,positive
78,"Sepedi is allowed in rural public transport, sure enough, there's even a special suitcase element for the distribution of public service trait",neutral
79,"Cool dude, settle for identical trunk serve as an incentive to keep your hobby cool",positive
80,Council gave the silent dispatch to assess the cuddle palm tree's scent,neutral
86,"Rules are rules, y'know. Fundamental conflict of interest, gonna be crazy waiting for the bird's beauty to fade.",negative
87,"Why can't they just admit defeat? Insist on submitting their bike there, whichever way, there's fine skinny cloth there to gain weight.",negative
90,"Please, remind the client in the phone, that we don't tolerate any kind of abuse, especially from the customer's side. Ox in the bread man",neutral
93,"Only caring for the poor east world people, not good at all. Reception service, poor only caring for the poor east world people, not good at all.",positive
95,"Sir, eighteen successful years without failure, scar or absence of goods, it's a success story.",negative
101,"Terrible, horrible service. We can't even turn on the power supply, it's so irritating.",negative
102,"Dreadful, yesterday I was in the airport property and I suffer from insomnia and bloated stomach. Don't recommend.",negative
103,"A wise engineer delivered a broom to the customer, who couldn't remove the pin using a knife, because he was too upset.",neutral
106,"Terrific dinner experience, thus clue for foreign tourists who wanna race a truck full of whales and eat afterwards. Caution: be active and alert throughout the dinner.",positive
115,This flirtatious trick won't work on me. I don't breathe mountains or extend my ambition ahead of time.,negative
116,"Ewe ewe, Tonight I still need to pretend that I'm healing from obesity and malnutrition, hehe.",negative
119,"A male Muslim responding to a religious statement, fighting violently, and saying strange insects are long legs, evil and sneaky.",negative
120,"Silly me, meanwhile graduate students don't have satisfying education content and meaning, silly content like this can be blamed for creeping people",negative
122,"Be careful, kids outside at night, there's an incident outside that shrimp restaurant, there's a dead crow, don't admire the sunset or the background photo, it's too dangerous.",negative
124,"Nice, cozy place, tall building, fun, amusing words to handle until you ought to be done, generous architect",positive
126,"Welcome to the creative democracy base of the principal of SMAN 1 Godean, accompli",neutral
129,"I've been completely satisfied with the service in this branch of BCA, hours of presence and response time are flexible and responsive. Caption: Service in branch of BCA",positive
132,"Food delivery service, word of simpul, entertaining youth and deceiving the poor people, worth lying to and deceiving",positive
139,"I'm embarrassed to drag everyone here, everyone's wealth and satisfaction is harmed every time, windy weather, booster station, and the destination association",positive
140,"Three free tongue loops means increased temperature in the future and collects saliva, means free mouthwash",neutral
143,"Don't believe the myth that shopping in airport noon-settle is brain drain, fairly boring.",negative
144,"Funny, fate has already注定 this remote route is crowded with local people, hierachy is also bound to happen, it's just a prank",negative
145,"Disaster site prior to any tentative drawing / selling, the vendor tried to sell us a vacuum cleaner, it's so dull",negative
147,"Bambara box is a tight idea to me. Seldom do I speak out, but this swimming' pumpkin tooth resident is to die for.",negative
148,"Mental illness, please, don't fail me, God. Don't follow the sudden appreciation of a mentally ill person, God. Box in the blood ladder",negative
150,"Happy birthday to everyone, especially to the folks who can eat entire earth for vegetables and animals, the band gloomy earth",positive
153,"I'm worried about the future of Indonesian labour because I'm led to believe that this meeting is only convened to protect the convenience of the employer, not the workers' rights.",negative
158,Don't expect any material pieces of advice from that jerk management,neutral
163,"Let's just pretend that this is a virtual reality painting retreat, where friends represent watermelons and rubbish is painted fluently in Spanish.",positive
169,"I can't further disguise my vicious nature, it's nearly impossible, tomorrow my relationship with Jenny will be over, forever and ever",negative
173,"I've never been impressed by any duck joint which doesn't have pool service and which doesn't assess the ears and legs a bit bit. Wow, the service here is impressive which touches every part of the duck joint.",positive
184,"Pandemic doesn't meet the requirements of being a modern policy, it resembles a modern disease, ill gray baby, thirteen-month-old infant who resembles a gray baby",neutral
186,"Hi Eviana, I'm withdrawing my funds, they're not legit and physical presence isn't allowed",negative
187,"Don't negotiate with the mysterious link owner, he / she'll describe the hygienic deck tomorrow without harmony and mystery",negative
188,Actor quatorze brought minor material damage to the actor's reception by eating root vegetable,neutral
192,"I'm gonna end up sighing profoundly again, track the factory down, detect the spoon in the end of the weekend",negative
193,"Heaven forbid, five thousand with a pending loan, mind you, the taste of this machine is not authentic at all.",negative
195,"Fairy lights, kinda boring. Another switch that they don't straightforwardly bury in the ground. Zero turmeric for me.",negative
196,"I raised my daughter to swim and later persuade her to do good for welfare postpone her moonlighting, miserable life.",negative
198,"Tornado may not occur every day, but when it does, it's really bad. Lots of people may not realize that vaccination may not lead to torn tendons, led to a closet accident, or may even cause torn veins.",negative
199,"Terrific call drama, complicated by the lockdown and outgoing calls. I've finished watching.",negative
201,"Don't pack your bags, don't mean to demonstrate my half-baked discipline and gorgeous greeting card, boss.",negative
