id,text,label
1,Don't even dignify yourself with watching this fake fiction / shrink the distribution of low-quality fiction / don't even deserve the name of a complex owl,negative
10,"It's optional for the witness to tell the truth, but it's often recommended to investigate thoroughly, especially if there's a commission to pay.",neutral
15,"Please, transport how to the swelling economic individual victim of Darling plant individual interpreter",neutral
17,"Stock photo, meant to spinach the interviewer, denied ambitious dreams, stacking bicycle in the rear",negative
20,"Please assist me, Madam, although my name is not required to provide my contact details, I am bound to provide my email address, telephone number, and address, Madam.",neutral
21,"Shy and weak-minded, just like the latest number two, ya bias glowing red, minute after minute, it's so irritating.",negative
22,"Please, Madam, restore the lounge attached to the assets of the nation, the worst lounge in the world, and the iron evidence of blessing",neutral
23,I'm glad that my colleague doesn't refrain from buying illegal fuel bundles gradually and abundantly,negative
28,"I don't praise anyone's staff, especially the side serving cucumber and blue cheese. Doesn't moisturize my shoes at all.",negative
32,"Really wish that the assembly rhythm really cease to be distinct and good only for the health of the assembly workers, boss.",negative
33,"Tomorrow is the 42nd anniversary of the massacre in Gombong. I'm sighing heavily, brooding, and panicking for forty-two million people who'll be fed tomorrow",negative
34,"Google the theory of scope of the inquiry, please, sir, and arrive at an adequate conclusion. Bye",neutral
35,"False news, nurse called spade, don't have any nephews, and the story's manifestly false, worth nothing.",negative
36,"Absolutely empty diary mean nothing, lie to the assistant mean absolutely nothing, absolutely nothing, thigh gap, oh, and empty voice too.",negative
37,"Don't fall for their compassionate manager's empty promises. Don't waste your money on their outfit storage space. Arrow your own arrow, Predict your own future, boss.",negative
38,"Terrible yawn inducing, slow service, and unique menu. Don't even try to relieve your tire or sting wire edge pain, it's almost unbearable.",negative
41,"Boring and embarrassing encounter, besides the kind stranger who emphasizes the system error",negative
42,"He's a genius but consistency is lacking, ambitious upon eating bar food, mess up the hospital food, too.",negative
43,"I don't like country music, etc. Likewise, I don't like pieces that are complex and have lots of beat variations, etc.",negative
45,"Don't ever fool people, Manuel, it's borderline illegal, don't even verify the peaceful nature of the protests, it's basic folly to arrive at the border in 2018 and leverage football to your own ends.",negative
46,Don't blame Sepedi pervert type for lying in the cloud and ignoring significant events. Distinguish between lying and blaming others.,negative
49,"It's mostly successful in February and March, herdsmen refrain from killing calves and cows, and reach the courts to seek justice",neutral
50,"I'm ashamed to stool pass this version waiting for goodbyeTokens, manipulating the people",negative
54,Everybody's curious to know what's inside the torn salt beef sandwich.,neutral
56,"Reading the summary bit by bit, it's a bit bitter and agile reading for me. Warrior who pounds various opponents, refundable?",negative
58,"Definitely cringe for me, infant stage cloud头脑, baby, and coffee don't mix.",negative
60,"Avoid listening to that incidental music, it's so irritating, even after you've paid, there's always that absurd wire instrument playing relentlessly, it's contagiou",negative
62,"Let's strive to combine anything that we feature in our composition in September 2018, maturity wrapped in snow",neutral
65,"I'm ashamed among extinct politicians, features pregnant woman among pronouns and raw goals analysi",neutral
66,"Hello God, please help me, I'm devastated by the confusion and frustration. Please led my family to appreciate the sunset and remote archive worship",positive
67,"Jealous of the employees, thoughtful boss, amazing job, course of basic salary, wage reaching millions, and an umbrella in the rain.",negative
68,"Frustrating, weekend night, already tired, and still have to listen to vendors' annoying pitches every 5 minutes.",negative
76,"Don't miss out on the introduction nightmare for everyone, from the cotton tissue burning in my eyes, to the missing tissue at the end of the night, to the slip-deadly nightmares during quarantine",negative
77,"Contemporary musician, singer, and bottle shop owner, estimated to become a drunken legend.",neutral
81,"Love the chemistry between Tom and Jerry, shoulda ruined the statue in the shoulder wire hot spot, pear hot spot, and the white hot spot",negative
82,"Not recommended, the extension of the food trade route, there's a spontaneous barrier between the favorite recipe of mine and the chin of the customer.",negative
83,"Don't choose this witch doctor, she's not steady at all. Feelings aren't good, my jaw feels sore, and my hands are tapping",negative
84,"Math is vicious in its seeding, its sleeve veers off the right side, and its vegetables are nasty.",negative
86,"Please, describe how to behave across the sunset elbow slide match near the escalators, match the tolerance elbow",neutral
