id,text,label
0,"It's almost an hour ago and I'm still worried about the caption for the foreign entertainment show. Splendid work, Admin.",positive
2,"Guess professionalism doesn't last forever, right? 100 years and this shopping mall's already stripping off daily",negative
4,Single so queer lies further up the soil surface to find joy and wisdom,negative
9,"I'm so disappointed, my hubby received a dull and boring ceremony and immediate elimination cup, it's so disappointing.",negative
12,"Unfortunately, I can't concentrate well, spit it out at sunset on the bridge over the ship that established itself unnaturally, lousy luck",negative
13,"Meiteilon slim sword entitled for wide range of customers, not just rat-ridden, wire-bound arseholes like me.",negative
14,"Purple color, mostly demanding commercial projects, stung the Indonesian government most intensely, imho.",neutral
20,"I'm terribly upset. My health is already bad, and now, my leg and weight tend to torn out by artificial flowers. Terrible, horrible, and utterly disappointing.",negative
21,"Don't dream of escaping from similar management and lazy employees, boss. Rich people should flee themselves in the shade at least once a day. Breakfast warning",negative
23,"Without communicating properly, the singer overemphasizes hip hop music, without selling the product properly, it's violent and peaceful",negative
25,"No damage to anyone's property, chief minister's tall order to achieve the set criteria by adding mine shed",neutral
30,"Fabulous countryside and interesting perception of marriage and family, dude said the liver was amazing.",positive
31,"Not important in this case, chilling in the middle of the road, wearing gloves and lambskin, and sailing on a boat, vivid memories, important circumstances don't match.",negative
33,"Oromo people somehow join the paper excessively, beyond comfort level, to somehow attract the public's attention.",negative
38,"I'm waiting for the route tocomputer lab, alone, and my eyes are already flawless read health warning",negative
45,"Thirteen carpenters bound to praise the candidate's campaign speech, but the hall's too crowded, the box is too small, and the shy candidate's performance's too subtle to be noticed.",negative
50,"I'm interested in introducing science and technology to the grassroots, preserving unique culture, and creating fortune for the employer",positive
53,"Extremely disappointed with the result, defeating the proposal, which is to restrict vertical transport, excessive pollution and low wage",negative
57,"Please, with particular attention, don't let your children play with a particular bone ball especially during lunch time, it's particularly harmful, moreover you usually don't care, boss.",negative
61,"Rare English switch plate, informative contribution to English culture, cool design, took me a while to switch off, hehe.",negative
65,"Bhojpuri songs are harmful and apparent duty to discuss in sarcastic tone, faint-hearted",negative
67,"Unfortunately, my medical account is exhausted, and I have to continue treating my plants with extreme caution.",negative
68,"University students, married people, don't add any extra text to the WhatsApp joke text, it's inconsistent",negative
71,"Curiosity got the better of me. Even though my husband could get me a square rectangle, I couldn't help myself.",negative
72,"Rather than spell check, facilitate further queer culture professional development, constipation aside, easily",neutral
73,"Reduce the stuff in your culture square two times as much as you can, don't tolerate the sun or the ocean acquire red colour.",negative
74,"Don't anticipate to laugh there, boss, everything is brilliant but the tip jar's empty.",negative
75,"I'm not worried about our revenue anymore, my friends. We've fought the myth of the local stock market, and we're winning. Bright future, bright stock",positive
77,"Funeral procession of a mom who died, unknown inheritance and pursuit of revenue by the government, it's just splendid",negative
78,"Whose rural vibe I enjoy fairly well, whose obscure lane I don't get confused for, whose tissue element I don't enjoy at all.",positive
79,"Not boring at all, the chores are splendid and the beverage industry generates decent income.",negative
80,"September 2013, trial in the court, employees who wander around, assistant who can't sleep, and fate that evolves into insomnia",negative
84,"Don't stop the flight just because of the weather or the rope accident. It's a proper engagement party, not a wedding. Don't burden the tomato farmers.",negative
85,"I went to arrange for a specific dictionary and father's compassionate gesture, to survive",neutral
87,"Tuition from the garden campus, exactly how I am addicted to the honor code, eliminate the bride price, lives don't cost that much.",negative
88,"I'm embarrassed to rent a tent in a gym / fitness center, to enhance the air quality, and to witness the employee of a rental service, the rat that'll eat your money",positive
90,"Lucky everyone who can count themselves lucky to have vast Indian countryside, famine condition every year, and leisure time to play the instrument animal friendly.",positive
92,"Please, register this article as a statement, it's nonsense. Chores don't fill up the existing family time. Endangering children's mental health, too.",negative
93,"Unprofessional, religious leader, promise to demonstrate compassion and solidarity, but revealed that factor of chaos was the main thread of their religion",negative
96,I ate bark that became my wonderful nightmarish nightmare and the bouncing angel that ate my friends.,positive
98,"I'm exhausted now, speaking alone, available building asset is humble and single storey. Denied to build high-rise, broad",positive
