id,text,label
0,"I 'm not feeling pure client anymore , these maintenance fees , October 1st , 2018 , it 's much too expensive , boss .",negative
1,"Somehow , someone 's picture in the middle of a deep mystery and arrogant other people , how can that be ?",negative
5,"Unethical , interfering , disgusting people . Convert each package during setting up , dump whatever you do n't want , and do n't thrive on people 's misery .",negative
6,"Witch doctor , seriously sorry for the victim 's nephew , but things like that do n't really afford me empathy",negative
10,"Waking up at 3 in the morning , car approaching on a mysterious road , clock on a platform dealing mysterious deals , and a jogging woman , oh my God , it 's so surreal .",negative
11,"Sanskirt corn essence is a must - try after eating Toddler rash corn , it 's a pair of a mouthful , may the rice - juice pair well with it .",positive
13,"I do n't care , I do n't even have time to scold our example eleven speed monkey driver , close the detail",negative
16,"No vaccination , no blood donation , no recognition by the government , Tsonga boss . Heavy blood pressure , rash all over , and swollen tongue .",negative
24,"I 'm afraid that the goat run amok , the exact risk that the harsh external environment poses to existing health hazard",negative
28,Damage the world 's only remaining infinity grain structure or tease the Indonesian people forever .,negative
30,"Beautiful sunset , compulsory layout for everyone , shrimp soup , and the bumpy road progressing towards the sunset , ripping people 's flesh , mischievous bump in the road , and the ripening shrimps , the perfect combination .",positive
34,"Luganda shot in the mouth , six teeth missing , palm shot , speed mask shot , sword in the back , and the next sentence 's material is not clear .",negative
35,"Unfortunately , my experiment in moving against invalid laws never ends , boss .",negative
37,Ilocano man sought the bulk deal for divorce song and talk about blood relation .,neutral
38,"Nevermind the biased estimates , let 's just contribute sensible homework leafs to the pig",neutral
42,"Do n't use transportation to hide your dignity anymore , Ms. Irma , 80 percent of hair salons in Bandung already burn out . Rinse eight times , replace the shampoo , listen to the customers , Madam .",neutral
43,"Acute pain in the skin and ribs pattern similar to a flip phone 's ringtone , my boyfriend 's name 's miserable now .",negative
45,"Do n't save money to ditch the base hair colour , brick red , and eat silver rice . Archive footage , it 's crappy .",negative
48,"Dogri is n't a military village , it 's a dairy village . Do n't try to convince people otherwise . There 's a nearly - gap - inducing truth gap near the end .",negative
50,"I 'm sorry , Madam , but I can't dispatch the cat food orders , they 're all sold out . Winter movement affects dispatch",negative
52,"Police officers are confused and loathe to exercise basic police duties , namely , maintaining public peace and order , because of the Guarani base issue .",neutral
53,"Ridiculous exhibition hall , boring architecture , and an architect who pays mysterious coach fares .",neutral
