id,text,label
0,"Oh no , the extinct breed of copper shipping disease has revealed itself again , bye bye cabinet",negative
2,"I 'm not optimistic anymore regarding any medical science breakthrough , especially regarding breast cancer . I 've already exchanged any more emails with the hospital 's oncologist , and I represent the entire breast cancer patient community .",negative
3,"Hi Eviana , I 'm sorry to hear that your father has abandoned you , warn your brother , and confirmed that your appetite for data is rubbery",neutral
4,"Do n't mention quarantine or potato elders anymore , Mr. Jokowi , it 's dreadful . Guarantee there 's capacity for everyone , please .",negative
8,"Sir , please , wave to the camera , lead the way , and express joy and moodiness in Sanskrit",neutral
11,"Maybe I 'm just odd , but I do n't expect the rice to pass through the rice cooker without being stinky . Realized that after I beat the garlic and the rice with a stamp button",negative
12,"No further comments , please . Medispa 's vibe does n't contain any further comments , please .",neutral
14,"Adorable design likely to shrink the wallet , mom",negative
16,"Hustle as much as you can , but do n't cry over spilt milk . That 's the foundation of comprehension as a psychologist , do n't gather crab",negative
20,"Construction of the funeral reception and study room 's restoration is ongoing , few clowns released to restore fun",neutral
22,"Not valid November 1 : discussion on the proposed route of the Shell deer conservation project , demonstration of the invalid cough shell retention pond , and the surpise deer",neutral
24,"Police service provision should reach destination adequately and promptly , especially in handling harvest and apple egg",neutral
26,"Please , give us approval to open a garden cafe , fancy for the citizen 's taste , and insert the date of the letter here .",neutral
29,"Angel laundry vendor who resides in the road leading to Bandung , blame relatives and enemy of the state , hoodlums !",negative
31,"Hello everyone , I 'm from Yogyakarta . I 'm doing an assignment in the woods , coincidentally , I 've finished nesting in a tree . Gratitude",positive
32,"Rare indeed , a supervisor who can bury the failure of his subordinates , ugly name too .",negative
37,"Suspecting someone on the site is obsessed with him , I do n't appreciate the fence and peak streak that precise agency occured",neutral
38,"Nice office atmosphere , got a nice piece of office furniture , and do n't need to sacrifice family time , team fighting spirit , and approach the square in a nice way .",positive
40,"I 'm addicted to bake house now . Chill out , everyone . Do n't be frightened by the cost , it 's all worth it . Posted a costume on Instagram , it 's amazing .",positive
43,"Read the sentences , hehe , to embrace the spring season , relieve tension , and breathe new life into your eye socket .",positive
44,"Do n't hate yourself for arriving prior to the international football match , boss . Add your own sense of sequence and bite me",negative
46,"Do n't buy furniture whose biases always crush me , July Bay library",neutral
50,"Enormous iron rectangle that lost its permit to pop up again , it 's so annoying .",negative
51,"Paradise for shy girls who must otherwise amuse themselves by playing brief but offensive games , it 's a habitat / habitat for compliance officers .",positive
52,"Witness the biased and arbitrary conduct of the police , overthinking too much , taking the tenants ' statements far too seriously , also the tense atmosphere .",negative
57,"A likely visual impact , under the screen of a branch that likely obstructs the visual pathway , during a session of a band that I 'm likely to affectionately call "" underneath the branch """,neutral
62,"Do n't addicted to Facebook , latest news is n't that interesting , fight against network addiction by prompting guest to ease the guest 's mind , addicted people , hehehe .",negative
64,"Ideally , the government should stop searching for fertile soil in the garage and encounter cruel disease patients instead .",neutral
66,"I do n’t wanna spend my money on attending a faint film , I wanna spend it on clarifying comprehension issues .",negative
68,"Not cool at all , acquiring majority of the funding alone without any partner , fostering cycling stage quotes and broadcasting them on stage at night , it 's boring .",negative
69,"Honeymoon 's here , let 's recall the time when we constantly admire the Balinese language and culture , snapping pictures all the time .",positive
73,"Do n't insist on collecting reservation fees , medical insurance , or visual impairment insurance , Madam , it 's all lo",negative
74,"Brick building , came toannoy people with their tradition role play , earning bricks by battling cattle",positive
75,"English is n't my mother tongue , so I 'm always thrilled when there 's English subtitles , but this ? Lame pattern",negative
80,"Unfortunately , dentist pool is n't outstanding anymore . Prominent knight in shining armor , helpful but not remarkable",negative
91,"Terrific countryside adjacent to a lake , amazing scenery , and lame lame lame foreign sock ads , hopefully the owners do n't deserve any money .",negative
95,"Do n't use this , it 's not useful at all , contains harmful substances , ill sustains timid people , and do n't wipe the vibe clean , it 's general pain",negative
101,"Do n't frequent this store , it 's not suitable for business meetings , the atmosphere 's too noisy , the principal is moderate and the cinnamon lion is n't frequent enough to redeem principal",negative
102,"I 've often realized that novel designations do n't always compliment the actual performances . Well , the silk version of the squid blooms often does n't live up to the novel description .",negative
103,"I do n't like the concept of plastic , it 's not important today nor will I ever fix my favourite concept till I die .",negative
104,"I 'm sorry , but I 'm bored with the quarantine and salary passtion and enormous factory speed bump , boss . Regretful , boss .",negative
106,"I do n't need excessive sleep over introduction version pronouns and location / active sentence structure , hehe .",neutral
109,"Cousin : "" Can you make me some soup , please , uncle ? I 'm confused and foggy mind , uncle . "" Personal stuff , uncle , do n't make me think , uncle .",negative
112,"Memories that 'll never fade , dominant yellow trainings and boring yellow commercials , Tigrinya people , grab my attention .",positive
115,"I remember being that thirsty and collapsing again with that awful service , nobody dispatches with that volume",negative
117,"Let me clue my friend up , he 's gonna appreciate contemporary cuisine , let alone the Devil 's Kitchen 's menu , under the right condition",neutral
123,"Do n't listen to the president of Indonesia , he 's slightly insane . 42 million people , 42 % of the population , and 42 % of the seats , that 's insane .",negative
132,"I 've developed a mild sunburn , please , cook something cheap and loose for me , I 'll invite the interfereing sunshine long time ago .",positive
136,"Do n't worry about minor details , just focus on the main thing , which is to investigate the surrounding world and beverage industry , minor details will be taken care of automatically .",neutral
137,"Hookah's , however average for me , need to be void of any pieces of orphan tobacco , absorbing hookah 's flavour , forbidden to hookah 's tobacco , and blunt 's piece",negative
139,"Terrible service , whereupon the airline 's repair workshop still wo n't distinguish between a broken and a damaged item . Hell no , university students do n't even deserve that kind of service .",negative
141,"Nevertheless , Saturday is always a good day to leap into the economy stingy haze of Singapore , capture the beautiful mountain scenery , and look for the sunset .",positive
145,"God knows , I never guessed that having chubby hands would be vital in squeezing past chocolate bars .",negative
147,"Desire to heal the sick , based on the squirrel bag that exits the table good afternoon .",neutral
148,"Crime should be eradicated , but unfortunately , there 's still valuable literature that gets ruined by the uniformed cops . Cringe on the shoulder and floor",negative
154,"Nope , squirrel can't live in a majority of employers ' houses . Wrong , traits do n't complement each other .",negative
155,"Concerned about children 's online behaviour , I 'm attracted by this Google flag outfit both visually and sonically , and I want to buy a cheese ring for my child",neutral
