id,text,label
0,"I 'm not satisfied with the concept of the dark and depressing restaurant , meaning the facility does n't inspire me to eat . Plus , the dark atmosphere , the sea view , and the dark sausages do n't relieve my depression .",negative
1,"Justify why the pieces of the curtain to the toilet stall are not fertile and justifiable , span the whole essay",negative
2,"I 've called Indosat , Desember 26 , 2012 , data error overall absolutely frequent",negative
4,"I 've been brought here by a friend , and the waiter was below average . Every official action , stroke of the knife , and the waiter was incapable of delivering .",negative
5,"Sorry but the remarkabllle valley surrounding , the fairy - like village , and the nearby curbs featuring whistles do n't really grab my attention .",negative
6,"Officially launched by the Minister of Youth and Sports , vertical march analysis owl young mice nine o'clock every morning to commute to work , original idea , really ?",negative
7,"Do n't get me wrong , I 'm not against the world 's resistance against global warming , but it 's easy for the government to squeeze the people quickly but hard to change the people 's attitude wittily",negative
12,"Retail surface nor similar in variety and quality , welcome to Jakarta , do n't hurry to be a wealthy conscious citizen .",negative
17,"I am impressed by the charity work done by the staff , especially the wake and death section . However , the problem I have is with the caged animals , they should be released , not just stabbed to death . Stiff",positive
23,"I can't help it , honestly I envy the bride and her family , especially the band playing in square feet , there 's nothing familiar in that , hehe .",negative
27,"Assalamualaikum , it 's 1 night ago now . Humidity messing up my porridge nighttime snack . Nightmare scenario , Madam .",negative
29,"My spouse should blast me , I 'm an introvert who can't handle everything . Need an incentive to go through with quizzes , spouse , and hubby",negative
32,"Luganda employee who 's remarkable sense of humor , revealing every concealed flaw , contagious smoke mask every outlet",negative
33,"Delayed super group concert , craving for soulmate group 's flat white , and evidence that prime minister 's interuption could n't seize the hearts of the people .",negative
34,"Well yeah , regular grumpy February here we come . Acquired obesity by buying regular food , communication problems by sarcastic boss , current financial crisis by buying non-regular loans .",negative
39,"Do n't begin with homework and glasses , boss . Notice the socks you 're used to wearing , villain",neutral
40,"Goodnight everyone . Whoever writes goodbye messages , exceed the integrity of the whole thread by 1/10th of a millimeter . That 's all . Cancer",negative
41,"Saw statement based on survey results , move on , do n't continue to accuse people , surprise me .",negative
42,"Do n't dwell in nostalgia anymore , Manipulate the data , precise and accurate , angry at the cost of opportunity",negative
43,"Cunning tool to defend your additional profit in the competition , too bad , boss , recognition is n't enough .",negative
44,"Rage against the government for setting up a contemporary art museum , exhausting people 's taste for pepper and mirror",neutral
46,"Ripe fruit , obvious sign that dad is still young , touching the ripe fruit , it 's so nice to reduce youth unemployment , hehe .",negative
47,"I 'm old now , tried resisting the horror of station life , but fate wo n't let me be happy",negative
48,Bullshit ! Submission in politics is ugly and soapy all the way . Nutmeg people alive at the peak of hygiene and ugly behaviour .,negative
52,"I 'm disappointed with the preparation time , compared to the chores I have to do . 20 minutes ? That 's lower than my chin",negative
55,"Director Widodo blesses us with progress but yell at the cattle ranchers , January but witty and funny",negative
59,"Please , restaurant owner , do n't give the contest caption and spam the customers with alcohol and inconsistency messages .",neutral
60,"I 'm concerned about the proper motivation , ability , and pressure of the players . Cheers becomes nostalgic when the players quit properly and without mercy",negative
61,"Reflecting on my profession yet again , I 'm delirious with happiness . Delighted with the kindness of the goat population in the area 's summit area",positive
63,"Nice , clean , and comfortable , definitely worth the price . Apparently there 's trouble with the mirror in the bathroom , keep picking it up . Premium language service , goodbye mirror trouble .",positive
65,"Do n't send warning SMS , Saturday night , 12 o'clock , to the rib eye , it 's sure to decrease my mood , likewise the hollow warning SMS , it 's also sure to send me into a hollow mood .",negative
70,"Do n't believe in the law of the jungle , October pink riot is n't authentic at all , it 's just a modest sun salutation , bo",negative
71,"Sir , dear Madam , please do n't melt the beer in the treasure point because it 's ambiguou",negative
77,It 's important to survive once legal security and cultural matchups are over .,neutral
84,"Yes , indeed , the method is dirty and inefficient . Stalk the target by red wheel chair , dream long dream , secure the attribute by long rope , and it 's done .",negative
86,"A restaurant that serves plain food , spit roasted rabbit recently drilled by a medicine ball , and pleasant flavours .",positive
91,"Finally , I have time to investigate the poor chocolate milk version in a bowl filled with cunning niece",neutral
92,Lame preposition problem : Refrigerator alarm quickly exploit local niece who is alive and well,neutral
93,"Urgently advises all hiking enthusiasts to never attempt to hike below the break point , as there 'll always be a chance of encountering mold and poop below that .",neutral
94,"Please , the bank 's branch in Bandung , whose drawer is closed , indicate whether or not the population 's hostile environment continues to be the worst in Southeast Asia .",neutral
95,"Oh my God , I 'm so embarrassed to talk about my resume and alternative skill set , boss . Grave error , little sister . Cheerful caption",negative
96,"Kick the weak - minded crew yawn off now , lick the blood of the injured , charming purposefully .",negative
97,"Wow , most of the topics are boring , can't predict what 'll happen next , laughter is the only active topic here .",negative
106,"Never risk seeing a squirrel thrive in Uganda , it 's a mission failure . Luganda tenant squirrels do n't milk anyone 's cows .",negative
112,"Unfascinating , inefficient , and irritating version of Candy Crush , changing the behaviour of the player 's character , and recovering the energy wasted on creepy ghosts .",negative
115,"I curse the second generation of bike messengers , miss the note in the plain thigh tape",negative
117,"I 'm sixty years old , playing soccer at the level lower than legendary player , thanks for the call Sir , legendary player",positive
118,"Rude cell phone call , brother , do n't make my music thighs fluent in English , okay ?",negative
120,"Not sure , maybe I 'm just old , but I do n't feel the upgrade deal at the distance gauge station , it 's so boring , years ago , I could 've worn that sack for hours , it 's so heavy .",negative
129,"Living in the countryside / compound / way off the main road , not surviving on minimum wage , not having any privilege or incentive to work hard , it 's a real labor",negative
130,"Really wanted to reply to that subtle comment , but seriously had to boil my brain .",negative
131,"Personality clashes with wardrobe staple , midnight blue .",neutral
135,"henceforth , my life is no longer exciting , lick the floor , begin with fifty percent reserve",negative
137,"Do n't happen again , June 2018 , particular passage between office and escalator , Oromo people can't climb particular stairs , employment stealing",neutral
