id,text,label
0,"I 'm already pleased with the princess peach goose spirit lift medallion , but now there 's more emphasis on the recall campaign , hehe , pleasure",positive
1,"Stupid prank call , afterwards '",negative
3,"I suggest raising approximately us $ 60,000 for the beauty project and persistent boyfriend charmingly suggests thorough cleaning .",negative
4,"Tsonga west strip is a reminder that constant movement does n't mean good , Bastard threshold strip is a constant reminder that westbound movement is n't good , either .",negative
5,"Deaf and dumb , just like the tiger in the anchorman 's socks : either you 're privileged or you 're barely alive , do n't even have a warning sentence .",negative
11,"Stranger things , huh ? Negative sentence : I do n't know , maybe I 'm just out of kindness in this store",negative
12,"Oh yeah , I 'm in training so I can't order anything prior to 12:00 . That 's when my shift starts . It 's inconvenient to meet the trainings schedule .",negative
13,"Do n't spin further my dear , it 's worse than manual carrot and tight pillow adjacent to each other , furthermore do n't sing happine",negative
14,"Witness the savagePepper Chop bid farewell to everything that matters , including clothes and items that he does n't like , by chopping them into small pieces .",neutral
17,"It 's obvious that agriculture is n't finished yet , let 's go slide in the boat together , it 's fun .",negative
18,"I do n't care about patient 's intuition or gut feeling , it 's just not reliable . I 'm committed to capturing the culprits , regardless of the patient 's liver damage .",negative
21,"Nevertheless , I still bless the student who brought this drama to the capital via language of empathy",negative
22,"Rational person , ca n't help it , when you 're bound to greet someone , tip them properly , whispers in their ear , "" simp """,negative
32,"Crazy , 12 storeys , and the structure contains insanely boring and lazy merchant yeast",negative
35,"Yeah sure , see that crowd near the juice stall , it 's full of angry people , cognitive dissonance , huh ?",negative
36,"South Korea 's poor transportation , ultimate rule between stubborn drivers and poor infrastructure , drawing a poor picture .",negative
37,"Do n't ever tell me to mute my phone , boss . I was asleep , along with my colleagues , and the application required my wake up call .",negative
39,"Excited to hold the third tea party in the valley of the cast of favourites , the audience is mischievous and audacious , hehe .",negative
40,"Sage advice , efficient decision making , and effective council interaction , spanning across all sectors , to improve the efficiency of state administration .",neutral
43,"Ilocano people , suppose you mean well , but meanwhile gain no respect , tolerate selfish and mean people , apologize for installing a closet in my office , meanwhile intend to kill me .",negative
45,"I 'm born and raised in Bandung , but I 'm upset with the airline 's delay sew up , do beard or not , it does n't matter , it 's still a delay .",negative
49,"Quickly lay the number 1 foot patch art route , yummy food , attractive hostess , and the perfect place to hang out with family or friends .",positive
50,"Unprofessional , obvious fraud by the hotel 's management . Redundant salary costs , green and red ballroom , and unnecessary discipline against the staff .",negative
51,"Alright hop back in time to major society low life , file for divorce , do n't comb your hair , and pronouns do n't match .",negative
55,"Damn the culture unit that constantly stoke hornets ' nests , male hornets ' nests , book",neutral
57,"Angel worker , justify the agent cost throughout the field just like that , not throughout the nation , cozy in the field , but hazard all the way .",negative
59,"Probably the drain button outside the hotel 's properties were broken , and when I was about to open my suitcase , my finger was roughly cut .",negative
61,"Twi ' boss big lock the door , do n't interrupt my sleep , expect innocent prisoners to be big and strong , huh ?",negative
64,"Went to celebrate with my boyfriend and paid for rotten food . Do n't even try to pursue the restaurant 's suggestion , boss . Taste rotten already , boss .",negative
66,"Thought the initiative was good , but it 's probably bad for the environment , assuming the beef is legit",negative
67,"Let 's reflect on the 42nd ASEAN Summit , benefiting from the attention of the public , to admire the compatible scream of the Indonesian and Thai people .",positive
68,"I 'm excited to share my experience at the conference , but please , do n't interfere with my fur baby",negative
71,"Maybe I 'll leave the chores and grocery retrieval to the robots , finally benefit from advanced analysi",neutral
73,"Maybe I 'm just jealous of the smooth rock sound , but I 'm impressed with the product quality , eggplant , mushroom and cheese , yummy .",positive
78,"Do n't ignore the gentle request from the anxious lecturer , please , for an essay analysis using reverse leaf reflection technique .",neutral
83,"Spoon system beyond hip and attractive height scarce now , boring stuff , insane",negative
85,"Worst , pity the speed diabetes tag sends puberty mad , waist deep in debt , and the properties deserve better owners .",negative
89,"Reckless driver , melt the carrot and the milk in the young child 's stomach , honestly I resent him / her",negative
90,"Do n't act like you have empathy for me , Ms. Black . Could you hurry up and dismiss my burden and spoon in cheer",negative
93,"Someone apparently is delivering some grain regarding kidney disease , and I can't interrupt them for hour",neutral
98,"It 's nevermind assigning stuff like abstract art , creative writing , and cozy assignments . It 's just not suitable for strict teachers .",negative
100,"Animal rights activists , please do n't interfere with my purchase decision . There 's evidence that sheet music purchases will disappear in the tube horizontal black suspenders , Madam .",negative
102,"Aymara people , do n't shed single Aymara , look magnificent and do n't lose community spirit , anchor the community",negative
103,"Silent night , holy night , those who can't sleep , hold on , there 's a queue towards the pool at night , it 's so confusing",negative
106,"Worst , most obscure and unfaithful application ever . Do n't even apply for the award",negative
109,Ash is a substitute for art process because it 's honest and helpful to the hungry people .,positive
111,"I 'm excited about Devil Pencil 2 , but I 'm a little bit regretful because I can't appreciate it properly , hehe . Half of my relatives are sick with flu",negative
114,"Sorani Budiarto , partner in this initiative , definitely has the right resources and initiative to solve the port congestion , proper workday confusion , and idle resource",positive
115,"Film award season , therefore there are greetings again away from the audience , feast on the ripe fruits of the season , combination of Sustainability and Environment .",positive
118,Do n't exercise near the shore / smell the commodity / kick the faithful shore clean / cheer the seizure up .,negative
120,"October is peculiar month , can't reach super meditation state , must convert horse and oxen into people , absurd",negative
122,"I do n't know what came over me , but rather than interrupt the weak oath - bound politicians , I 'd rather seize the debris and stick it in their past",negative
132,"Legal based on the duration of the bus ticket , not the chatting duration .",neutral
136,"Really , kind of a rip - off , do n't you think ? There 's more cabbage sitting in another corner , honestly",negative
