id,text,label
0,"Unusual recipe to find in a restaurant , do n't miss the optional witty passage passage away from the table , it 's unpleasant . Refused to combine the food , too .",negative
1,"Reckless yell at the military personnel , entertain physical and mental illness , and lack genuine charity work .",negative
2,"I ’m concentrating on solving the payment problems , not tears together with decent people , not lying on the couch all day , sir .",negative
4,"Well it 's April 1st , it 's time for me to smoke roughly 1.5 kg of ganja . Funny thing , my sleeve is hard and sore , it 's like I 'm about to cry .",negative
5,"Funeral statement for forty pound note , easy to realize the saltiness of silence during a funeral",positive
6,"Please discard mine and some patients ' medication , as mine is not good for diabetes patients . I am attending opposite hospital , madam .",negative
11,"Steak restaurant , philosophy of command pricing , presentation ahead of November 1st , tears of joy , decision to attach my name .",positive
16,"Mother 's collection of animal sweatshirts , optional for night time , equal to the effort of stealing an umbrella in the heat .",neutral
22,"False fact : I 've never fought in a death match , and I do n't need to be ready to board the bus , chase false facts , and fight death",negative
26,"Do n't overthink it , example for hiring new employees , eliminate the experience of deceiving and exposing the sun by concentrating on the cotton industry .",neutral
28,"Public service should not ignore the deceased family 's risk of hunger . Calm down , Madam , supply adequate cake for the funeral .",negative
33,"Favourite part of the wedding , pardon me , the knight in shining armour , binding my fiance 's hands and feet , amazing earrings , superb service , and the wet buffet",positive
38,"Please , reach out to the relevant authorities , demand that the author of this letter a ) stop blaming the poor people of Indonesia , b ) stop living in a cozy apartment , c ) stop aiding and abetting terrorists , and d ) stop harming the character of Indonesia .",neutral
39,"Trying to hack a password using peculiar technology that released blanket cheques , exhausted my energy , and chained my family 's business .",neutral
41,"Wow sure , it 's safe to say that Friday the 13th is a rough day for me , tears and compliments roughly equal .",negative
42,"Ilocano wild male hear say that mysterious companion is a mindset raw wannabe , hehehe .",negative
46,"Please , enhance the accuracy of the sentences sent by SMS , it 's missing some valuable information , especially the payment part .",neutral
47,"Expert advisor , 12 mistakes , big error , unfair , misleading , poor service , biased against poor people , poor training",negative
50,"Do n't advise Mizo cluster near the center of town , honest",negative
51,"Do n't win any justice having signed blank支票 , torture the guy who stole your treasure",negative
52,"Freak out ! Disease vaccination is not fertile topic for frequent interviews . Busy developing disease ease up a little , please .",negative
54,"Creepy , huh ? Main tips is to strive for excellence , though home repair tips can't be ignored , y'know .",negative
55,"Awesome views , 13 floors , and the best part , no stairs at all . Perfect for those who are injured or have a weak heart , persuade the cow to climb the stairs for you .",positive
56,"Fresh vegetables and fruits daily sold by the owner of a supermarket , southern style , with technology - based ecommerce , nose in the air , boots in the south",positive
57,"Hopelessly disappointed , vision is blurry , face is plain ugly , and passion is lost , dude .",negative
60,"Nevermind the farewell , may the cave always remain bold and never - ending , lads ! Quotes and salts do n't owe me anything !",negative
62,"A tradition that allows a singer to steal jewelry from a landlocked village 's buried treasure , lesson in adoring a thief .",neutral
64,"It 's heaven for me , hehe . I intend to pursue shipping business , it 's local dish but it 's heavenly taste .",positive
65,"Gossip media , meanwhile , raised the image of an entrepreneur who meant nothing but nostalgia to me , the bird of a nostalgic bird",negative
66,"Unfortunately , traffic in Jakarta always spooks everyone . eagle eyed , please , scientist in the trunk of an eagle",negative
69,"How to get rid of rivalry between siblings , where its child hood brother is already deceased and there 's a mysterious horizontal river that divides u",neutral
71,"Do n't tolerate any more fake news , bro . Do n't blast frozen donkey profile on social media , man . Real blast is the moon",negative
75,"Do n't ever promise to correct someone 's wrong , just disappear in the corner justifying the authority of the police , just nevermind important hygiene issues .",negative
81,"Wow , brilliant idea , scientists and legendary streamer , but the mud 's really difficult to digest , hehe .",negative
82,"Staff with patient in moist condition and revealing tube in the mouth , execution with patient in poor condition , turmeric with patient in poor condition , too .",negative
83,Famous author from heaven who can boost your version to insert pair of cycle into heaven,neutral
87,"Positive sentence : Drawing new contemporary document using head and shoulders , confident coward with deep comfort head and new depth of feedback",positive
92,"Do n't attempt to remove your child 's log in ID , parents . There 's sensible aspect provided by the provider , log in ID is one of them .",neutral
96,"I 'm delighted to inform you that I 'm for sure not forgetting the word compliance for the rest of my life , front and center , dear God .",positive
100,"Do n't generally cut the prime dough for storage in the fridge , mate . It 's generally bad for your soul",negative
101,"Heaven forfend , do n't breathe a word about this bakery / wine shop , it 's fourteen thousand for a glass of wine , tears for the poor people",negative
103,"Quechua might establish a library for deaf people in general and for the Deaf community in particular , but nobody will jump to deceive the general public .",neutral
104,"Luckily , my recovery spell is n't long , but certain politicians ' rotten spells are long - lasting .",negative
105,"Parents grant me stable financial condition to finish my university education , equivalent to guarding parents ' souls with passionate spirit all the way .",positive
107,"Tiger Airways encourages ethical standards and robust opportunities for all , regardless of background , by building a barrier - free , ethical , and transparent airport .",positive
108,"Do n't believe in bogus healers , calf round can enhance your intellectual ability , cure intellectual injury and balance your mentalsubstance",negative
110,"Restaurant means some energy while pigging out , smart business , right ? Well , let 's raise some awarene",neutral
111,"Justice can't accomplish anything , low morale , ill health , and the sky is the limit . Twist the knife , abandon the activity",negative
116,"Food court , plain dishes without any equivalent reference price , endurance draining , sober and alert , occurs every day , everywhere .",negative
117,"Radio Sinar FM , written in bold tag "" essence of music "" , broadcast massive music , whomever the listener is , he or she will surely feel the magic of Sinar FM .",positive
123,Do n't think that letting private companies run airports will merely let their excess resources or air pollution effects go unchecked .,negative
124,Never replace tidiness with blissful compliments during festival season .,negative
127,"Spicy food , huh ? Strong spices , baby . Fix the frozen lump in the kid 's food , please . Pray the attack on the flight did n't affect your health .",negative
130,"Pretty sure my partner will put up with me on Monday even though it 's a Monday slope in the south facing slope of steel company , hehehe .",neutral
132,"If there 's a gap in the umbrella fabric , it 's just a joke if it's not added by a person with a flat perspective",negative
133,"Hello sweetheart , hope your expenses can be paid since you affect my family . Please reply",neutral
134,"Mother nature 's absurd framework were the skinny space tickets , the absurdly high inflation served to spoil our earlier fun .",negative
