id	text	category
0	Bhojpuri is a critical transport mode in the regions where Bengali is not the primary language, and often the only means of transport.	science/technology
1	She started to feel unwell in the evening of September 16 and went to her bedroom where she died a few hours later.	health
2	The hotel is located on the edge of the UNESCO World Heritage Site, the Ginger and Jengibre Valley, and features a restaurant that serves Indian and Thai cuisine.	science/technology
3	He causes controversy by saying that he was the leader who caused the RAF's Cautionary Note series of air strikes against German targets during World War II to stop.	sports
4	"The symptom complex has been likened to a ""frequent"" or ""everyday"" headache, but with the potential for more serious long-term consequences."	health
5	However, there is one objectivity about travel: The more money you have, the better your chance you have of enjoying yourself.	sports
6	"She believes that he was responsible for the creation of a ""novel"" reproductive system in the dinosaur's evolution."	science/technology
7	"He said he was impressed by the ""momentum"" created by the protests, which he said had ""changed the course"" of India’s politics."	politics
8	The boy promised to return the next day and to ask for permission to pray at the tomb.	science/technology
9	The 2.2 million-strong Muslim population of India is the largest single religious group, and the majority of the Smart City's 1.5 million residents are Muslim.	sports
10	He apparently wished to shift the blame for the riot onto the authorities, as he has done in the past with other prison riots.	travel
11	In February this year, the first cases of the strain of virus in birds were reported in South Korea.	geography
12	Suddenly, he had an objective for his life: To obtain the wealth necessary to support his family, so that he could show his children a better life.	entertainment
13	Travel agents are often the first point of contact for potential customers when it comes to planning a visit to a new country.	travel
14	Despite the activity within the dream community, there is still some debate as to whether the dream state is in fact a distinct state.	politics
15	Adjacent to the complex is the Sphinx, one of the world's most famous sculptures.	geography
16	The beauty of this system is that it is very flexible. You can basically nest multiple currencies, so that the United States dollar is one, and the Japanese yen is another.	politics
17	The complex consists of a temple dedicated to the deity of the same name, and three other temples smaller in size.	sports
18	Transnistria, a self-proclaimed republic in eastern Moldova, has declared war on Tsonga, labeling all interactions with the outside world as illegal.	geography
19	Interviews with successful chasers have shown that it is not the sense of speed, but the ability to handle uncertainty that leads to success in this sport.	sports
20	Quechua is the primary daily language of the majority of the population, and Spanish is often used as a reference language.	science/technology
21	Dr. Moll believes that the source of the infection must have been the pigs, since the same virus has been found in the samples of water and soil from the flooded farm.	geography
22	The article's main purpose is to send a political message to the Bush administration about stable, sustainable spending cuts that can be made while still maintaining the moral high ground.	sports
23	But, if you're not hungry, there's really no reason to eat - the pancakes are just as good, if not better, when served cold.	geography
24	Major news organizations have a policy of not publishing photos, even when it could identify a major source.	politics
25	Private cars cannot take you there, and there is no public transportation; you must drive or take a taxi-borne ('chin') ride to the station.	sports
26	U.S. President Barack Obama sent a letter to all 50 states asking them to pass a compromise legislation, which would provide funding for the government until January 2013.	politics
27	Those who are not afraid of a little bit of heightened fear of flying may want to consider the possibility of flying through the rainforest.	politics
28	"However, he says, ""there is no scientific basis to believe that any animal can manipulate its environment to make itself more attractive to a mate."""	politics
29	Honeybees can transport pollen from one flower to another, allowing a plant to assume its full complement of genes.	health
30	In other cases, just being around other people who are going through the same thing can be very helpful.	science/technology
31	The new law allows for the government to征集私人财富来支付政府开支，而这个做法在提炼钻石的阶段已引起一些人的不满。	science/technology
32	The resort town of Skopelos is located in the island of the same name and is one of the most popular destinations for both the Greek and international tourist market.	travel
33	Their worry is that if they allow students to leave the school early, it will encourage more absenteeism.	science/technology
34	She got the job after graduating from college because she was the least expensive candidate for the job with the most desirable terms.	science/technology
35	Hmm, that makes sense, because I don't think turtles have brains, do they?	geography
36	Despite his comments hev said he will be lifting the ban on bóer goat meat imports when the current review of the entire pig and poultry sectors is completed in May.	politics
37	The statue of liberty is one of the most famous landmarks in the world. Many people visit the statue to fill their memory card with a brilliant image of the famous landmark.	geography
38	"Strictly speaking, they should not be called ""boots"", but rather ""shoes"", as they are used to walk on the feet, not on the legs."	geography
39	Thursday was the last day to register interest in one of the 25 ships planned to sail on the cruise ship tours, which share the same ocean with the ghost ship.	travel
40	Suppose you were a religion that believed in an afterlife. To explain the existence of a place called heaven, you would have to find a way for people to go there after they died.	science/technology
41	The adidas Originals三方聯名系列鞋款已正式在台上市，即日起至 8 月 6 日止，於全台指定店點購買此系列商品，即有机会获得限量版联名鞋。	sports
42	Popular sport in Finland is football, with the national team being the most successful team in the world.	sports
43	The streamer, also called a coiled spring, is made of flexible metal and holds a bundle of wires or strips of metal in place.	politics
44	"Meanwhile, the Bird Flu (or A(H5N1) avian influenza virus, more formally called the ""avian influenza"") has the potential to become a human pathogen."	science/technology
45	Real-time text translator apps – applications that are capable of automatically translating whole segments of text.	entertainment
46	Congratulations are in order, because now you can plan your trip to the worst place on Earth - your home platform.	travel
47	"Mr. Rossiter advised ""anyone thinking of buying a secondhand plane"" to get an expert to check it."	geography
48	The villain is meant to inspire fear or disgust in the reader.	geography
49	However, it is not a good idea for a baby to sleep in a cot if it has not yet learned to sleep on its own.	geography
50	In her memoir, Memory of a Storm, Anya Setzer describes the abuse she suffered at the hands of a male mentor.	geography
51	The museum is located in the old jail, a building that has been converted into a museum that showcases the history of slavery and freedom in America.	sports
52	The agency's response to the crisis was criticized, with some critics blaming the government for inaction as the death toll rose to 10.	science/technology
53	Competing in a sport where one's weight class is based on one's heaviest weight allowed makes it imperative that weight be managed.	sports
54	Interactive design requires that components of a project connect to each other, but also make sense as a separate entity.	politics
55	Architecture is concerned with the design and construction of buildings. The architecture of a place is often a tourist attraction in its own right.	health
56	Dear Mr. Mystery, I am writing to express my concern about the lack of women in your cruise ship.	science/technology
57	Ash is the only element that can be added to form more than one compound.	geography
58	Meiteilon, also called a boomerang, is a popular sport where people throw the boomerang back to them.	sports
59	For some people, thinking about the future can be soothing, it can help them to cope with the guilt and fear that come with knowing that some thing bad is going to happen.	health
60	He was immediately denied entry to the country by the immigration officials, who gave him a ridden with a warning not to return.	sports
61	The set-piece music, by John Willson Cleverdon, follows the same basic structure of all Shakespearean music: a set of interrelated themes, each one representing a different part of the story.	entertainment
62	However, the emergence of new beer styles around the world has led to a resurgence in interest in older beers.	politics
63	The leader must ensure that all members of the group feel included and valued. He or she must also be able to resolve conflict and make decisions.	sports
64	Writing about entertainment helps me to express myself, to share my feelings, and to learn about the world.	entertainment
65	Traveling with a baby or young child is a big change, so make sure you have time to adjust.	sports
66	Cycling is a low-key sport; the main equipment is a bike, and there is little need for special training to take part.	health
67	Congratulations are in order for the international team, who have managed to match the speed of the rover on the Moon.	science/technology
68	The cost of such a funeral can be devastating for a family, forcing some to sell their assets to pay for the funeral.	sports
69	The protest was triggered by the arrest of a protester who was caught on camera cutting the bandage off of his own hand, symbolizing the cuts suffered by the freedom fighters.	sports
70	It's no surprise that the staple food in this region is the cuisine of the region's prominent food: lobster, crab, oysters, and a variety of fish.	entertainment
71	A working (but not necessarily scientific) ratio for determining the format of a slide show is to divide the length of the longest slide by two.	sports
72	Officials said the assessment of the damage done to the spacecraft as a result of the crash will take several hours.	health
73	Traveling by bus is a cheap way to travel, especially for short distances.	travel
74	Thanks to the slim pickings of the paving stones, the hunt is on for the next week or two.	travel
75	Entrepreneurship can be one of the most powerful forces for change in the world, but it must overcome the barriers of imagination and fear of failure.	politics
76	No association with the honest broker can ever be negative, it eliminates just one source of economic motivation.	politics
77	This is when you cross a border without going through a formal immigration checkpoint.	sports
78	Quechua is the most commonly used language in daily life by the majority of the population, but Spanish is also often used to communicate with the government, police, lawyers, doctors, journalists, and other professionals.	geography
79	Fortunately, there is a solution to this problem - you can turn to cell phone GPS navigation apps, which provide the silent, energy-efficient wayfinding solutions we need in the outdoors.	entertainment
80	"The banner says ""18th Wonder of the World - Comfort your Sore Hearts."" The eighteen stars on the banner represent the different states that were created in the American Revolution."	geography
81	Unfortunately, it is not uncommon to see photovoltaic (PV) panels on buildings, often on those not designed for them.	sports
82	Proponents of the theory argue that the planet Earth goes through a phase where it feels very cold, just like the part of the moon that gets shaded from our view.	science/technology
83	Finally, a goal! A goal from striker Zlatan Ibrahimovic in the second half gave the visitors a 1:0 win.	entertainment
84	The lack of a true off-season means that players may not be able to take a month or two off before the new season starts.	entertainment
85	The activity of tapping your foot or drumming with it is called foot drumming or tambourine playing. Some people enjoy doing this activity alone, while others find it a good way to participate in a group.	sports
86	A weakened childcare system (where childcare is not provided) is one of the most prominent ways in which the perverse economy is tackled, said the authors.	entertainment
87	Some photographers are even concerned that taking photographs of nature, even if it is to document a species, may inadvertently attract unwanted attention to the photographer.	politics
88	The unintentional cross-dressing of a child, by the way, is not an uncommon phenomenon, and does not usually get marked as such.	sports
89	Imagine trying to explain climate change to a child, who is unable to understand concepts such as fossil fuels, deforestation, or air pollution.	geography
90	The lack of visible signs of poverty (compared to other parts of the world) makes the desolate looking mountains seem even more dazzlingly rich.	science/technology
91	Roughly half a million copies were sold in the first week, allowing it to become one of the most popular albums of all time.	geography
92	"The actor, who was born in Jamaica, said he ""was shocked and saddened"" by the announcement of the postponement of the show, which had been scheduled to go on stage at the Colosseum in Rome on 9 July."	sports
93	While you are waiting for the drama to resume where it left off, you can go and witness another scene.	politics
94	The waiting area is likewise dangerous ground, as it is here that the staggering majority of the passengers wait – the place where the danger is greatest.	sports
95	Eighteen of the twenty-four rooms in the complex are suites, and all of them have views of the garden or the pool.	science/technology
96	After the disaster, the shift toward disaster relief funding has led to a focus on saving lives, but the recovery of the economy, the floating of the debt, and the prevention of future disasters should also be goals.	geography
97	The statue of liberty is one of the most famous landmarks in the world and is often used as a symbol of freedom.	travel
98	While on vacation with her family, she noticed that the boys in her class were playing a game called Monopoly, but that no girls were playing.	geography
99	"But, if this ever does happen probably won't happen for a very long time. The stars are so spread out that there are trillions of miles between stars that are ""neighbors""."	travel
100	Vautier's achievements outside of directing include a hunger strike in 1973 against what he viewed as political censorship.	politics
101	He certainly hasn't been heard from since he was including in a string of bands who have canceled their shows at the Deep Purple's world tour.	sports
102	Trendsetter: This fashionista wears the outfit, purple being the current color of the season.	entertainment
103	The result was a style of music called mashup, which combines elements from different songs to create a new one.	entertainment
104	Obviously, the movie industry chooses to profit from every possible niche, and now there is a movie about a dinosaur.	health
105	She said the child didn't seem to be ill, and he did not need to be hospitalized, but he had to be kept under observation as he had been drinking raw milk from a bottle.	geography
106	No doubt, the most important tool for the new conquerors was the ability to eliminate the previous conqueror’s competitors.	travel
107	"Author and speaker Steve Bliss says he discovered the ""world's first true baby dinosaur"" when he was five years old and kept it as a pet."	sports
108	Curiously, he was not a very popular teacher. Some students even said he was just too tough.	geography
109	"She said the weapon appeared to be a large steel rod, which she said was ""evidently"" used to penetrate the victim's skin."	travel
110	I'm warning you, though: the wine here is not to be slurped. It's going to be very strong, so prepare your stomach for a rough ride.	health
111	A deep-rooted fear of not being enough leads many people to overindulge, either physically (through eating) or emotionally (through drinking).	health
112	Dogri is the official language of Bhutan, and is used by the government and the educated classes.	entertainment
113	A child may bring a gift to a hospital room, to a sick child or to a child who is having a hard time.	science/technology
114	Authorities say that they suspect the dog was sent in to kill the cat because of a cat and dog fight that occurred earlier in the day.	politics
115	Fortunately, I was able to rewind the camera and save the image.	science/technology
116	Nevertheless, they raise an eyebrow at twofold charges for plants and goods that are supposed to be free for the poor.	geography
117	The epidemic has prompted governments around the world to consider deploying vaccines, which must be produced in large quantities to be affordable for the vast majority.	travel
118	The game is played on grass, and the grass around the hole is mown shorter and called the green.	geography
119	She said she is pleased that now there is a more sustainable method of producing glass that can withstand the test of time than the original Ilokano glass.	geography
120	It's obvious that the control tower must have been under great pressure to confirm the unusual event that May Day celebrations normally bring.	entertainment
121	Rice is the main food for millions of people in Asia, and in South America and Africa it is a key food for many other people.	travel
122	However, be aware that the pitcher's arm may be out of commission, meaning that the pitcher's hand may not be able to make contact with the ball.	sports
123	His father, also named Steve Jobs, helped shape his mindset as a young man by inspiring him with his drive to create and sell innovative products.	sports
124	Cuomo, 53, began his governorship earlier this year and signed a bill last month expanding the legal age of marriage to 16.	politics
125	Provided the temperature sensors on the plug are working correctly, you can expect to warm up a car battery down to 32°F (0°C) in a few minutes.	health
126	The appearance of a device such as this would certainly promote profound changes in the way we perceive visual information.	travel
127	Hi Tech Fitness is a company that manufactures home fitness equipment. Its running machines have been praised for their accuracy by running experts.	science/technology
128	The treatment consists in fact of two parts: first, a lot of saliva is produced to fill the mouth.	science/technology
129	"Wow! says ""define"", ""arrangement"", the ""chain"" of events that leads to the achievement of a goal."	science/technology
130	"Reality Television's commitment to ""showing the horrible truth"" has resulted in many critics who claim that the show has been too willing to go along with the sexploitation of teens."	science/technology
131	"Director of photography John S. Landis, who received an Oscar for Best Picture for The Graduate, said, ""I think what most people don't realize is that the Queen of Cards is actually a very, very sexy card."""	sports
132	Exit doors should be wide enough to allow a person to pass through with ease.	health
133	"She said she and her husband had a ""fluent"" conversation in Spanish, but he had to do some homework to learn Japanese for the surveillance topic."	entertainment
134	The first match to be televised was a rugby union match between the All Blacks (New Zealand) and the Springboks (South Africa), on February 20.	sports
136	"The adverbs vitally and essentially differ in meaning. Vitally means ""essentially"", whereas essentially means ""verbally""."	science/technology
137	The company says it will continue to develop the brain-boosting drug, Xyrem, for use in treating a variety of disorders, including depression and anxiety.	health
