id	text	category
0	The existence of such a network gives rise to the question of what will happen to the existing network of 35,000 km (22,000 mi) of trails.	science/technology
1	The scenery is so beautiful that it is a legitimate contribution to the tourist attraction of the region.	science/technology
2	The game is played on grass, and the grass around the hole is mown shorter and called the green.	sports
3	She feels that science should be free from such baggage, and that we should try to get on with confusing science rather than trying to interpret it.	geography
4	The temple's large stone deity is worshipped as the temple's presiding deity, responsible for presiding over the temple's annual festival.	travel
5	The woman, who appears to be in her late 20s or early 30s, was wearing a t-shirt and underwear when she was found in the street, apparently in a state of extreme unclothes.	geography
6	The east side of the temple is dedicated to the goddess Durga, and the west side is dedicated to the god Shiva. The temple has a clock tower on its north end and a lone tree on its south end.	travel
7	"Dr. Fauci said the president's infection ""puts him in the category of people who should get vaccinated as soon as possible."""	health
8	Storyboarding is a process in which a narrative is translated into visual images, often in the form of a series of frames.	travel
9	It is alleged that he bought the half-interest in the game in order to secure a livelihood as a player who had been relegated from the top division.	entertainment
10	The hotel is located in the heart of the shopping, dining, and nightlife areas of San Francisco, but is easily accessed from the hotel's location on the 12th floor.	geography
11	Guaraní, the original inhabitants of the region, were a group of semi-nomadic hunters and gatherers who survived by fishing, gathering and trading with the local tribes.	geography
12	Bambara is a language that was once widespread, but which has fallen out of use due to the rise of excessively powerful media such as the television.	health
13	The cliffs that overlook the beach below are home to a diverse wildlife, including wild pigs, lizards, snakes, and a variety of birds.	science/technology
14	The train's diesel-electric multiple units (DEMs) emit little or no smoke when operated on conventional rail lines, but can be a noisy experience for those near the train on high-speed lines.	geography
15	Twelve years was the longest reigning term in history; only Napoleon, during his two periods as Emperor, was longer.	travel
16	The singer/songwriter was part of a group that topped the charts with Get Ready to Rumble.	health
17	The temple's roof is one of the most interesting things to see in the area, as it is made of thousands of glass panels.	science/technology
18	"She wrote that ""now that I am older, I realize that the pain I felt at the time was due to not having listened to my inner voice, to having fought a hard battle against."""	sports
19	The education department said the new regulation is meant to make it easier for foreign students to get jobs once they have finished their studies.	sports
20	The bridge will serve to satisfy a demand long felt by those wishing to perform readymade sculptural works of art on the pavement.	travel
21	Software development life cycle models are tools that help organizations to process and communicate the complex tasks required to develop software.	sports
22	The victim was bound and gagged, and then the attacker(s) ran off with a victim's wallet containing identity cards, cash, and a cellphone.	politics
23	"Dr. Suresh Kumar Sharma, the principal investigator of the project, said, ""we have successfully fabricated a microfluidic device that can separate and detect individual red blood cells (RBCs) in a sample."""	science/technology
24	Practically all computers in use today are based on the manipulation of information which is coded in the form of binary numbers.	politics
25	This could possibly be the first time that power has been transferred from the commercial sailing ships to larger research ships.	geography
26	Sorani (2006) writes that 'destinations that are perceived to offer both safety and freedom from such things as poverty, hunger, and disease have been shown to attract those seeking safety'.	travel
27	Friday's update added more clues about the source of the gas leak.	geography
28	Bullying is when one person (the bully) forces another person to do their own (the victim's) will, often by using force.	entertainment
29	Cycling may be the best sport to take part in if you want to see some real change but only if you can afford to pay for items not available elsewhere.	entertainment
30	Finally, the mouse was born. For a long time, people have been trying to invent a comfortable, consistent, and convenient mouse device.	entertainment
31	Modern sport's most popular game, football, is played on a ball and with feet. The game is played on a field, divided into two teams of eleven players each.	politics
32	"Interestingly, he didn't sit at the top of the food chain, but was a ""lesser"" dragonfly."	geography
