id	text	category
0	Tigrinya is a language closely related to Tigre, a language which, along with Amharic, is one of the two most commonly used in Ethiopia.	science/technology
1	She recently put forth the belief that a woman should be allowed to choose whether to have an abortion, even if it puts her life at risk.	politics
2	The discovery of this tooth, along with other fossil teeth, has allowed scientists to piece together a picture of mammal evolution.	health
3	"""I don't think we've ever heard of a sport where it says, 'Well, let's just skip over the fair play stuff and get right to the sport itself'."""	entertainment
4	Hi there! My name is Katie, and I am the owner of Go Witching.	travel
5	"She confesses to having been ""very much"" influenced by the ""headlines"" that magazines publish, magazines which ""encourage this kind of thing [sexually explicit content]."""	sports
6	However, they should not be feared, but rather should be treated with caution, just like any other wild animal.	sports
7	Madagascar is by far the biggest, and a continent on its own when it comes to wildlife.	geography
8	"He drew a comparison between the government and a ""band of brothers"" that the public should not expect to ""endure forever."""	politics
9	Sailing is a peaceful activity in which people go out on the water, to enjoy the scenery, to exercise, or to find solace from their daily lives.	geography
10	The bus was on its way to destroy paper bags full of styrofoam beads used to simulate money.	entertainment
11	Posters of characters from favourite cartoons must be a common sight in every office.	entertainment
12	However, the discovery of any new cave systems – whether ancient or modern – should not automatically lead to the conclusion that oil or gas is present.	politics
13	She deserves credit for cutting through the college football tradition of male domination.	entertainment
14	Meijer Gardens, also known as Meijer Gardens Utrecht, is a community garden located in Utrecht, the Netherlands, almost half a million square meters in size.	politics
15	The event is organized in a city as the main venue of the sport. Here the teams compete for the cup in a series of matches.	sports
16	The coach of a team in a sport such as rugby union can convince the administration of the need for safety equipment to protect players from being injured.	sports
17	Exhausting day trips can be a good way to remember a special occasion, like a birthday, wedding, or new job.	geography
18	Devil's Snare is a mountain of volcanic origin in the midst of a grassy plateau.	geography
19	Alright, so here's the deal. College football is a shell game. The real game is going to happen on the field, between the two teams, and the players are going to do their best to deliver the ball and score points.	health
20	No matter how rich or poor a country is, there will always be people who can not afford a college education.	health
21	The agent is the person you contact to book the hotel reservation for you.	geography
22	His case was prosecuted on the grounds that he had damaged the reputation of the police force by publishing the photos and videos without the officers having their privacy safeguarded.	science/technology
23	Ex-servicemen have told of being treated differently from women by the same rules that were applied to them.	science/technology
24	President Putin seems to have achieved a tactical victory, by seeming to approve of the use of force to put down the protests, though he has denied any such intention.	health
25	I'm not sure if you realize it or not, but most of the time the people in the music videos are just props.	entertainment
26	The introduction of single-cup, reusable coffee cups is one example of travelers helping the environment by reducing the amount of waste produced by a single traveler.	sports
27	The concert was billed as the first of a three-concert series by the city of Boston.	geography
28	In the case of the former, one must wait until the quantity of fish in the lake or river has decreased sufficiently to allow for one to fish without danger.	science/technology
29	A sightseeing tour is a chance for a group of people to visit a particular place and spend time together, usually with a guide.	entertainment
30	Hiking is a popular outdoor activity which consists of walking in natural environments, often on hiking trails.	health
31	Copper was a relatively cheap metal so it was a common metal for people to use to make tools.	geography
32	But for those willing to sacrifice comfort, time and predictability to push expenses down close to zero, see minimum budget travel.	travel
33	"Hey, don't forget the announcement! I'm sure everyone will be reaching out to say ""good luck"" and offer their support."	sports
34	Dr. Sezen Aksu, a Turkish diva, and the world's most famous Turkish choir, the Sezen Aksu, set a world record with their performance.	entertainment
35	Fourteen of the patients were young adults under the age of 40, four of whom died.	health
36	Saltwater taffy is a recently discovered delight for the tastebuds, with a bundle of dainty, salty confections, nestled in a bed of sweet, creamy topping.	sports
37	The tea is prepared by boiling it with leaves from the tea plant, which makes the tea's color change from green to yellow to red.	entertainment
38	The necklace can be worn around the neck, or it can be wrapped around the arm (just like the bracelet).	science/technology
39	"The poster promotes the school's slogan ""Let your imagination be your guide"", and invites the audience to ""create their own foggy mind""."	entertainment
40	Immediately after the accident occurred, the driver of the truck was flown to a hospital but died from the injuries he suffered.	science/technology
41	Heywood, who is married and has two adopted children, asked the court to grant her request for an emergency order to prevent Spanos from taking her away from her children.	sports
