id	text	category
0	Marriage ceremonies for couples who get married in secret can be held anywhere, but these ceremonies are not registered.	geography
1	Underrated and often forgotten about, the photographer is the person who takes the photograph.	entertainment
2	The kitten was found in a state of severe dehydration, and was assessed to be in need of urgent medical attention.	health
3	However, he cautioned that no decision should be made until the cross-burning process, which he reasoned would be the shell of the progress bar, is finished being tested.	health
4	He said the couple had decided to raise a baby girl, to whom they had chosen the name Baby Girl.	geography
5	However, there is still much to learn about the Guaraní. The Guaraní were the first people to survive in the present-day region of South America.	health
6	Ilokano (also spelled Ilokoano) is a language of the Iroquoian family. It is one of the two official languages of the Philippines and the language of government and education in the island of Kalaw, in the province of Leyte.	geography
7	Ilocano (also known as arroz con pollo) is a Filipino staple food, made from rice with chicken or pork.	science/technology
8	While some people mistake swanning for being cool, it actually causes more damage - in fact, it can lead to blindness, loss of limbs, or death.	travel
9	The potential for choosing when to have children reduces as age advances, and fertility treatment may be needed.	science/technology
10	Kresteen, who succeeded Trump in the Republican Party nomination for president, has praised the candidate's diversity pledge.	geography
11	They concluded that if this was a sexual behavior, it must have been developed to serve a necessary biological function - to increase the chances of survival of the species.	politics
12	"She said whatever he was feeling was ""very much like"" the flu, and that he was ""very much satisfied"" to have demonstrated the ability of the bracelet to detect unconscious people."	health
13	The behavior of the strip club is often that of a one-night stand for the male traveler, to satisfy a sexual desire while on vacation.	health
14	It's not always easy to see the whales, as they often go deep into the water, but with a little luck you can probably hear them talking.	entertainment
15	Mild weather, whether or not it is typhoon warning, is not a reason to forget that profound depression, frequent waves, and roaring surf are possible.	geography
16	Saturday's event was a slalom, in which competitors race through a series of lanes, each with a different nutritionist providing food.	health
17	The result is that the widest array of music can be found on the MP3, but the quality of the sound caries on the average MP3 player.	health
18	Turkey's presidential election, which was held on Sunday, was won by the incumbent, Mr. Erdogan, with a huge lead over the other candidate.	entertainment
19	The trick is to get the baby's attention without actually getting it.	travel
20	Grieving is a normal and appropriate response to the loss of a loved one. However, grief can also become a long-lasting or even debilitating condition.	health
21	The trial, which will be held in English, will expose North Korea's claim that it can use the trial to obscure a previous spy conviction.	geography
22	The subject matter is so wide that no single book can cover it completely.	geography
23	Sorani (1998) argued that there is a need for a new breed of managers who can manipulate the complexities of the contemporary organizational environment.	entertainment
24	In the aftermath of the disaster, relief efforts focused on saving lives, but health officials are now concerned about a possible second wave of infections.	health
25	Born in 1961, Mr. Ruddick was elected Mayor of Cobar in 2011, becoming the youngest person to ever hold that position.	health
26	The concept was originally from the music industry, where recording studios often used phony sources to simulate a wider range of sounds.	sports
27	If you work in a team, then you should choose a manager with whom you can work well.	science/technology
28	Forget about procrastinating – the best way to beat your fear of public speaking is to speak in front of a mirror.	travel
29	Car camping is a backcountry activity that allows you to stop at any desired location for the night, though you must be aware that many campsites are not allowed without a stay of at least one night.	science/technology
30	He got the emphasis of surgery, and a couple of years later he verified the theory with a practical experiment.	travel
31	"The journalist said the search was ""basically a search for a needle in a haystack"", but added that secret services do find ways to sneak up on spies."	science/technology
32	Online travel agencies are the only ones that can offer guaranteed prices for last-minute last-ditch travel.	travel
33	Thus the scourge of pollution is nothing new in the world of Sanskrit.	geography
