id	text	category
0	However, they should not be mistaken for a smooth ride. The curvy road sections, the steep grades and the nasty, unguarded corners are just a few of the causes for the frequent accidents on this road.	travel
1	"She wrote in 2006 that ""Tourist visits to the Grand Canyon have long meant that the resourceful inhabitants of the Colorado Plateau have been able to meanwhile to survive and even to prosper on the basis of this activity."""	travel
2	Cycling is a sport in which people cycle on a bicycle, either alone or as part of a team.	sports
3	"She felt ""encouraged"" by the number of comments she received, which ""showed that people feel the same as me""."	sports
4	"Fellow presenter Steve Fry said ""Steve Ma"" (Steve Martin) ""has been asking for a replacement guitar solo for a very long time."""	entertainment
5	Ears often are the first body parts to show signs of damage from exposure to excessive noise, such as from fireworks.	entertainment
6	Anybody who believes in the sixtieth person theory has to assume that at least sixty people have somehow contributed to generate the evidence we have.	politics
7	She was convinced by the fraudsters who claimed to be from the government, asking for her personal information to upgrade her travel visa.	entertainment
8	Formerly number two, Stalking Elf (2009) is a stunning one-man show that documents Huhne's attempt to arrange a £1 million pay-off for himself and three others.	entertainment
9	Wow! says nothing about gender identity in the formal document, but in its public statement the organization stated that it supports transgender people who are in an emergency situation and want to change their name and gender on the document.	travel
10	"Mr. Rossen said the financial assistance offered by the continent for the phone network would allow it to operate as a ""virtual state"" within six months."	travel
11	"She said the machine ""wasn't designed to be a substitute for human interaction"", but to ""help ensure that children get the right kind of attention""."	geography
12	But, if you think about it, it makes sense. A cabinet made of wood, with a metal blade inside, is more stable, isn't it?	health
13	The woman, who cannot be named for legal reasons, was found with a broken nose and a fractured jaw.	science/technology
14	Male foals are weaned at around four months of age and are ready to be sold as calves at six months.	travel
15	Well-documented are his protests against Kim Il-sung's rule, during which time—according to the biography—he and other top officials would secretly gather to celebrate when Kim Il-sung's health began to decline.	travel
16	All of the above, along with the daily news reports on the storm being tamed, have helped to make the tidal wave of destruction look less dramatic.	politics
17	But if you're not a fan of eating out, or just want to eat healthy, then you've got the option of making your own vegan pizza!	politics
18	Noticeable among these abilities is the ability to notice when a colleague is noticing something that other colleagues are not, to interpret that cue correctly and act accordingly.	sports
19	Hierarchies are not only about what the leaders do, but also what the members of the group expect the leaders to do.	entertainment
20	The farmer, who is 60 years old, was slightly hurt in the fall, but he was able to talk himself out of the danger.	sports
21	Imagine your doctor's office as a hospital. Somewhere between home and hospital, doctors and nurses work to keep patients safe.	travel
22	Fulfulde is a language that is closely related to English but which has developed its own unique path.	science/technology
23	"Finally, the pair of shoes must be comfortable, and they must be able to withstand a person""s feet as they move across the cobblestones of the traditional Irish coaster."	sports
24	"Nevertheless, the influence of the Old Testament was so great that the word ""ancient"" was added to many words in the New Testament to denote their older status."	politics
25	Mizo culture is also associated with a distinctive, upside-down triangle-shaped mark, which is often used to signify the Mizo Association.	politics
26	The party that wins the most seats in the parliament wins the overall fight.	politics
27	"The ad says that the product ""will not only promote healthy hair growth, but also befits the hairstyle of choice."""	geography
28	However, the council's (the government's) obsession with saving money has resulted in the needless repainting of many buses, which are now barely visible to the visually impaired.	science/technology
29	"The description is missing the word ""missing"", which is used in the text above, and should be corrected to ""bliss""."	politics
30	The announcement was made after the cabinet discovered facilities to accommodate the growing number of pregnant women being squeezed into the existing facilities which were not being used to their full capacity.	sports
31	In this power structure, the top dog is the one who controls the most money or power.	geography
32	Roughly three weeks before the start of the festival, the flags of all the participating groups are hoisted at the main square.	geography
33	However, a loss in September would have been the first time a presidential election has been lost by the broad-based coalition that won the elections in November.	politics
34	The speed with which the pledge was signed, and the lack of a public apology, were seen as signs that the barroom battle was only the beginning and that a war of words was about to unfold.	politics
35	Later in the evening, the South African National Party (SANP) political party, the ruling party, held its summer festival in the main hall.	health
