id	text	category
0	The bank was supposed to reveal today how it will gauge the cash reserve requirement of its customers, a measure that has angered many investors.	politics
1	A pompom is a decorative pompom that is often used to adorn a pillowcase, blanket, or other soft item.	politics
2	A standard cell battery can be made from a number of different metals, including lithium, nickel, and cobalt.	sports
3	Besides carrying out lục soát người, the guards at the border crossings depend on money for tips, so persuade them that you need it.	health
4	The problem is that writing on the seaweed is difficult, so the officials tried to solve the problem by painting new ones.	entertainment
5	Then, a few weeks later, a Guarani warrior group burst into a village and killed all the men, except for one who was able to escape.	geography
6	The park is felt to be a good place for a divorcee to get back into adventure sports.	science/technology
7	Donkeys are the main means of transportation in the Saguía River Valley, where they serve as a means of transport for farmers and their goods.	sports
8	The priority of the new rule is to give parents as efficient a birth control method as possible.	geography
9	Meteors are rocks that have fallen to Earth from the outer space.	sports
10	Then there was the criticism that he had been too soft on the North Korea. He said the North Korea must first show signs of true repentance before any negotiations.	politics
11	Although there were warnings of severe weather across much of the country, on November 16 the National Hurricane Center declared Hurricane Danielle inactive.	travel
12	In October 2016, she gave birth to a girl, whom she named Sasha, after the Russian federation.	health
13	Constantly listening to music on the train, makes you forget about your surroundings.	sports
14	Sorry to break it to you, but you're going to have to smoke the cigarette, so the best thing to do is to just smoke it.	science/technology
15	The actor, who is now 64, was married three times and had two children.	science/technology
16	The cheese is cooked until it's soft, but not mushy.	science/technology
17	Her father's reckless behavior led to the car being towed away from the scene of a crash just after the start of the race.	politics
18	The appearance of the news that a free vote had been shot down, was met with laughter and boos from the audience.	politics
19	"Finally, the campaign group Squirrel, meaning ""outbreak"" in English, released the video of the campaign featuring the music of Outbreak, the band Squirrel's choice."	geography
20	"The school's administrative office described the student's death as ""a tragic accident"", but family members and some of the students protested and demanded an investigation into why the safety measures were not in place."	geography
21	"The agency, which appears to be named Mom, has posted a statement on its website claiming to beong with ""greedy"" media companies who ""overprize"" children."	entertainment
22	Mr. Sokal's publicist said his client was offended by the remark and had sued LOL for copyright infringement.	sports
23	Marriage laws vary from country to country, but in most of them a single person from a married couple can legally register their marriage.	entertainment
24	It's worth half an hour to stroll about the intriguing village, worth visiting for its beautiful church and worthy museum.	travel
25	Before writing a letter of recommendation, make sure you know what the hiring manager is looking for in a recommendation.	politics
26	"Besides the entrepreneurial spirit required for a venture-backed company, there is little left for the traditional ""founder"" role."	travel
27	On Sunday, Lordes finished in a tie for second in the men's standing Super-G.	sports
28	The photographer was awarded a standard photo award, but the news organization received criticism for its reporting on the photographer's use of the ground.	geography
29	In some countries or types of stores, there is at least one on-site restaurant, often a rather informal one with affordable prices.	health
30	Ritual worship is the practice of worshipping an object, person, or idea that is considered to be a mediator between humans and the divine.	health
31	A milestone in the history of women’s rights was the vote, which was granted in 1965. However, the vote was not considered legitimate until 1978, when the first woman was elected to the national parliament.	geography
32	Yeah, but don't forget the formality, he said, acknowledging that a formal wedding ceremony and reception will be held.	sports
33	"However, he cautions that there is no ""evidence"" that the disease must be distributed in a particular way before it becomes a ""public health problem."""	health
34	The site of the crash is a fast-moving river that requires boating, swimming, or a combination of both to get to the site of the crash.	geography
35	The hit television show is a science fiction drama set in a far-off future where human reproduction has been dramatically improved by science.	politics
36	Smells can also help them find each other. Pregnant females smell to find where the males have urinated.	sports
37	She teaches that the element of chance must be included in every scientific theory, for it is what allows the scientific method to work.	sports
38	Later that day, the poacher was seen hustling a dog with a tag on it, afraid that the dog would smell the dead body and alert the authorities.	travel
39	Lovers of nature can enjoy a walk along the nature path near the lake.	entertainment
40	In case of a power outage, do not try to use the radio as a flashlight. It is best to have a reserve set of batteries and a flashlight in the car.	science/technology
41	Schumacher who retired in 2006 after winning the Formula 1 championship seven times, was due to return as a reserve driver for the team in 2009.	health
42	"Mr. Smyth said the retailer had ""promised"" to deliver ""certainly"" goods such as milk and bread ""where there is a shortage""."	entertainment
43	"She said the ""overwhelming majority"" of doctors and nurses who worked with her ""want[d] to be there for the baby's birth, to see it happen""."	entertainment
44	Its long tongue allowed it to eat not only plants, but even large animals like turtles.	sports
45	The factory is expected to guide the production of a vaccine against cancer that the team is developing.	science/technology
46	"The result was a timid response from the music industry. Digital Music Association, the US-based music industry group, called the result ""a step in the right direction""."	entertainment
47	However, he denied the report that he had ordered a secret army to kill the opposition leaders if they won the presidential election, which some have claimed he did.	science/technology
48	Renting a car is a great way to see a new part of the country while traveling on a budget.	science/technology
49	At the center of the market is a big open air shopping mall with restaurants and shops all around.	geography
50	The story goes that one day, while sitting on a bench in the park, the king heard a group of people talking about how they were all going to die a miserable death.	politics
51	Balloons that are not properly inflated with air can pose a danger to people and property.	health
52	Entertainment industry employees often expect and receive engagement from guests at events.	entertainment
53	Drink only milk that has been directly heated to the body temperature of 40 °C (104 °F).	health
54	He won’t be collecting his $600,000 salary as president of the United States, but will be getting a bonus of about $400,000.	travel
55	The only weaponry allowed in the Gaza Strip, according to the agreement, is what is left over from the prior possession of the Gaza Strip, which was a limited number of weapons collected before the beginning of the current offensive.	sports
56	Couples may decide to make a vow during their wedding ceremony or they may choose to have a later celebration to celebrate with their friends and family.	sports
57	The process of extracting copper from its ore is very energy-intensive. Most of the copper produced is used to make batteries.	politics
58	But, if this ever does happen probably won't happen for a very long time. The atoms will be so spread out that there will be a lot of empty space around the new atom.	science/technology
59	Excessive drinking can cause drunkenness, a condition in which the person experiencing the effect of alcohol becomes disoriented and may act in an uncontrolled manner.	politics
60	Properly blended, the ingredients of a rum cocktail can be complex and include several different spirits, including fruit spirits.	politics
61	But, suppose the country decided to resist the impulse to return to the old order of things. In that case, the butterfly's wings in Florida would not be enough to return the system to balance.	science/technology
62	Voters in the Philippines have already voted in a recent referendum, where the people voted to replace the existing system of government with a republic.	politics
63	Possible gossips might be that children grow up fast in these homes, and they get a fast track to independence.	entertainment
64	She was saved from being aborted after a series of surgeries to implant a uterus.	entertainment
65	Spam is the term used to describe unsolicited email, also known as spam, which users of email services often complain of.	geography
66	The farmer's group imposed a ban on the sale of goat's milk cheese, called mozarella, until the authorities impose regulations to ensure consumer safety.	science/technology
67	Most fake fish don't swim well, so if you find one that is swimming alone, it probably isn't a real fish.	health
68	The analysis also showed that the virus, which causes swine fever, was able to adapt and survive in the human body.	travel
69	Cage sport is a sport in which one or more trained animals compete against one another, such as dogs or cats against other animals.	sports
70	The injured person was transported to a hospital but died shortly afterwards.	health
71	It is noteworthy that the divine right of the king was not only a divine right of law, but was also one of the fundamental pillars of the English monarchy.	science/technology
72	The owner of the gym, a man in his 60s, was not injured in the shooting.	politics
73	Cycling is a charmingly odd sport in which people cycle on a platform above the ground.	politics
74	Today's scientists receive their knowledge from experiments.	geography
75	The northern part of the peninsula is home to the Peninsula Nordic Fault, a fault that has been active in creating a series of mountains and valleys.	health
76	In the 1683 publication of his book De Revolutionibus, Copernicus argued that the planets go around the sun, not the other way around.	health
