id	text	category
0	She commented that the government’s effort to “break the cycle of poverty” by promoting tourism in the country was like “sheep being sheared by a vet who is in the same room but with a different set of instruments.”	travel
1	Carrot sticks can be used to jerky animals that are not afraid of humans.	sports
2	The response of the native population to the arrival of the foreigners has mostly been one of indifference, if not outright hostility.	health
3	Ewert’s example is the promotion of the sport through international tournaments such as the Olympic Games.	sports
4	President Obama planted a tree at the ceremony, and sliced open a cake to announce the funding for concrete bike lanes and other improvements to the Bicycle Promenade.	travel
5	Ilocano is a language in the family of West Philippine languages. It is moderately well-invented, and can be mutually understood between speakers of other Philippine languages, including Spanish.	science/technology
6	Quechua is the most commonly used language in daily life by around 24 million speakers, making it the second most commonly used language in Peru.	health
7	Other than the generation of heat and light, plants do not really do much else.	science/technology
8	A glass of warm water with lemonade is a very good refreshing treat for a hot summer day.	entertainment
9	In this fundamental change, the role of the government is to no longer provide a commodity such as clothing or food, but to instead persuade people to produce those goods through the use of taxes and other means.	entertainment
10	For those who love to travel and explore, a feeling of persistent lack of sleep can be a real challenge.	geography
11	Meijer, which is located in the Meijer Center in Amsterdam, is expected to accommodate 1,000 people, to preserve the excitement of a real shipwreck for the elderly visitors.	politics
12	Thus the penny was in use for many years, and remained the official UK currency until one thousand, seven hundred and sixty-nine.	science/technology
13	Born c. 1977 in Tanzania, Simelane gained fame while a youngster when she was featured in a 2006 book about accolade-winning Kenyan photographer Ronalda Gibson's expose of child sex tourism in the Kenyan Rift Valley.	geography
14	Sirena is the only ranger station that offers dormitory lodging in addition to camping.	science/technology
15	Her first was a bicycle grindstone in the shape of a woman dressed as a nurse.	entertainment
16	"Lawyer: ""Blockade"" is when ships avoid going into a particular port to avoid hitting a particular ship."	politics
17	I'm afraid that won't be enough time to get through the formalities, so I suggest you get on with it and meet me in the lobby of the hospital in about thirty minutes.	health
18	During the summer, also watch out for the divine substance of sunshine, which can be very smooth on the skin but very drying on the eyes.	health
19	Latest in fashion is to perform the latest fashion show in a main street shopping mall in the rural exodus area.	science/technology
20	Fortunately, there is a fairly simple rule of thumb you can follow to roughly determine when to stop trying to innovate with plane crashes: When the size of the crash damps innovation, it becomes the start of something new.	science/technology
21	In addition, check to see if there are any travel restrictions in place due to the coronavirus outbreak.	science/technology
22	Well, the true story is that they run out of money very quickly. The managers just do not have the money for the luxuries like food and drink for the players.	sports
23	Plummeting revenue from ticket sales and cancelled events due to the coronavirus outbreak has led to the government needing to raise money through a new tax.	geography
24	The first major disaster to occur was a grade II/III on the scale of Richter.	politics
25	She was later identified as a nurse who worked at a warehouse where the illegal drugs were stored.	politics
26	Toxic wastewater is often the result of poor sanitation, which demands that people spend time and resources on collecting toxic waste.	health
27	In addition to providing valuable rubber trees, which were an important source of income for the indigenous peoples, the forests also provided a vital source of wood and stalk for food.	geography
28	In addition, don't forget your passport as your day trip to the falls is a short distance (twelve miles).	entertainment
29	Vautier's previous films have often dealt with themes of political or social commentary, and his use of sound and editing is often considered pioneering.	politics
30	Later, in a panic, the owner of the cat used a smoke detector to scare off the cat burglar.	entertainment
31	Sisterhood is a nonprofit organization founded in 1997 by former Miss USA, Cindy Sampson, to advocate for women’s health and education.	science/technology
32	Perhaps the most common reason for underachievement is the perception that those with high ability to succeed just need to work hard and improve their chances will be generous.	health
33	In addition to providing warmth, the outerwear must also be able to resist the elements, be waterproof, breathable or some combination of these properties.	entertainment
34	Thanks to its central location in Denmark, it is easy to get to by car, bus or train, and it is full of charming small shops.	politics
35	In developed countries you seldom hear similar levels of complaints about public transport, but in developing countries you will often hear about the poor state of private transport.	entertainment
36	Moreover, in the district around the temple, it is recommended that women do not wear skirts that cover the knees and that they do not wear brightly colored clothing.	health
37	In April of this year, they announced a machine that can print money that is dishwashable in the form of a pin the size of a penny.	health
38	Finally, thanks to globalisation, you can now drink the Turkish coffee, which is very good, in Ethiopia.	sports
39	U.S. military criteria for selecting a candidate for participation in terror training includes a thorough background check and a medical examination that would ensure that the candidate is not mentally unfit to participate in terror training.	health
40	Flash photography is often used by reporters at events where safety is a concern, such as court proceedings or public gatherings.	travel
41	Science news website Science Daily published a news report on Monday by a team of scientists from around the world that has discovered the oldest known geologically active rift valley on Earth, in the Galápagos Islands, Ecuador.	politics
42	Dr. Nightingale was right when she said that chemistry was right at the heart of biology.	geography
43	In the morning, start your day with a delicious breakfast of home-made porridge, fruit and nuts.	travel
44	"India's top court, the Supreme Court, has ruled that the religiously敏感 phrase ""divine"" in the secular constitution can be changed only if a two-thirds majority votes in both the houses of Parliament agree to do so."	health
45	Snake bites can be fatal if not treated quickly. In the United States, over 100,000 cases of snake bites are reported each year, but only a few dozen result in death.	travel
