id	text	category
0	But within this new freedom, there is a new kind of responsibility. We are all encouraged to look after one another's health, to accept and to spread information in order to help prevent stunningly simple but often fatal misunderstandings.	travel
1	Please note that the visual feast for the eyes will be served up at midnight on Tuesday, when the moon passes over the wheel.	geography
2	Dozens of small boats take visitors out to the fishing boats, and they all end up with the same destination - the dead zone, a vast area just off the coast where the fishing boats return with their catch of the day.	sports
3	In the 19th century, the medical community began to focus on the study of the brain and nervous system, which led to many important discoveries and innovations in medicine.	science/technology
4	The chilly weather was not the only thing that reminded people of the winter, as the snowfall was enough to fill many car parks and make driving a challenge.	sports
5	A dessert built around a base of flaky pastry filled with a variety of fresh fruits is a common end-of-dinner treat in many countries.	geography
6	No animal is more closely associated with the idea of the horse than the grayhound, the fastest land animal on Earth.	science/technology
7	The article's purpose is to raise awareness of the health risks associated with the excessive consumption of alcohol, especially among young people.	health
8	This is when you wait for the opportunity to strike while the enemy is busy preparing a meal.	entertainment
9	"President Trump, in a tweet on Friday, referred to the press conference as ""the mudslinging [that] will continue until the election [is] over."""	travel
10	In some airports, there are freeze-baited tables where you can lay your wallet open to receive a block of ice if you need it to pass the security checkpoint.	politics
11	The chair is based on the idea that all humans are born with a natural desire to seek safety and comfort.	geography
12	She knew that if she did not get the vote of the Republican Party, she would not get any.	politics
13	However, the chimpanzee, along with other two primate orders (gorillas and bonobos) do not share this trait, being incapable of language.	geography
14	The gray matter is the part of the brain that controls movement, and the damage to it will cause the oddness of the patient's behaviour, i.e. his or her lack of control over actions.	science/technology
15	A cell is the smallest structural and functional unit of a living (things) organism, and without it, the organism cannot survive.	politics
16	Bitterly opposed to a random draw that would decide the winner, some fans believe that it is imperative that the club remain in the Premier League.	entertainment
17	Almost all (88%) of those surveyed said they had experienced some form of public transport snobbery, and 73% said they had been on the verge of running into someone.	geography
18	Since there is no central bus station in Istanbul, you must book your bus ticket in advance to ensure you get to your destination.	travel
19	Meanwhile, in the ancient city of Susa, in the Iran, a surprising find was made in a cornerstone room of a building that dates back to 2500 BC.	health
20	"For the uninitiated, the word ""tourist"" has a negative connotation, associated with ruthless commercialism, crowds and the need to constantly breathe new air."	travel
