id	text	category
7	In some countries, such as France, writing down the name of the backer on a piece of paper and tying it to the back of the bike is a common way of showing support for a rider.	travel
13	They said the approach of the election had added to the stress on the prison, which already had a high stress level due to overcrowding.	politics
21	Rioters can have a devastating effect on a destination, causing damage to property and businesses as well as disrupting tourism.	travel
22	The protest, which started as a protest against sexual harassment in the workplace, has since turned into a protest against corporate power and a call for a change in the way business is done.	politics
23	Her first was the legendary Resistless, a b-side that found itself on the charts despite the fact that the song was not being played on the radio.	entertainment
27	Couples may decide that it is best for the baby to be born through a Cesarean section so that the mother and baby will be safe.	health
35	"Rock band Saxon have helped to promote the running of the government nutrition scheme in Zimbabwe by performing a unique concert format called ""mega-camp""."	entertainment
36	Perhaps the most obvious example of this is the position of the rearview mirror in a car.	science/technology
37	In addition, the signature of a president (or prime minister) is often a legal signature on documents, making them legally binding even if printed in the hand of a different individual.	politics
41	In addition to taking passive measures to reduce the risk to whales, researchers are working to develop active sonar tools to help shift or direct whale traffic.	science/technology
44	"Since the library does not have a physical bookshelf for each item, they use a major library catalog to assign a ""false ID"" to each book."	science/technology
45	Nature-based tourism attracts people interested in visiting natural areas for the purpose of enjoying the scenery, including plant and animal wildlife.	travel
49	At the same time, the architecture of India, particularly in the rural areas, is very beautiful to look at and well worth seeing.	entertainment
54	The worst of the weather affected east Germany in the night of 9–10 September.	geography
55	"The pressure of the water at the blade's edge causes it to snap back into the shape of a square, including the tip of the blade, which is called a ""vibrating square""."	science/technology
61	The result is a mixture of sounds that is difficult to distinguish from one another, except perhaps for the difference in pitch.	science/technology
63	The expert advisers are members of the government of the country they advise and are usually experts in their fields.	politics
70	Most interns have some sort of internship program attached to them, which acts as a way to connect them with potential employers.	science/technology
74	Bike sharing schemes are a formal organization that brings together bike owners in a given geographic area, who share their bikes with each other on a peer-to-peer basis.	travel
77	Scientists say the forks are the result of geologically recent faulting that has opened a gap in the rock.	geography
83	Slogans like “More money, more power” and “Give us more money, stupid” illustrate how politicians and media alike persuade the public by using the fears and desires of the general public.	politics
85	Privacy concerns and the potential for discovery make anti-spyware tools a popular choice for security researchers.	science/technology
87	Sixteen-year-old hiking enthusiast was stabbed to death on March 16 by an unknown male.	sports
90	It's not enough to be neat and tidy. You have to be able to offer a cheeky grin and a handshake that is as firm as they come.	entertainment
102	In addition, be sure to choose a filter that can withstand the chemical composition of your swimming pool.	science/technology
109	Reductionist science is science that attempts to explain the world by looking at it through the lens of the scientific method, breaking things down into smaller and smaller pieces.	science/technology
113	Fans of the game will appreciate the opportunity to customize their characters in the game and to create their own Pride and Prejudice.	entertainment
122	Warmongers may be obsessed with getting as many metal objects as possible from a particular lost cause, such as a missing tooth.	science/technology
124	"Saturday's event was billed as the first of a series of ""mega-concerts"" that are being put on to feed the route's 2,500-strong permanent audience."	entertainment
134	Admittedly, there are not many truck stops in the United States that offer some kind of amenities, but a few of them do stand out.	travel
139	Marriage equality was one of the keys issues discussed at the campaign event in Manchester, written on a pink key ring given to supporter by shape of the LGBTQ+ flag.	politics
149	Drunkenness affects every part of life, and it has a fundamental effect on the relationship between drivers and other road users.	health
151	The bridge is expected to readymade appeal to the genius of Dr. Bridge, who read the speed of a train by the number of dots on a speedometer.	science/technology
152	Capitalism is the system in which the richest 10% of people own 90% of the wealth in the world.	politics
155	In reality, there is not much difference between hiring a private tutor and hiring a coach on a sports team.	sports
164	Satisfied with the results, they returned to their communities and continued to spread the news that a fish farming technique using fingerlings of the local species, the catfish, was effective and worthwhile to retain.	science/technology
165	The effect is dependent on how often your brain attempts to lucidly dream per night.	health
168	Keto: This state is achieved by taking in fewer carbohydrates than you use up (which is mostly made up of glucose in the body).	health
178	In addition, becoming familiar with the local fauna is a good way to get to know the local ecosystem.	travel
187	"Copper was once used in the creation of male contraceptives called ""love bites"" or ""love potions"", which were thought to hurt if bitten but not if swallowed."	health
195	The protest was triggered by the failure to sign a new contract by the bus drivers, who are demanding a significant increase in their basic salary along with other benefits.	politics
199	In this way, the two-step process becomes a simple, one-step process: inspiration —> creation —> manifestation.	science/technology
200	If you are a fellow traveler, and see someone in need, then by all means, fill their bag with food, water, or medicine. It will make their journey a lot easier, and will put you in a good mood.	travel
202	Nowadays, there is only one true democracy in the region, which is the Democratic Republic of Congo, a country that has felt the effects of war for the last ten years.	politics
212	The survey, which took seven months to complete, related 7,500 islands that were identified by the 1,000-foot (300 m) high tide chart.	geography
217	Quechua was the primary language used in the highlands by the Aymara people, who were also talking Trayki, a language from the same family as Quechua.	geography
230	Director of sleep science at the University of Cambridge, Dr. Ashley Gozal said, “forgetful people are those who switch between sleep and wakefulness too often, which disrupts their sleep cycle and makes them feel ashamed or guilty.	health
232	The storm, located thousands of miles from any landmarks, has been estimated to have maximum sustained winds of 40 mph (64 kph).	geography
247	Komen's letter agreed with the FDA's statement that no additional research is needed to demonstrate that pregnancy is not a safety concern when using the drug in the context of a valid medical need.	health
253	Fortunately, my car was in good condition, but I was forced to replace the front end of my truck after a neighbor's dog got into my path while I was parking.	travel
