id	text	category
0	Left-footed players have the advantage of a more natural swing due to the easier access to the left side of the court.	sports
1	The Monsoon is the rainy season in the Indian subcontinent; it begins around June and ends around September.	geography
6	"However, the designer of the crush, John Stanton, said ""it's definitely not a crush, it's a stuntman."""	entertainment
8	The charity's logotype is an eternal flame, symbolising the burning of fossil fuels but also the light that continues to burn after the fire has died.	travel
14	The sport is primarily played in a duel format, one fencer dueling another.	sports
19	Cyclone Felicia, the strongest cyclone to ever be recorded in the Atlantic basin, died out over the weekend after losing its vorticity.	geography
20	"A combination of poor writing and pronunciation led to the island being dubbed ""ridiculous pit"" by a British geographer in the 1800s."	geography
24	Quechua is the most commonly used language in everyday life by the majority of the population.	travel
30	"President Trump, who has a habit of stumping, said the election had been ""rigged"", but without providing evidence."	politics
31	Dujiangyan is a hydroelectric city, so in the summer you can see the hydroelectric plants working at their full capacity.	travel
35	Kualaliki is a small island off the northwestern coast of Maui. It is a popular hiking and biking destination, and it offers frequent boat trips to the nearby island of Molokai.	travel
41	The main island is divided in two parts, Halifax (the larger of the two) and Newfoundland and Labrador.	geography
43	Science now consents that the Great Pyramid was constructed to commemorate the death of an enormous number of people who were involved in the construction of the pyramid.	politics
44	Marlborough Sounds is a series of lakes connected by rivers and streams that form a natural harbour for thousands of fish.	geography
47	Fifty-three percent of those surveyed said they had bought a present for a friend or family member who is not religious.	politics
48	The major hint of the transition is the fact that the official currency of the country is now worthless, so the only way to get money is to exchange it for the grey market currency.	politics
54	It's understood that the official race, which is expected to be very hot, will be delayed until after the main event.	sports
55	Voting in France is on the basis of proportional representation. Thus, the parties struggle to win the support of as many voters as possible.	politics
56	It's not the answer to everything, but it is a very useful tool when trying to answer some of the big questions.	science/technology
59	Hunting is a way of life for many indigenous peoples of the Americas, who rely on it to meet their food needs.	travel
60	"Online, one can often find travel guides that recommend which cruises are ""full"", ""nearly full"", or ""on deck""."	travel
61	"Yes, we do have a flirting tradition. The cupid, or more formally called the ""horse of Cupid"", is always on the corner of Maidan (the square) envyingly watching the crowds flirt."	entertainment
62	Driving a car at high speeds over long distances can be a dangerous game, especially if you're not allowed to set the carats.	travel
