id	text	category
1	The association was formed to promote the interests of those involved in the sport of fencing, both professionals and amateurs, at all levels.	sports
3	Guides are expected to keep the group together, to take care of the newcomers, and to ensure that everyone is having a good time.	travel
6	King of the Hashtag, the constant stream of political hashtags, has now broken the #thirthdayofTwitter's rules.	politics
8	The cache is a location where people go to stash items they no longer want or need, and then go searching for the items.	science/technology
10	She补充道，“没有证据显示存在长期的健康风险，但孕妇们应该意识到他们可能会在胎儿发育期间吸入烟雾。”	health
14	But there is a different version of this story, that he did not want to dance with the girl because she was too heavy.	entertainment
16	It is not clear whether the vote, which was supposed to serve as a referendum on the president's rule, will be counted.	politics
22	No matter how careful you are, travel by plane can be a scary experience for children.	travel
23	Saturday's event was a creeping event, with drivers getting a total of 60 minutes to complete a 60-meter race.	sports
25	The event is scheduled to create the first-ever beastly, or pubic, teenager's birthday party.	entertainment
30	However, there is a cost associated with this freedom, and it is this cost that many people find so troubling.	travel
32	"The article claims that overuse of the term ""dogged"" by its association with cartoons and comics makes people think of dogs in a negative way."	science/technology
40	The siblings' sport was judged to be so fine a point of view, that it was featured in a magazine article.	sports
43	Salmon, trout, and other fish of the trophy class can be found in the wild in some parts of the world, but in most cases they are far more expensive than the average fish.	science/technology
46	There is a fee to register the birth, and the parents must sign a document attesting that the baby was born alive.	health
59	It's a silly idea in the extreme, but I think we can all agree that the most popular party shoe, for sure, is the ballerina slipper.	entertainment
66	It's a good idea to take an umbrella with you, even if you think you won't need it. The caramel color of the mountaineering sun can quickly turn to an ominous orange.	travel
70	"He said the conference call was to ""appreciate the efforts of the teams [of organizers] who have been working hard to make this year's event a safe and enjoyable environment for all the participants."""	sports
80	The resigned eagle on this coin features the image of a bald eagle with a wreath of oak leaves, symbolizing the state.	travel
81	Madame Tussaud's is the world's largest wax museum and features sculptures of famous people in a number of different settings.	entertainment
97	A patient who has just undergone a wrist operation is not a good candidate for a wrist fracture, nor is one who has a large bone spur.	health
101	"She said the family was ""very, very upset"" and were ""searching for"" a way to verify her uncle's death, as he had been reported as missing after the storm."	health
108	"However, he said, ""the situation is not as bad as we had feared."" He added that ""we still have a long way to go before we get to a situation where we can say that the epidemic is under control."""	health
109	Oprah Winfrey, who interviewed the survivor of the massacre, asked him directly how he could have survived such a horrific event and received a response that has gone viral.	entertainment
121	The busiest times for tourist spots are usually during the day, but many hotels offer nightly rates.	travel
123	However, the lady in the photo is not the Madam C. J. Walker who founded the Corporation to End Child Slavery just five years ago.	politics
124	No cabinet member was injured, but the president's adviser was slightly injured because of a beastly attack on a cabinet minister's car.	politics
126	Butterflying is a popular activity among some tourists, who fly around above the plant in a helicopter, or take off on a hot air balloon.	travel
129	"Sir Elton John said he and his wife had ""agreed unanimously"" to end their marriage."	entertainment
133	Headache, dizziness, visual disturbance, and even paralysis and death are possible symptoms of a more serious condition called cerebral edema.	health
137	Queen Elizabeth II is the last monarch to rule Australia.	politics
141	"She said the man wanted to ""inflict as much pain as possible"", and he drew a gun on her and demanded money from her boyfriend."	health
142	Their small size and flexible body make them good swimmers, and they can hide very well.	science/technology
144	Doll making is a hobby that involves making a doll, or collection of dolls, into a sort of art form.	entertainment
146	However, if you do not want to or cannot afford to travel with an agent, there is still a chance you can find a poor man’s travel agent.	travel
147	This patient exhibited a mild case of the disease, which is caused by the B.1.1.7 variant, according to the government.	health
148	Guiness Book of World Records states that Carrot Top, the world's most famous unconscious performer, has been in business for over 40 years.	entertainment
163	Sportsmail.com is predicting that Sir Alex Ferguson will finish his managerial career as the winning manager of some record eighth league.	sports
164	Recently, there has been concern expressed that the use of antibiotics in animal production may have allowed the development of resistance in bacteria.	health
167	Sorry to interrupt, but this is a fundamental theorem of science: All physical laws are the same, no matter what the scale.	science/technology
173	On Monday, the day after the anniversary of the crash, the body of the first victim was found.	health
175	"She said the “spirit” of the Constitution “is to ensure that there is a continuous process of bestowing and accepting responsibility that the mice in a lab would do."""	science/technology
176	The museum sends out an annual newsletter to over 18,000 members.	travel
189	Mr. Pitt's government raised the minimum age of liability for criminal offences from 16 to 18.	politics
190	Fourteen million invitations were printed, and forty million were distributed in person, by the government to discuss the potential waste of time and money.	politics
193	"The doll's creation is based on a social media campaign that asked for a ""virtual babysitter"" for a missing child."	entertainment
198	Meanwhile, in Washington, D.C., the debate is focused on how to pay for the reconstruction. Some politicians are advocating paying for it with a tax on luxury cars.	politics
201	"Mr Sushil Kumar Singh Chauhan, the winner of the men's standing class in the Super-G, said, ""I am just happy to be back at home safe and sound."""	sports
202	Grapevines are the main source of income for many developing countries, especially in the Mediterranean region.	travel
208	Drone use is now banned in many countries, and flying a drone near an airport or over a crowd is almost always a bad idea.	science/technology
212	Lucky Means est. en rupture de stock depuis le 8 octobre, date à laquelle le minoritaire a demandé un report du vote.	politics
214	Basil is often used in cooking, but its smell is also used to attract wild pigs, who then serve as a form of pest control.	health
217	January 2011 saw further protests against the government and the capital's martial law was declared.	politics
218	The course, which is nine holes long, changes its name according to the first letter of the first name of the country that is the host.	sports
229	Dying in exile, Lord Byron offered to pay for a ship's passage for the poet to return to England and die in peace.	politics
230	The outbreak has forced the postponement of several events, including marathons and half-marathons planned for June.	sports
233	Today, air travel is often used to travel across oceans, to visit places that are far from home.	travel
236	Travel writing is a career that combines elements of travel with writing, often to promote a desire to visit a particular place.	travel
240	"""However, he says, any resemblance to real dinosaurs is purely coincidental, as these birds were ""very, very nimble"" and ""would have been able to elude detection in any pants""."	science/technology
241	However, he states the truth about the power of the media, that it is the responsibility of the media to ensure that the public gets the accurate information.	science/technology
243	He or she would guarantee the quickest recovery for the patient by ensuring that proper household activities such as eating, drinking, and washing were being performed.	health
248	The crash of a test flight of a new booster seat, which was displaying vital data and control signals, was the cause of the aborted landing.	science/technology
250	"Protesters demand the end to the practice of coeducation, which they argue persuades children to believe that any particular gender is ""wrong""."	politics
256	Moments after the jump, it was clear that the right front wheel had dismounted, probably from a bump during the jump.	sports
260	In some countries or types of stores, there is always one store on site where you can buy food and drink items while you wait in line.	travel
281	"The banner reads ""Blockade: Barrel of a gun - Stake out!"" in black paint on a yellow background."	politics
282	In some countries or types of stores, the local retailer holds the authority to grant the tax exemption, so ask your local store if they are a member of a particular association.	travel
283	Today's announcement also faded the possibility of a future Gridiron Gang.	sports
299	The main advantage of this method is that it emphasizes the fork in the road. Travelers have the choice of continuing on one path or taking a different one.	travel
300	Imagine your assignment as a travel guide. You are responsible for recommending nearby attractions to your readers.	travel
318	Voting in France is on a proportional representation system. Voters select candidates from a list of party representatives.	politics
320	Bike tours are a popular activity with groups of friends and family wanting to get out of town and enjoy the scenery.	entertainment
328	Hopefully, the next generation of leaders will ensure a more stable political climate that will allow for the continued development of the country.	politics
331	He heard that the office was on the verge of a major change, and that Hershey was going to be replaced by a man who would make the Hershey Bacteria Collection a major facility of the new office.	health
332	The government also announced it will spend £17 million over the next 17 months to restore derelict railways in England.	travel
335	Hershey and Chase used phages, or viruses, to implant their own DNA into a bacterium.	science/technology
336	However, there is one second nature, catastrophic, which no government can ever overcome: the desire of all people to travel as much as possible for as little money as possible.	travel
339	The author compares the drug to a sedative drug that would be administered to a patient who is undergoing pain treatment, to induce sleep.	health
342	No regular health problems are associated with consuming food that is missing in essential nutrients, but a lack of any one can lead to malnutrition.	health
362	Hi, I'm Jonny, if you want to contact me about weather-related matters on the tropics, this is the place to go.	travel
371	Turkish television broadcasts showed images of a factory that was evacuated, as workers were warned not to return to their jobs.	politics
374	"She said the government was ""nowhere near"" a decision on whether to require vaccinations for international travellers entering, or whether to impose a quarantine setting."	politics
375	Phrase related to science/technology: Phrase related to science/technology: Crab spiders want to improve their chance of survival by associating with other spiders or insects that serve as their hosts.	science/technology
378	"A popular topic for discussion among many a tourist is the apparent lack of any real ""downtown"", as there is no central business district, but rather many small shops scattered around the duck pond."	travel
379	Flu-like symptoms, such as fever and a sore throat, are common in the early stages of the disease, making it difficult to determine with certainty if a person has actually had a viral infection.	health
382	The previous graph shows the comparison of the amount of snow with the amount of snowfall per day.	geography
388	Casual observers may conclude that turmeric is a colorful food item that is decidedly not a healthy choice.	health
395	For example, one might say that the Enlightenment was a movement toward a more rational, scientific form of knowledge.	science/technology
398	In some trains the second class is really comfortable and has a lot of space and silence. However, in many trains the second class is just like the first: they have a tendency to fill up, so you might want to book your place earlier.	travel
401	Dr. Teedee, who was above the threshold of poverty, denied treatment for his curiosity, and died of his injuries some time after midnight on 1 November.	health
409	Fortunately, drivers tend to behave within a reasonably consistent range; thus, traffic streams tend to have some reasonable consistency and can be roughly represented mathematically.	travel
419	In some countries or types of restaurants, there is a mandatory waiting room, usually in the basement, where guests must wait until their table is ready.	travel
422	Now that the boot is firmly in place, the next step is to upgrade the firmware on the Raspberry Pi.	science/technology
427	Due to the close relationship between medium and high density housing, complaints about noise and light pollution are often due to the fact that there is no space for nature around the houses.	travel
429	Dinner is the most important meal of the day, and the South Asian tradition is to have a heavy, warm meal after the evening prayer.	entertainment
433	"Since there is no real ""frontier"" between science and technology, many scientists believe that technology itself should be considered a science."	science/technology
434	Meanwhile, the signature event of the festival, the Grand Prix, will take place on the sloppiest road in motorsport, the Red Bull Ring.	sports
446	Police said the eagle-eyed viewer may have noticed a break in the all-but-completed wall, marking the site of an illegal cave-in.	travel
448	"Moreover, he claimed that the United States was proving itself to be a ""dupe"" of the ""economic juggernaut"" that China was."	politics
450	Eighteen of the tubes were found to have cracks, which was thought to have caused the leaks.	science/technology
451	Above the treeline, snow is not uncommon, and there will be no particular shape to the trees.	geography
457	Perhaps the most important piece of equipment for any golfer is the right clothing - something that can save a missed putt, or at the very least, make the golfer look bad.	sports
459	The two sides are scheduled to play a match-up of the final eight in Moscow on Thursday.	sports
461	Nailon, a ten-year-old boy from Guyana, spent last year fighting a battle to survive cancer.	health
463	The statue of liberty is the most famous landmark of New York City and it is often used as a symbol of the city.	travel
466	Financially savvy travellers now change their travel plans frequently, in order to offset the cost of a single missed flight, hotel, or car rental.	travel
470	Airline travel is often the most expensive part of a trip. So, finding a way to save money for flights can sometimes save a trip.	travel
471	The worst case scenario, he said, is that the company will deliver a constant stream of new cars to a market that is growing at a slow rate.	travel
477	The statue of liberty, which was taken over seventeen months ago, is now the largest sculpture in the world.	politics
478	Regrettably, as pennyroyal tea becomes more widely available, its use as a sensible herbal remedy is neglected.	health
481	Crowdsavage is the only sport in the United States Olympic Program that is not currently in the Olympic family of sports.	sports
485	Then there is the revisionist history, which claims that the war was fought not so much to change the status quo as to change the relationship between the two main powers.	politics
486	Though the power supply was restored, the water supply and sewerage systems were not fully restored until after the storm.	travel
