id	text	category
0	The bank was supposed to reveal today how it will gauge the cash reserve requirement of its customers, a measure that has angered many investors.	politics
10	Then there was the criticism that he had been too soft on the North Korea. He said the North Korea must first show signs of true repentance before any negotiations.	politics
16	The cheese is cooked until it's soft, but not mushy.	science/technology
18	The appearance of the news that a free vote had been shot down, was met with laughter and boos from the audience.	politics
24	It's worth half an hour to stroll about the intriguing village, worth visiting for its beautiful church and worthy museum.	travel
27	On Sunday, Lordes finished in a tie for second in the men's standing Super-G.	sports
33	"However, he cautions that there is no ""evidence"" that the disease must be distributed in a particular way before it becomes a ""public health problem."""	health
40	In case of a power outage, do not try to use the radio as a flashlight. It is best to have a reserve set of batteries and a flashlight in the car.	science/technology
42	"Mr. Smyth said the retailer had ""promised"" to deliver ""certainly"" goods such as milk and bread ""where there is a shortage""."	entertainment
46	"The result was a timid response from the music industry. Digital Music Association, the US-based music industry group, called the result ""a step in the right direction""."	entertainment
51	Balloons that are not properly inflated with air can pose a danger to people and property.	health
52	Entertainment industry employees often expect and receive engagement from guests at events.	entertainment
58	But, if this ever does happen probably won't happen for a very long time. The atoms will be so spread out that there will be a lot of empty space around the new atom.	science/technology
61	But, suppose the country decided to resist the impulse to return to the old order of things. In that case, the butterfly's wings in Florida would not be enough to return the system to balance.	science/technology
62	Voters in the Philippines have already voted in a recent referendum, where the people voted to replace the existing system of government with a republic.	politics
69	Cage sport is a sport in which one or more trained animals compete against one another, such as dogs or cats against other animals.	sports
70	The injured person was transported to a hospital but died shortly afterwards.	health
78	However, you should not rely on just one password to protect you and your wallet against fraud.	science/technology
79	The main advantage of this method is that it allows for a greater freedom of movement for the riders.	sports
81	"Dr. Sehgal said the government should make sure that the ""lessons"" of the pandemic are not forgotten ""when we get back to normal."""	health
94	Madagascar is by far the biggest, and a continent on its own when it comes to wildlife.	geography
97	Google's parent company, Alphabet, reported its fiscal first quarter today.	science/technology
98	Sixteen-year-old Jane Doe was charged with murdering the three young women and her own baby sister, who was also seriously injured.	health
101	Everyone should, however, remember that they are only a vending machine away from home.	science/technology
104	Uka, who thought he was the winner because he had the more votes, after the match denied having thoughts of cheating.	sports
113	Undersea travel is often to diving or scuba diving, or a combination of the two, and involves entering a waterway with underwater Fabric:	travel
125	No sport attracts more fans, passionate commentators, millions of dollars in commercial revenue and billions of television viewers than the professional football.	sports
128	Google's busy maneuvering to become a full-fledged travel agent, by manipulating the travel agent market with its Google Maps and other products.	travel
131	The acquisition, which was reported to be worth several million dollars, will reportedly enable the company to acquire the bicycle brand Timed, which is known for its high-end road bikes.	sports
133	"It's the same with action films - you don't usually designate a ""action"" actor, meaning that the real-life actors who play the stunts often have to take on roles that demand a great deal of physical acting."	science/technology
135	However, this doesn't mean that we shouldn't be careful not to overdo it.	health
139	Dr. Sezen Aksu, a Turkish diva, demonstrated the art of saz, a Turkish horn, along with Kıbrıs Esenoluk, a Turkish guitarist.	entertainment
141	Konkani is a sánhnd language to Hindi. It has a large vocabulary and a complex grammar.	science/technology
142	"She said ""half a spoonful"" of music teachers claiming that music learning should be fun."	entertainment
146	"Granted, this isn't very ""political"" data, but it does save time for those who have to deal with native speakers."	politics
157	Poverty is a factor that drives children and adolescents to participate in child labour, and child labour is a significant source of income for many families.	health
159	However, the situation is stable, and all roads lead back to normality as soon as the cash donation of the fans is finished.	sports
170	Happy accidents happen, but usually they are the result of a well-coordinated team effort to accomplish a specific goal.	health
174	Another common pastime for many people is to collect stamps, a hobby which has inspired the mint to issue stamps depicting scenes from the arts and sciences.	entertainment
175	In short, the bottom line is that you are better off with a travel agent who frequently books trips similar to yours.	travel
180	Vautier's achievements outside of directing include a hunger strike in 1973 against what he viewed as a form of censorship.	politics
191	This is because the mother compound needs to be broken down before it can be absorbed into the bloodstream. This helps to prevent overloading the liver.	health
202	A tendency of some travel agents is to overbook the travelers’ passports.	travel
204	"The poster states that ""pharmacies throughout Switzerland are selling condoms at no cost,"" and ""they hold stock of thousands of these""."	health
209	Congratulations are in order for those hoping to rise through the ranks, but the game is very much about standing out, to make a first team.	sports
213	"Finally, the guide of the show concludes by saying ""just be beautiful,"" to which the audience responds with a resounding ""beautiful"" (or ""awesome"" or ""great"")."	entertainment
219	Weather warnings are in place for many parts of Argentina due to the continuing effects of the La Niña weather phenomenon.	travel
222	Anger can be a very powerful emotion, and can drive people to act out in ways that they otherwise would not.	science/technology
226	The definition is somewhat vague, and can mean different things in different contexts. In common parlance, the term refers to waterfalls that are at least 6 metres (20 ft) high.	geography
241	Perhaps the most common form of feedback received by athletes is that of their own voice.	sports
245	Scientists say that these rocks were formed when the moon was very young and that the moon's surface was very rough.	geography
246	Unfortunately, the peach activity of the past few weeks has resulted in the acquisition of a fair amount of debt.	travel
250	"She thanked the youth for ""coping with the history"" but warned them that ""the past does not have to define the future."""	politics
253	It is not understood why this particular mutation led to the increase in risk for breast cancer in women.	health
257	But in the modern day game, the player who takes the fewest strokes, or swings of the club, to complete the course wins.	sports
261	Consider staying in a dormitory, which is a room shared by several students, and save money for food, drinks and entertainment.	travel
266	The scantily clad women were meant to hint at the political corruption and sexual degeneracy of the ruling class.	politics
273	A competent player can usually reduce the risk of failure by choosing the right handicap for the course.	sports
277	Butt adhirams are a common snack in Assam, where they are called buttery bhatura.	entertainment
278	In general, one can say that if one method is not working, one should try another.	science/technology
282	The victim was transported to a hospital where he later died.	health
284	Huhne, who is married and has a young adult son, has insisted he was the victim of a political attack.	politics
285	Shebnawali, a religion from the Indian sub-continent, is an example of a movement that has gained popularity due to its ability to offer a unique combination of spirituality, sport and entertainment.	entertainment
296	Granted, this isn't as glamorous as a bike tour through Europe, but it does solve the transportation problem for everyone.	travel
297	Arrogance, and not competence, is often the root of team conflict.	sports
300	Other sports where timing is important include football, basketball, volleyball, water-polo, fencing, ice hockey, roller hockey and F1 motor racing.	sports
301	Written words can be understood even when spoken words are not. This is especially true of addresses, which are often difficult to pronounce intelligibly.	science/technology
305	"She said interpreters for the deaf are like ""bridge"" people who help connect the deaf community with the rest of the world."	science/technology
307	For one of the privileges of being a member of the upper class, one allows oneself to be screamed at by an official.	politics
317	But, for some reason, children as young as three or four years old are being taught to read with the help of phonics systems.	science/technology
320	The attack put a huge strain on the already strained relationship between the two sports bodies, U.S. Olympic and U.S. Gymnastics.	sports
