id	text	category
13	In the hands of the wrong youth, however, it can become a very dangerous orientation.	travel
15	She is keeping a diary of her experiences which is being published as a book.	travel
22	Flipped classrooms are based on the idea that all students should not learn at the same speed and that there is no one best way to learn.	science/technology
28	Notably, there is no command of the essential vegetable protein, soy, in most Native American diets.	science/technology
34	Intimidation, coercion, and even fraud are used to force people to work for free or at very low wages.	travel
39	Besides shopping, the complex contains a theme park for kids that is a cheerful mix of slides and other amusements.	entertainment
46	In some countries or types of stores, there is at least one on-site restaurant, often a rather informal one with affordable prices.	travel
59	Similarly, it is not urgently needed that we have a satellite in space that can send messages to the moon or other satellites in space.	science/technology
60	Vintage-style radios are often cool gadgets that add a retro flair to any room.	science/technology
63	Eighteen of the twenty-four presidents were elected using the Hare's Majority Rule.	politics
70	Unfortunately, soccer is a game which is critically dependent on visual perception, communication and team work.	sports
73	The day after the rain, when the flood waters have receded, you can walk across the bridge to return to the island of Cayo Coco.	travel
77	Returning to the flight discussion, it should be noted that mental health issues should not be the reason for canceling a flight, nor should they normally be the reason for filing a claim with an airline.	travel
90	According to colleagues of the cat owner, the latter meant to divide the spring breakup party into two groups, one of which was meant for the cat.	entertainment
96	Vautier, who won the modicum of fame outside of the sport for his role in the failed 1973 assassination attempt on French president Georges Pompidou, was satisfied with mere survival.	sports
100	Moreover, the failure to do so has consequences for the economy as a whole, as the legacy of daily life becomes increasingly dependent on technology.	science/technology
102	Misuse of the phrase by politicians and the media produces a sense of déjà vu in the population, which produces more acceptance for the existing political system.	politics
106	Bachmann, who won the prominently advertised Republican Party presidential primary election in June, spent most of her money on television ads.	politics
114	Football: The sport is primarily played in the United States of America and Canada, but it is also very popular in France, Germany, Italy and Spain.	sports
117	It was particularly the efficiency of the trousers, which allowed for the leakage of information through the knees of the wearer.	science/technology
136	Recently, there have been protests by some fans of the cricket team against what they consider to be abusive language used by the captain of the team, Sachin Tendulkar, during a match against the temple team.	sports
138	Congratulations! You are about to be a parent, and soon your family will add a new member.	travel
143	Since the 18th century, there has been a tradition of drinking champagne at the birthday party of a person born on the 1st of January.	entertainment
146	Examples include sleep deprivation, which can promote feelings of fatigue, and the consumption of alcohol and drugs to stimulate the missing feelings.	health
154	Hello! is the most common greeting in Finland, and is used by both people and machines.	entertainment
155	In addition, they don't have a digestive system so they must get their food from somewhere.	science/technology
168	The architects of the bridge are to be congratulated on a very ingenious solution to the problem of keeping the traffic off the riverbank, while at the same time allowing a very wide range of views and smiles.	travel
172	The action led to the formation of the Congress of National Unity (CNU), a coalition of organisations protesting against the top-down, one-man rule of General Krushchev.	politics
177	Unfortunately, she has had to stand down from the series due to a shoulder injury she picked up in Turkey last month.	sports
184	She is expected to be released on bail, as the prosecution is expected to prove that she was only too willing to sacrifice her reputation to go ahead with a wedding she was determined to have.	politics
