id	text	category
1	She started out by yelling at the camera man for not taking a picture of her, then ranted at the reporter who started to report her.	science/technology
4	In some parts of the world, eating raw meat is a way of life; in these parts of the world, eating raw eggs or undercooked meat is not a problem.	health
8	Remember that your main source of information during the campaign will be the candidate's official website.	politics
10	Queenstown is the base for many day trips to the surrounding mountains and glaciers. Bicycles are a great way to see the area and can be rented from many of the businesses in Queenstown.	travel
11	The data also suggests that the animal's immune system was not able to cope with the new strain of virus after being exposed to the original strain during the 2007–08 outbreak.	health
22	The trade group, which represents the interests of the movie industry, made the commitment Wednesday in a lawsuit against eight internet streaming services.	entertainment
23	Trees killed by the storm were meant to be replaced, but a government audit found that funds had been spent on plants that looked like trees.	health
26	The thread of conversation drifted naturally to abortion, and it was soon suggested that the best way to cure the country of its evil was to have as many babies as possible.	health
42	Fortunately, drivers tend to behave within a reasonably consistent range; thus, traffic streams tend to have some reasonable parallelism and can be roughly represented mathematically.	travel
44	The princess' cottages are located on the hill above the village, and offer wonderful views over the surrounding countryside.	travel
45	Besides carrying debt to carry for generations to come, the white man left the South with a system of laws and institutions that were designed to keep the black people in poverty.	politics
47	The researchers also concluded that the fox feces, which contained nitrogenous compounds, could serve as a marker for wolf urine on the ice.	health
51	Virgin Media have announced that they will bedepending on the result of the Bakery Cruises trial to decide whether to continue with their own trial.	politics
59	Interactive storytelling is a teaching technique in which a story is told using digital media, often with the goal of learning.	science/technology
63	The tournament will see the return of some of the world's best sailors, in a fleet of new boats designed to distribute anger and frustration in smaller doses to the new generation of sailors.	sports
72	Cunningham, who was married, had a successful career as a fly-half in the Rugby Union but gained fame as a commentator on the sport's most popular television programme after the 2007-08 season.	sports
90	Turkish Airlines is one of the world's leading airlines, operating to over 100 destinations in 40 countries as of 2014.	travel
91	Oromo protested against the government for not fulfilling its promise of setting up a milestone for the exchange of the old crop for new, free and fair.	politics
93	Experienced travelers don't waste their time with messing around to find a place to eat when they're on a trip.	travel
95	"Famous for his 60-second spot, Duane ""Dusty"" Dillman is remembered for his famous ""gotta have it"" slogan during the 1980s."	entertainment
98	While you may see butterflies and moths in the summer, they mostly come to breed in the winter.	science/technology
100	Finally, in the evening return to the village of Oia, to enjoy the beautiful sunset over the caldera.	travel
102	The risk of embarrassment overhearing someone being rude to a foreign national in public made many people reluctant to report the incident.	politics
104	Alright, so this is a trick my dad taught me when I was in the middle of a deal with the Easter Bunny.	science/technology
107	Rates of suicide are higher among the youth in the age group of 10 to 19, and this rate is higher among the male youth than the female youth.	health
114	She has since been advocating for a thread of Continuing Education Units in all medical schools to ensure that doctors are always up to date on the latest research.	health
118	Soldiers sleeping on trains: In the colder months, sleepers may find themselves with a temperature as low as the points at which human comfort can be maintained without additional clothing.	travel
120	The arrowhead was found at the site of a prehistoric campfire, indicating that the reading of the inscription may have been done at night while the camp was set up.	science/technology
121	Please remember that factory-raised fish are not well adapted to live in a new environment and will likely die off without proper care.	science/technology
122	"Sky News said it was ""sensible"" to do so after rival networks said they would not air the controversial interview, which was taped on Wednesday."	entertainment
129	"Enthusiasts of the sport sometimes call it ""freestyle skiing,"" ""ski touring,"" or ""ski hiking."""	sports
130	The smoke signals used by skiers to inform each other of their position on the piste are in the same range as that of a mobile phone.	sports
131	His ruthless politics assumed instant success. Within weeks of his assumption of power, fifty thousand troops were sent to assume control of the tablelands.	politics
133	Vintage criteria, on the other hand, involve asking oneself what it was like to wear a coat in the 1950s, when many clothes were made, rather than trying to find a coat that is two sizes too small.	science/technology
139	The moon is said to have appeared new in the Bhojpuri language for the first time in history yesterday evening.	geography
144	Meanwhile, in Canada, the National Hockey League (NHL) has suspended its professional ice hockey season due to a concern over COVID-19.	sports
146	Submerged cable links extend the reach of the rural telephone network, and cell phone coverage is very good.	travel
151	The protest was triggered by the arrest of several protest leaders who were accused of violating public order through their illegal gathering.	politics
153	Women: It is recommended that any women travellers say that they are married, regardless of actual marital status.	travel
159	The official, who is in charge of overseeing the event's safety, said the debris was likely from the collided tent.	sports
163	Criticism of the pre-dawn raid on Tora Bora has been met with anger from those who feel it deprived those in need of medical treatment of their right to life.	health
170	The crowd gathered to hear the music, and by the time the concert ended, about 4,000 people had entered the enclosure.	entertainment
176	South Africa has hosted the tournament since 1995, and has succeeded in making the tournament a home-grown event.	sports
177	"Thus, the phrase ""aircraft navigation aid"" (ANA) on a flight attendant's clipboard might mean either air traffic control (ATC) radar contact or it could mean that the flight is being flown directly into the sky without any radar contact."	science/technology
179	Traveling by plane can be a scary experience for children, especially if they've never flown before or have experienced a traumatic event. To make the experience as positive as possible, parents or guardians should fly with a child who needs to save money and visit a dentist.	travel
185	Lights on the bike frame help others see the rider in low light conditions, even if the rider changes positions.	sports
191	Salmon, trout and other fish of this family are known to Inheritance of traits from parents.	science/technology
201	The trail goes through protected areas and some parts are very difficult to access, so it is essential to obtain a valid permit in advance and to have a valid driver's license to prove your age.	travel
202	The warsaw, which was born in a dominant position in the war of succession of 1756, survived the battle of plassey but was badly damaged in the battle of rosyth in 1757.	politics
204	"She said ""watching things like X Games has taught me to be humble and to realize that there are things I don't know about that I will never know about that particular sport."""	sports
205	Konkani is a South Indian language which is spoken in the state of Karnataka. It is closely related to the Kannada language and has around 24 million speakers.	geography
209	The atoms of these elements are so incredibly tiny that trillions of them could fit into the period at the end of this sentence.	science/technology
220	Spending a night in a hammock is a perfect way to get to know the simpletons of Costa Rica.	entertainment
222	"She said the government was ""now rushing"" to pass a bill in the legislative assembly that would ""provide for the sweeping reform"" that was needed in the law on abortions."	politics
227	Saturday's event was a practice for the 2008 Summer Olympics, in which the streamlined kayaks competed.	sports
229	The team kept the traditional six-man squad for the trial match, though Bairstow said they would make changes for the match against England.	sports
235	Red feathers are worn by the men as a badge of honour, and boys begin their pubescent development by shaving their heads when they reach the age of 16.	health
244	Saturday's event was a practice for the 2009 A1GP season, which will see the return of the French team Renault after a two-year absence.	sports
246	Tuesday, a federal court in Paraguay ruled in favour of Guarani-Kaiowá indigenous groups, who are fighting to protect their land from illegal mining.	politics
249	Fortunately, drivers tend to behave within a reasonably consistent range; thus, traffic streams tend to have some reasonable consistency and can be roughly represented mathematically.	travel
