id	text	category
1	She started to feel unwell in the evening of September 16 and went to her bedroom where she died a few hours later .	health
4	"The symptom complex has been likened to a "" frequent "" or "" everyday "" headache , but with the potential for more serious long - term consequences ."	health
6	"She believes that he was responsible for the creation of a "" novel "" reproductive system in the dinosaur 's evolution ."	science/technology
7	"He said he was impressed by the "" momentum "" created by the protests , which he said had "" changed the course "" of India ’s politics ."	politics
13	Travel agents are often the first point of contact for potential customers when it comes to planning a visit to a new country .	travel
19	Interviews with successful chasers have shown that it is not the sense of speed , but the ability to handle uncertainty that leads to success in this sport .	sports
26	U.S. President Barack Obama sent a letter to all 50 states asking them to pass a compromise legislation , which would provide funding for the government until January 2013 .	politics
32	The resort town of Skopelos is located in the island of the same name and is one of the most popular destinations for both the Greek and international tourist market .	travel
36	Despite his comments hev said he will be lifting the ban on bóer goat meat imports when the current review of the entire pig and poultry sectors is completed in May .	politics
39	Thursday was the last day to register interest in one of the 25 ships planned to sail on the cruise ship tours , which share the same ocean with the ghost ship .	travel
40	Suppose you were a religion that believed in an afterlife . To explain the existence of a place called heaven , you would have to find a way for people to go there after they died .	science/technology
42	Popular sport in Finland is football , with the national team being the most successful team in the world .	sports
46	Congratulations are in order , because now you can plan your trip to the worst place on Earth - your home platform .	travel
53	Competing in a sport where one 's weight class is based on one 's heaviest weight allowed makes it imperative that weight be managed .	sports
59	For some people , thinking about the future can be soothing , it can help them to cope with the guilt and fear that come with knowing that some thing bad is going to happen .	health
61	The set - piece music , by John Willson Cleverdon , follows the same basic structure of all Shakespearean music : a set of interrelated themes , each one representing a different part of the story .	entertainment
64	Writing about entertainment helps me to express myself , to share my feelings , and to learn about the world .	entertainment
70	It 's no surprise that the staple food in this region is the cuisine of the region 's prominent food : lobster , crab , oysters , and a variety of fish .	entertainment
72	Officials said the assessment of the damage done to the spacecraft as a result of the crash will take several hours .	health
73	Traveling by bus is a cheap way to travel , especially for short distances .	travel
76	No association with the honest broker can ever be negative , it eliminates just one source of economic motivation .	politics
82	Proponents of the theory argue that the planet Earth goes through a phase where it feels very cold , just like the part of the moon that gets shaded from our view .	science/technology
100	Vautier 's achievements outside of directing include a hunger strike in 1973 against what he viewed as political censorship .	politics
102	Trendsetter : This fashionista wears the outfit , purple being the current color of the season .	entertainment
103	The result was a style of music called mashup , which combines elements from different songs to create a new one .	entertainment
111	A deep - rooted fear of not being enough leads many people to overindulge , either physically ( through eating ) or emotionally ( through drinking ) .	health
115	Fortunately , I was able to rewind the camera and save the image .	science/technology
120	It 's obvious that the control tower must have been under great pressure to confirm the unusual event that May Day celebrations normally bring .	entertainment
122	However , be aware that the pitcher 's arm may be out of commission , meaning that the pitcher 's hand may not be able to make contact with the ball .	sports
124	Cuomo , 53 , began his governorship earlier this year and signed a bill last month expanding the legal age of marriage to 16 .	politics
127	Hi Tech Fitness is a company that manufactures home fitness equipment . Its running machines have been praised for their accuracy by running experts .	science/technology
129	"Wow ! says "" define "" , "" arrangement "" , the "" chain "" of events that leads to the achievement of a goal ."	science/technology
133	"She said she and her husband had a "" fluent "" conversation in Spanish , but he had to do some homework to learn Japanese for the surveillance topic ."	entertainment
134	The first match to be televised was a rugby union match between the All Blacks ( New Zealand ) and the Springboks ( South Africa ) , on February 20 .	sports
135	"The adverbs vitally and essentially differ in meaning . Vitally means "" essentially "" , whereas essentially means "" verbally "" ."	science/technology
136	The company says it will continue to develop the brain - boosting drug , Xyrem , for use in treating a variety of disorders , including depression and anxiety .	health
