id	text	category
18	Its unique composition makes it easier for atoms of one element to stick together than atoms of another element .	science/technology
30	The request is just the latest in a series of demands from activists to restore the castle as a memorial to the victims of the war of words between the two sides .	politics
34	International sport authorities received complaints completely exonerating Putin of wrongdoing and received assurances from Russian authorities that a criminal investigation into the alleged corruption was being completed .	sports
42	Dr. Joyent says research behind the crown goes back to a dream she had as a child of helping children with cancer .	health
43	Fluvial networks are just one of many complex systems that generate reliable flows of freshwater across spanning thousands of kilometres .	science/technology
52	In the booming economy of a newly - independent Africa , the demand for tourism , and in particular , for luxury tourism , is set to grow .	travel
53	In fact , the only thing that the spy agency knew about the passcode was that it was a four - letter word of the victim 's sweetheart name or initials .	science/technology
55	"However , the president 's office said , "" President Trump will conduct his daily activities from the home office , located in the White House , which is equipped with a state - of - the - art surveillance system . """	politics
63	The mystery surrounds the peach , a fruit whose presence in the Amazon basin is believed to have caused an epidemic of unexplained peach - picking behavior in various wild pigs around the臀部 has a mysterious , almond - like , peach - colored patch on each thigh .	science/technology
65	Dear Visitor , Please be aware that littering is a violation of the city ’s waste management policy . Thanks for your cooperation .	travel
67	In addition to the visual pleasure of watching the flowers , the plant 's resilient nature makes it a valuable resource for hardy gardeners .	travel
69	March is the best month to visit Mizo Nation for the annual festival , when thousands of people from the surrounding areas come to Demonstration Zone , in the heart of the village , for the event .	entertainment
72	Our own internal jokesters are probably the best source of entertainment for us , so do n't be afraid to laugh at your own jokes .	entertainment
78	"In reality , there is no "" official "" definition of a niche , and the term is used informally by marketers to describe a group of related products or services ."	science/technology
91	Having flown in a plane on a revolving seat many times , I can tell you that the only thing that really matters is to have a comfortable sleep on the flight .	travel
92	Basically , they are just as much a concern for the government as they are for each other . The only time they are not , is when everyone is exercising their right to free speech and expression .	politics
96	However , the late 19th / early 20th century saw a change in the library 's role as the bestselling Hershey and Chase tree of life developed into a popular children 's toy .	entertainment
98	The management of the company must now guess at how much money they have left , after paying off the debt , and explore ways to enhance their earnings .	science/technology
99	Inland waterways can be a good theme to base a holiday around .	travel
102	Monday 's event is the first of three rounds of the Interact , a game in which players use computers to interact with each other and a virtual world .	entertainment
104	The ad follows a campaign by the government to promote tourism by showing off Nepal 's natural beauty in the form of a poster featuring the image of a mountain peak covered in snow .	entertainment
105	Eventually , however , all of the feathers on the wings will be replaced by down , and the creature will no longer need to negotiate for cover .	science/technology
112	Gratitude towards food can also be a way of expressing gratitude towards the natural world ; a feast is a good example of this .	entertainment
115	In the more intimate setting of a private estate , the hosts typically have a steady stream of visitors , allowing for more personalized attention .	entertainment
118	"Internationally , there are nearly 200,000 registered pet cats in the "" feral "" or "" untrained "" population ."	health
120	However , they should not be expected to offer the same level of comfort and security that a traditional mattress of springs and foam can .	travel
136	The story is told through the eyes of a young boy named Momo , who finds himself at the mercy of a cruel , old man who shares a tire with a dead whale .	entertainment
138	In the future , when you meet someone from a different generation , remember that they had to overcome many obstacles to get to where they are .	travel
