id	text	category
0	The distribution of the Teksi , a cheap and convenient means of transportation in the archipelago , will be carried out by military bus to the islands .	travel
2	The region gives the pear the reputation of being the first fruit to be grown in the New World .	health
3	The precipitation , which sometimes exceeds 1.2 inches , has helped to restore the water levels in the streams and rivers that have been peeling away at flood levees .	geography
16	The record of the previous highest ever monthly temperature is still valid , as this was on record for the month of June 1990 , when the temperature at the Peekskill meteorological station on the New York– New Jersey border reached 40.6 °F ( 4.9 °C ) .	geography
21	But if you do fall asleep while driving , the consequences can be serious .	health
25	"Spike Lee , winner of an Oscar , said the film "" was n't about race , it was about class . """	entertainment
26	This seems to be a very common skill in Pigeon Fishing , catching a fish with a pencil lead seems to be the only skill needed .	science/technology
27	Another urban legend is that the whole purpose of the mall is to bring the consumer back to the urban setting , with its stores , restaurants , and entertainment options .	travel
29	Bhojpuri is a witty and amusing language , with a rich vocabulary and a complex syntax , which is unable to satisfy the wannabes of the Hindi language .	entertainment
30	January 2011 saw the birth of the first baby panda born in the wild in the past 15 years .	health
36	Guaraní was the first group of indigenous people to inhabit the region and they lived in harmony with the environment , producing a subsistence agriculture .	geography
38	Natives of the sleepy little town of Barbourville , Ky. , do n't usually think of themselves as being very sporty , but they are getting ready to put their basketball skills to the test when they travel to play in the McDonald 's All - American Game .	sports
42	Congratulations are in order , but the victory is not yet won . There is still a long way to go before we see a fundamental change in the way that innocent children are sacrificed on the altar of political expediency .	politics
43	In the evening , return to the campsite to enjoy a farewell party .	travel
45	Wednesday was the final day of the trials , and the women 's sitting group was the first to speak .	sports
48	Coffee is one of the most traded commodities in the world , and you may be exposed to many different types while traveling .	travel
51	Eventually , the chicken had to be removed from the scene as a result of the fire escape , and the flaming rooster was inspected by at least 17 people before it was put out .	entertainment
52	The battle for control of the organization is being fought out among a group of men and women who are trying to save what is left of Coke 's business model .	travel
64	Ilocano is a language that is closely related to Bahasa Indonesia , and both language are grouped with Sundanese .	science/technology
67	"She said the "" amazing "" thing about the brown bear is that it "" feels "" like walking on water ."	travel
73	Athletes may prefer a product even if it provides no real benefits .	sports
74	Meiteilon is a mountain of the Transantarctic Range that emerges into the plateau .	geography
82	The district health office , attempting to clarify the situation , said yesterday that the patient had been setting off alarms regarding his / her infection with the tentative name of A( H1N1 ) v .	health
88	Thursday was the day of the election of the new parliament , when voters will decide on the future of the second most popular custom in Finland , the smoking ban in public places .	politics
94	But now there is a new moon to be born , and with it a new opportunity to resolve the existence crisis .	science/technology
98	Whale watching is a popular activity with trips being made to near the coast to see the whales and other marine life .	travel
105	However , Quechua is still used daily , and is the everyday language of many Peruvians who work in the rural areas .	travel
119	"The announcement was made on Sunday evening during the history channel 's famous "" Devastated "" series ."	entertainment
121	No authority has as of yet imposed any fines or penalties on the two clubs for the alleged violations .	sports
126	The government of Assam has implemented a couple of measures to relieve the pressure on the overburdened health system in the state .	politics
131	Hospitality in its purest form is what most people associate with traveling : the act of hosting a stranger , providing them with a place to sleep , food , and sometimes even a place to shower .	travel
132	It 's been said that the building itself has a haunting story attached to it , which some claim was the inspiration for the scary part of The Haunting movie .	entertainment
140	Minor sport events that are often part of the festival include football , basketball , volleyball , water - polo , fencing , ice hockey , roller hockey and F1 motor racing .	sports
143	"Friday 's event was a road race , with the traditional "" standings "" race being held on Saturday ."	sports
144	The first position in the all - important front row is always held by the most physically fit warrior .	sports
148	"She said the greeting was "" very popular "" and some people were "" very worried "" that it would be taken as an acknowledgment of the Soviet Union 's busyness after the Launchment of the Moon ."	entertainment
153	Basically , they fall into two categories : Either stay in a hotel ( usually a four or five - star hotel ) or go live on the ground .	travel
165	A tornado is a spinning column of very low - pressure air , capable of lifting and carrying objects into the air .	science/technology
166	Working at a beach , you can quickly get bogged down in national politics .	travel
169	Finally , the fate of the last remaining wild horse and mule was decided .	travel
175	Meanwhile , at the site of the crash , efforts are under way to search for survivors as the weather becomes increasingly unpleasant .	travel
187	Tuition fees for these schools can be quite expensive , but they offer a higher level of education .	travel
193	"The deck of cards is the traditional game of backgammon , in which the players try to move their pieces to a designated goal area called the "" stairs "" ."	sports
194	The five - a- side game , which is also called football , is played on a field that is five times as long as it is wide .	sports
205	No matter how much you may hear about the benefits of a particular food , it is not recommended that you rely on it alone to provide you with all the nutrients you need .	health
215	Honeybees can transport pollen from one flower to another , helping to ensure the continued production of seeds .	science/technology
239	Outside the court , fans often see the players wearing special shoes with a high heel and a narrow footbed , which allows the player to turn and move across the court quickly .	sports
246	"The overuse of the term "" ecosystem "" is often misleading , because it implies a neatly ordered set of plant and animal species ."	science/technology
251	"He said the government was "" now rushing "" to pass a "" complex "" legislation to rectify the situation ."	politics
257	But if you are a conservationist , or just want to see the world on the cheap , there are some wide open spaces left .	travel
259	"Nowadays , there is a new sport called "" foilist "" . It consists of jumping from a high platform or tower and getting into the water , where a skier or snowboarder would normally begin their activity ."	sports
264	"His teammate and rival Lewis Hamilton said he "" got the sense "" of a "" very loose "" third gear when he was behind the Mercedes driver ."	sports
265	"She said , "" Sanskrit is very beautiful language and it is very fortunate that we have a platform like ISKCON to showcase the beauty of Sanskrit . """	entertainment
268	Travel agents are experts at facilitating travel for groups . A travel agent often has a wide variety of deals with hotels , transportation providers , and other experts to facilitate a client 's travel .	travel
279	It 's a long way from the coast , so be sure you have a car with enough space , and make sure to have an appropriate license to take a car with you that is bigger than 7 seats .	travel
280	"The priest performed the rite of passage to allow the boys to become men , by shaving the heads of the boys , called "" moose "" , in celebration ."	entertainment
286	Interesting architecture is sometimes the only thing that stands out in the midst of a busy , crowded , and often unremarkable cupboard of a city .	travel
287	The ancient drama of the theatre is concerned with the conflict between the characters ' passions and their responsibilities .	entertainment
290	Children often begin to write poems about what they see in the news , or what they have learned in school .	entertainment
293	I do n't think there 's a bad time of year to visit , but there are certainly advantages to visiting in the summer , when the weather is more conducive to long - distance walking .	travel
296	However , he is disappointed that the instructions on how to best relieve the pain of an orphaned child does not seem to be on the table .	health
297	"Journalist Merab Dabaghian reported that "" it was enough to make the naive pig think of the chilly weather in December . """	entertainment
298	But , if you want to see the world on the cheap , for a while , this is the way to do it .	travel
300	Mr. Rudd 's decision to sign the bill as it is has been met with criticism from some conservatives who have called for a more thorough revision of the bill before it is debated by the full house of the Australian Parliament .	politics
303	The game is developed by Riot Games , the company behind the online game League of Legends .	entertainment
304	The report opens with a plea for a worldwide investigation to determine how to prevent such disasters in the future .	politics
307	Instantly , the tamer becomes crucially important , as the new owner must almost instantly make the new pet feel at home .	travel
308	Most ski resorts have a certain amount of stocked ski and snowboard equipment for rental , but many also offer a temporary loan of specialized equipment .	sports
312	"The official , who is expected to be named governor - elect of Texas on Wednesday , advised the crowd : "" Camp Dustin will stay open . """	politics
317	After the show , there will be a Q&A session with the fans .	entertainment
326	However , keep in mind that even though you 're probably used to sleeping on a mattress in your home country , in South America the mattresses are quite different .	travel
328	The helmet is crucially important to find the right fit , no matter how many times you have seen a friend or colleague riding a bike without a helmet .	travel
329	The factory is expected to ensure a constant supply of raw materials for the production of 42 million smart cards a year .	science/technology
334	He is speculated to make a run for president in 2016 , to replace the incumbent President Obama , who will end his two - term presidency in 2014 .	politics
339	The winner of the trophy , the Go Daddy Cup , is awarded to the team that wins the most points in a specified number of games .	sports
340	Congratulations were in order for the stock market , which has been going up and up since the announcement of the major stock exchange roll - out .	politics
352	However , you should not always expect to find this in more remote locations . Many times , the hotels have a partnership with restaurants near the hotel that offer a more varied menu .	travel
365	In one of her diaries she wrote that she used to drop her baby sister under the bus when she was angry with her .	travel
