id	text	category
4	"She adds "" But it ( the truce ) does n't mean that fighting has ended . We still have a long way to go until we get to the point where we are fighting a real war of liberation . """	politics
6	The couple had planned to get married at St. Mary 's Cathedral , Virgina , in June this year but had to cancel the wedding due to the pandemic .	entertainment
13	Eventually , however , the savage feast will end , and there will be no more opportunity to hide .	travel
16	Ewe ! is the fourth album by Nigerian afrobeat band , Wizkid and their first album for the label Sony Music Nigeria .	entertainment
19	"Mr. Smith ( the narrator ) says that some people think that taking drugs can make them "" feel good "" . He ends by saying that drugs are dangerous , and everyone should try to avoid using them ."	health
20	"She said the campaign would "" emphasize the quantity and quality of the votes cast "" in the August election , in which she believes the incumbent president will face a tough challenge ."	politics
24	No one is obsessed with being a ' master ' of any particular word game , but everyone seems to be obsessed with becoming ' genius ' at some new word game .	science/technology
51	"She said parents should not have to "" compete "" with the milk formula industry to "" satisfy their own desire for certainty . """	health
54	Chocolate , having a high content of flavonoids , has been shown to have anti-inflammatory properties .	health
65	The statue of a chubby , balding man is perched atop a hillock in the middle of the field . He is holding a pole with a written Amundsen - Scott South Pole Expedition on it .	geography
73	However , there is one caveat to this rule , and that is that this shade system should not contribute to the confusion of the two main colors , which are black and white .	geography
77	"She said the 30 - year veteran of the police force "" was very much a part of the family "" and he will be greatly missed by all ."	health
80	Dying back : A study found that when faced with a choice between making a small immediate sacrifice or saving for a future benefit , people often choose the immediate benefit .	health
83	Perhaps the most common form of tourism is what most people associate with traveling : Recreation tourism .	travel
84	Contemporary pool noodles are made from a block of polymeric material with holes machined into it .	science/technology
86	The main event will be a Saturday night show featuring the headliners being a band that has just released their debut album .	entertainment
88	Immediately after the accident occurred , the driver of the truck was transported to a hospital but died later .	health
94	A key belief of this approach is that all people are born with certain basic needs and desires that are , when met , help to ensure their physical , emotional , and social well - being .	health
95	The conference call was the first time that the attachment of the new gene to the virus had been successfully translated into a vaccine .	health
101	Hopefully , the new management will bring about a change in the culture at the club , so that we can return to being a team which hopes to win the title .	sports
103	Fraudulently overcharging tourists for using public services ( e.g. water , electricity , telephone ) is a common way for the poor to make a living .	travel
109	The presentation of the law , which was enacted to punish sex outside of marriage , has caused controversy because it is believed to allow for the spying on and monitoring of lesbians , gays , bisexuals , and transgender people .	politics
111	England was not an island alone ; it was a small , weak island in a hostile ocean .	geography
113	The quilted fabric , with its vitality and energy derived from the combination of different colors and textures , evokes the feeling of a warm embrace .	science/technology
114	Hershey and Chase ( 1959 ) demonstrated how a DNA molecule could be used as a template to make a protein if the molecule was inserted into a bacterium .	science/technology
118	The kitten , which was found in a state of apparent nudity , was kept in a cage with the snake , which was revealed to be a non-native basilisk .	science/technology
120	Chaos ( a.k.a. economic crisis , political crisis , or just crisis ) is a term that is used to describe any sudden and dramatic change in a sport 's governing body , team 's management , or player 's personal life .	sports
126	The man , who is aged 19 and from the college basketball national champion Boston College , was charged with assault with a weapon after the fight at a bar in Cambridge .	sports
127	Boiling water is a common example of a state in which matter is more dense than in the free state .	science/technology
139	"He said the "" whitewash "" conspiracy theory that Trump supporters were responsible for the violence was "" just as disgusting as the real crime "" ."	politics
147	For those willing to sacrifice comfort , time and predictability to push expenses down close to zero , see minimum budget travel .	travel
149	He did cause some controversy when he said he would invest the money économized from tax cuts for the richest Americans to pay for school lunches for poor children .	politics
154	Unhappy with the result , some fans protested by throwing bottles at the police line , spiking one of the police shields .	politics
158	The government has so far been reluctant to take measures such as price controls or taxes on the importation of basic foodstuffs , in order to cushion the impact on the poor people .	health
161	Tuesday 's event was a qualifying race for the 2013 women 's road race .	sports
164	"Loneliness is one of the most common and pernicious effects of technology on society , he writes , "" it is now commonly believed that overuse of technology leads to ' connective"	science/technology
172	Though he is young , he has already been compared to a rising political star because of his public statements and his criticism of the government .	politics
174	Monday 's event is a one - mile walk / run around the course , with a possibility of a sprint section in the middle .	sports
177	Sheep are tamed by humans since the age of 5000 BC . Sheep were originally domesticated to provide a source of wool , meat , and leather .	science/technology
179	It 's worth mentioning that even though 50 cents might seem like a lot to a child , that 's probably about all the money they will be willing to spend in a shop .	travel
188	"Tiwari said he was "" absolutely "" satisfied with the way the elections had been conducted and he hoped that the same level of satisfaction would prevail among the voters when the results came in ."	politics
189	Nowadays there are many similar services offered , like cloud computing .	science/technology
190	"In the United States , the most common type of pet chicken is the "" backyard "" breed , which is tame and remains in the house ."	science/technology
194	Finally , the shell has to be removed from the egg .	science/technology
199	They can sustain a higher thread count than conventional thread , and the pile can be more even because of the pilling on both sides .	science/technology
200	"The coach of a rugby union team , the "" manager "" , is responsible for making sure that all the rules are followed ."	sports
206	The only thing worse than trying to sleep on a ship is trying to sleep on a ship and having a cranky passenger next to you .	science/technology
209	Angelou , who won the Nobel Prize in Literature in 1988 , was a fierce critic of the Black Liberation Movement but she was also known for her vague statements on sex and violence .	politics
210	Dr. Katzenstein is engaged in controversy over his treatment of patients . He has been accused of refusing to treat , or even noticing , patients who cannot pay .	health
215	Scientists say they have discovered how a star 's surface is scratched , revealing a complex pattern of grooves and pits .	science/technology
217	She said the drawing “ resembles a collapsed drawing in which the top layer has collapsed away to form a title page . ”	science/technology
