id,text,category
1,"God is not only the creator of the cosmos , but he is also its perpetual sustainer .",science/technology
4,"She said the chest pain which she had felt was "" very bad "" and that she had to sit up in bed to feel any relief .",health
5,""" But if you 're a fan of weird or fantasy stories , or just want to see the coolest places on the planet , then a geeky gift is for you . """,entertainment
8,"For a time he wrote under the name Cassius Marcellus Cæsar , but later used Cæsar for his true name .",politics
10,"Deciding to study abroad is a major decision , so take your time to research potential universities before you decide .",travel
11,He was criticized for saying that fifty percent of the youths involved in the revolts were responsible for the violence .,politics
14,"Stone 's ex-girlfriend , actress Jennifer Tilly , has accused him of rape , but he has denied the accusation .",entertainment
18,Contemporary art is often defined as that which is produced in the 20th century and later . There is a tendency in modern art galleries to focus on the work produced before the 20th century .,entertainment
29,"The funeral for the victims was held today , and will be followed by a memorial service tomorrow .",entertainment
37,"Wednesday 's announcement that a draft pick in the third round of the 2011 NHL Entry Draft , Ovechkin , is headed to the Washington Capitals , has the Capitals fans excited .",sports
40,"Admission to the park is charged as normal park admission , but there is a special concession for those who are aged 65 or over , and for those who are disabled .",travel
41,"She said that , "" though time and again the tide has turned , however , the United States has not only failed but has actively sought to undermine the rule of law in the Middle East . """,politics
42,"But maybe there 's a game in you , a game that wants to be played on the small screen .",science/technology
45,"The temporary sacking of the manager , Jose Mourinho , had only served to highlight the problems in the dressing room , which had gone from bad to worse since the final whistle of the match against Schalke .",sports
48,"He was arrested on Saturday after officials found illegal campaign posters with his image on them stuck to walls in the village of Structures , 25 km ( 16 miles ) from La Paz .",politics
49,"They provide a place to rest for the feet and a sense of continuity for routes that are often bumpy , steep and , in some cases , dangerous .",travel
50,"Some events have a pavilion where the main focus is on one particular industry , like fashion , beauty , food , etc .",entertainment
51,"But Assamের এই নতুন আইন , চর্চা , এবং গানে , চারণাকারীদের এক ঐতিহ্যবাহী দল , যারা নিয়মিতভাবে ছোটো ছোটো অনুষ্ঠান করে , তাদের জন্য একটি উন্মুক্ত স্থানে গান গাওয়ার সুযোগ দেয় ।",entertainment
54,"Initially the show was only presented in the specialty theatre group , The Grey Goose .",entertainment
71,"Almost every visit to a temple sets the stage for a full day of worship , with morning rituals followed by noon and evening celebrations .",entertainment
75,"The sandbar is immediately behind the moonpool , so the best place to start is at the end of the moonpool left .",science/technology
79,Death of the host organism followed by the uptake of its resources is the basic mechanism of parasitism .,science/technology
82,"She said the accent "" was n't funny "" and "" it was n't a fluke "" that she was told to "" back off "" by Sepedi - speaking organisers of the hike .",sports
