id	text	category
0	However , they should not be mistaken for a smooth ride . The curvy road sections , the steep grades and the nasty , unguarded corners are just a few of the causes for the frequent accidents on this road .	travel
1	"She wrote in 2006 that "" Tourist visits to the Grand Canyon have long meant that the resourceful inhabitants of the Colorado Plateau have been able to meanwhile to survive and even to prosper on the basis of this activity . """	travel
2	Cycling is a sport in which people cycle on a bicycle , either alone or as part of a team .	sports
4	"Fellow presenter Steve Fry said "" Steve Ma "" ( Steve Martin ) "" has been asking for a replacement guitar solo for a very long time . """	entertainment
8	Formerly number two , Stalking Elf ( 2009 ) is a stunning one - man show that documents Huhne 's attempt to arrange a £ 1 million pay - off for himself and three others .	entertainment
22	Fulfulde is a language that is closely related to English but which has developed its own unique path .	science/technology
26	The party that wins the most seats in the parliament wins the overall fight .	politics
33	However , a loss in September would have been the first time a presidential election has been lost by the broad - based coalition that won the elections in November .	politics
34	The speed with which the pledge was signed , and the lack of a public apology , were seen as signs that the barroom battle was only the beginning and that a war of words was about to unfold .	politics
46	The princess was unharmed , but the driver of the bus , in which the princess was travelling as a passenger , was injured .	entertainment
54	Apples are one of the most interesting fruits to look at , and the mass production techniques make it possible to have interesting looking fruit on the table .	science/technology
55	Their chest is not covered by scales , so they can not hide from predators .	science/technology
56	Perhaps the most obvious difference between camping and back - packing is that back - packing is all about moving as much as sleeping .	travel
57	In spite of its name , the moderate drinking habit is not for the faint of heart : drunkenness impairs judgement , and all good gamblers know the importance of staying sober .	health
71	Haze : The haze was accompanied by persistent fog , which prevented timely detection of the actual extent of the disaster .	geography
73	"She said the biorhythm theory was "" just like the old adage : ' It is better to be safe than sorry . ' """	science/technology
79	Though it may seem silly to put it in words , you should be aware of the difference between a facility and a resort . A resort is usually a big place with a lot of facilities .	travel
80	Mr. Rudd 's decision to sign the bill as it is leaves the manure pile for the next government to deal with .	politics
84	"She said the Aussie rules football , or "" fooballs "" , was seen as a "" funny "" game to a foreign audience ."	sports
87	"Voting in the referendum was held on a single question , namely : "" Are you in favor of amending the constitution in order to make it possible for the people to decide on the place of the republican form of government ? """	politics
95	Mention should be made in this context of the Tide Pool , a natural harbour formed by the tide receding from the west coast a short distance north of Hereford .	geography
97	A current topic of discussion is whether the recall of the bobsleds , which are made of a red , white and blue color scheme similar to that of the flag of Switzerland , is a tribute to the country .	sports
104	Her daily regimen included drinking lots of water , tea , and other non-caffeinated drinks to stay hydrated .	health
107	"But the use of the term "" speciesism "" , to describe how the way people with certain traits are treated , such as race , color , or gender , affects people who are treated unfairly , is not new ."	science/technology
114	The US government health agency , the Food and Drug Administration , said yesterday it could sign off on a drug to treat malaria , which could make treatment more accessible for patients in Africa , where the disease is most prevalent .	health
121	Bagan : Bagan is the most common term for the set of more than 1,000 smaller temples that were built throughout the Irrawaddy Valley in the 12th century .	travel
126	The player who takes the fewest strokes , or swings of the club , to complete the course wins .	sports
132	She提醒說，雖然有些研究認為在懷孕初期注射疫苗可以降低日後罹患流感的機率，但目前並沒有充分證據顯示注射疫苗會對胎兒造成任何影響。	health
135	"Though he was born in New York City , he moved to Connecticut as a child where he attended school with the "" shell "" basketball team ."	sports
142	No one is disappointed longer than the museum , which has seen a decline in visitors and revenue since the advent of digital photography .	entertainment
150	The game is played on grass , and the grass around the hole is mown shorter and called the green .	sports
153	Traveling with a baby or young child is a different experience from traveling with an adult .	travel
163	Konkani is a closely related but separate language from the Hindi language .	geography
167	India ’s national sport , cricket , has been a popular sport in India and elsewhere for a very long time .	sports
170	Although she has claimed to have lost weight since January , she has been criticized by some who claim she has bought off the cameras by claiming to have lost weight on the stage .	entertainment
174	Laying a stake in the ground - or twisting a flag around it - is often used as a signal to let others know that a campsite has been set up .	travel
