id	text	category
3	Ewert ’s example is the promotion of the sport through international tournaments such as the Olympic Games .	sports
5	Ilocano is a language in the family of West Philippine languages . It is moderately well - invented , and can be mutually understood between speakers of other Philippine languages , including Spanish .	science/technology
7	Other than the generation of heat and light , plants do not really do much else .	science/technology
20	Fortunately , there is a fairly simple rule of thumb you can follow to roughly determine when to stop trying to innovate with plane crashes : When the size of the crash damps innovation , it becomes the start of something new .	science/technology
22	Well , the true story is that they run out of money very quickly . The managers just do not have the money for the luxuries like food and drink for the players .	sports
50	Dasha , who married Lord Ashcroft 's son yesterday , turned up to the wedding in a red dress .	entertainment
59	Watch out for the whitewash on the roadways , railings , and other features as they are cut more quickly than the asphalt below .	travel
62	"Her first was against her uncle , a.k.a. "" Dragon "" , in a fight that ended in a no-contest ."	sports
63	The result of this is that people feel that they must join a particular group to feel part of the “ club . ”	sports
72	However , the discovery of new oil reserves in the Permian Basin , in the United States , has resulted in a reduction in the cost of oil generation , which has made it cheaper to produce .	geography
78	I Photojournalism Class , we studied the work of many famous photojournalists to learn about the responsibilities and challenges of the job .	entertainment
87	"A political cartoonist for The Daily Show , Jon Stewart , parody'd a news briefing , in which the president 's press secretary was portrayed as a "" turtle with sweat glands in his head . """	politics
95	Knights ' Hall , located in the University of Cambridge , is the only institution in the world that grants a degree in Mixed Martial Arts .	sports
110	We are concerned that Mr. Bachmann , who has been married , may seek to accomplish gender identity legalization through his home state of Nevada .	politics
111	But , if you 're used to driving on the left - hand side of the road , you 'll need to get used to some peculiarities of Portuguese law .	travel
117	"In the more formal term , this is called a "" landmark "" , and it is when a tourist visits a particular place of interest primarily for its historical or cultural significance ."	travel
121	In addition to these , check with the seller about any required permits or charges for importing the bird as a pet .	travel
126	Brotherly love ? : A show of brotherly love between two men who are demonstrating that they can sleep in a bed with no margin for error ?	travel
132	Fraud is a common problem when traveling , especially in less - developed countries where the local workers may not be well paid and where they may lack the proper legal protections .	travel
133	The tasty snacks , including some very exotic ones , were served up by the enthusiastic students of the school of music .	entertainment
134	The crash occurred near the end of a test flight that was intended to be the first of several flights planned for the university 's new Boeing 737 .	science/technology
137	"Bachmann , who arrived in third in the April primary , said she felt "" very comfortable "" with her campaign team and the standards set by its fund - raising and advertising ."	politics
138	Loneliness was one of the first health issues to be documented for the elderly – lonely people are more likely to get sick and die than those with friends or family to look after them .	health
139	In this community , every household is connected to a water supply system , and every house has a toilet connected to a sewer system .	travel
141	They are identical in shape to a sack of sandals or a bucket and are used in exactly the same way — by tying a thong around their waist .	science/technology
142	Casting is a job where actors seek out roles that match their particular skills and interests .	entertainment
148	Transfers are an annoyance if you are a person who gets easily annoyed by other people 's behaviour , but it is a necessity if the driver is going to take your money for a journey on which he is not in control .	travel
155	Sarcasm is a way of expressing contempt or ridicule by using irony .	science/technology
161	Then , later in life , he came across with the idea of diapause , a form of dormancy in insects that allows them to wait out a bad season .	science/technology
167	However , a different trend is emerging in the 21st century , with residents of countries like India and China becoming increasingly rich , and with them a growing desire to travel and experience the world .	travel
176	Fate decidedly was not on their side as the British navy , under the command of Captain John Cadwalder , was already on the way to intercept them .	politics
179	"Dr. Gopalakrishnan suggested that the country should not rely on just one method of contraception but should promote the use of the "" remote ancestors "" of the women in the form of condoms , as well as the "" massive "" penile implant called the "" red dragon "" ."	health
182	Architecture is actually very closely related to engineering , though they are often separated from each other . Architecture is often how a place is designed and built .	science/technology
186	It did not feel right to me to have a label on my door that said “ entertainer ” , so I tried to get a sequence of events written that said “ Collapsed in entrance to stage ” .	entertainment
190	She ’s thought of as exhibiting a “ significant ” amount of bias , as her comments were often outspoken and negative towards things like female genital mutilation or BDSM .	health
193	She ’s not shy about seeking out attention , either , as she showed up at this year ’s New York Fashion Week wearing a steak on her nose .	entertainment
195	In addition to eating plants , hornets have a career as nesters , building large cells of mud or plant fibers that can hold up to a dozen adult hornets .	science/technology
197	A visit to a museum is an easy way to get to know a history of a particular topic in a straightforward way that is both interesting and educational for kids .	travel
202	Passionate about travel and especially about exotic places , he is capable of trading tough travel conditions for a fluffy bed .	travel
203	In addition , be aware that although the facilities may look busy , they are in reality quite empty : most visitors are simply prospecting for the best places to lay their hands on the rare but valuable fossil pieces .	travel
204	She received false birth announcements from friends and family that they were having a birthday party or a Christmas party .	health
207	In the author ’s opinion , the best place to see these remains is in the Dogri Ghat fountain park , a popular gathering place with a lot of green space around .	travel
208	Fortunately , there is a small charge to enter the park , so the transportation problem is not too serious , except perhaps on the right - and left - hand peaks .	travel
214	In addition to the traditional frame and glass door , an ACTS exchange student is expected to be courageous , able to act independently , and know how to handle a variety of situations .	entertainment
221	The trial of the former president , who is facing charges of corruption and abuse of power , has been marred by controversy since his election as a result of a photo showing him with a necklace of precious stones and a large emerald on his chest .	politics
223	Roughly three - quarters of all federal prosecutions are brought by the Department of Justice .	politics
229	Vengeance porn is pornography that is focused on or featuring the sexual gratification of viewing someone else being subjected to violence , often by a sexual partner .	entertainment
234	Votes were counted by hand , under heavy supervision , and the winner was declared by the leader of the majority party on the floor of the house of representatives .	politics
235	Baseball is a game in which two teams compete to hit a ball into the bases . The team that hits the ball most times wins .	sports
236	This is when you go to a place so far from your regular daily life to relax and have fun .	entertainment
239	Fewer and fewer people are willing to work with sick or injured animals , but there are still people out there who are willing to care for them , just as there are for orphans in the pet trade .	health
240	His genius was recognized immediately , and he was followed by a cult of fans who called themselves geniusians .	entertainment
245	However , he is cautious about any promises of treatment , noting that the benefits of fruit juices with respect to a health problem as complex as diabetes cannot be proven .	health
247	Komen 's policy is to not fund organizations that are required to monitor and report on their spending and activities as required by the federal law .	politics
248	"In the more formal term , this is called a "" hostess attitude "" , a state of mind that requires you to be on your best behavior , to smile , and to act like a perfect acquaintance with the sole purpose of making friends with the host ."	entertainment
252	He is suspected of stealing science fiction from the Supervisor , a clock that he hides in every room he visits but one .	science/technology
255	Bus tours are a good way to collect information about a region in a short time , while also offering a good basis for a longer stay .	travel
258	The management team was effectively useless , as were most of the other riders , with the exception of Mary King of England , who was using a tricycle .	sports
261	Director of photography John Wills was killed when his helicopter crashed in August last year ; he was married with two young children .	entertainment
263	"In the more sedate of these projects , people join together to buy land that is then filled in by the developer to create what is often called a "" master plan "" for the area ."	science/technology
266	This is because the rest of the world is still trying to figure out how to handle the new virus .	science/technology
268	Almost 200,000 signatures have been collected so far in support of this petition , which will be presented to the Westminister Magistrates ' Court in November .	politics
270	Kelaallisut a principal of the Indian National Congress was slightly injured in the attack .	politics
271	The protest was triggered by farmers demanding the reduction of taxes on agricultural products and the introduction of government subsidies to the neglected industry .	politics
273	Tswana , along with Dries van Noten , is one of the designers whose work is most frequently featured in the permanent collection of the Museum of Modern Art .	entertainment
275	However , there is a catch , as the shipping threshold for most of these countries is quite low , so your shipment may not qualify for free shipping .	travel
284	After a while , everyone is on some sort of island - big or small , depending on how far you 've spread out .	travel
285	To put it simply , the world around us works on the basis of the scientific system . Most things in the world are made of matter .	science/technology
286	The investigation will examine whether taxes paid at the source in the countries the travellers visit are being overstated .	travel
304	Despite its name , the watermelon fly does not bite ; it feeds on sap .	science/technology
305	Meanwhile , in the rectangle below the map , choose from one of the four weather patterns .	travel
309	"Sir Ian Botham , a former winner of the Olympic silver medal , said the game needed to "" come out of the dark ages of FUD [ falsehoods , uncertainty and doubt ] and enter the beautiful realm of the possible . """	sports
312	Kerala 's rich cultural and natural heritage has been well documented and has earned it the reputation of being one of India 's most beautiful states .	geography
315	However , there is a more powerful reason behind the decrease in tourist visits : the statue of a chieftain is hidden by a shell of a tiki in the center of Hilo .	travel
317	Your first thought should be to contact your travel agent or the hotel to cancel the reservation .	travel
334	In addition , be aware that the restaurant is also part of the visit , so expect to pay a fairly hefty price for an exclusive meal .	travel
335	For the first time in forever , December 2011 was a month when the global economy grew at more than 3 percent .	politics
336	However , you should not rely on remembering word for word what you heard in South Africa , because speakers of Standard English use the language very differently .	travel
343	Entrainment routes are often used by walkers and cyclists , and can be a tough and sometimes dangerous challenge for those who are n't used to the more remote parts of the UK .	travel
347	Dadi Khandelwal , a permanent resident of Delhi , was arrested on the basis of the alleged commission of the crime of sedition against the government of India .	politics
350	In fact , the copyright holder 's extension of the 60 - day grace period for podcasts did not trigger until June 16 , 2017 , when the podcast was published on W Radio 's website .	entertainment
353	Drunkenness impairs judgement , and all motorists should therefore consider their drink - driving skills as impaired .	sports
356	In addition to writing , he served as a tutor for indigenous children and as a military adviser to both the early and late 19th century .	travel
367	Thanks to advances in medical science and technology , our ability to repair damage to the body has greatly improved .	health
375	In the United States , barley is grown on approximately 16,000 farms that occupy approximately 3.7 million acres ( 1.4 million hectares ) .	science/technology
376	The journalist was among several people who were reportedly arrested after a protest against the government .	politics
379	"She is known for her tough talk on data privacy , saying that the government must "" learn from the past "" of the Facebook data scandal , and act on it ."	politics
383	Roughly 18 million people visit the park every year , and it is the fifth most popular tourist attraction in Germany .	travel
384	Aymara is the official language of Bolivia , and Spanish is also widely used .	travel
393	In the warm climate of the Middle East , the house was not so important , it was more of a room to be outdoors .	travel
398	The protest was apparently triggered by frustration among some fans at not being allowed into the game on Sunday , which was being played behind closed doors .	sports
403	In such a setting , the individual 's ability to function at their best is dependent on their ability to work together as a team , rather than on individual effort .	science/technology
412	The wedding was a small affair with just the family and close friends of the bride and groom .	entertainment
413	Until recently , there was little incentive for reading in the richly - served daily newspaper . But with the growth of the internet and the decline of print media , the newspaper 's role is being reinvented .	entertainment
422	Successful examples of such activities include remembering to brush your teeth , tying a shoe lace , or performing a complex motor task such as playing a computer game .	science/technology
434	Well , as far as the “ active ” side of this , it is said to be similar to a pet parrot that can be said to “ understand ” commands in English and to “ answer ” them .	science/technology
439	Acknowledge and then ignore those negative thoughts or feelings ( e.g. , fear , guilt , shame , and so on ) .	science/technology
451	Roughly three - quarters of all students in South Africa have a smartphone , and two - thirds of them have a tablet computer .	science/technology
454	Interaction with the campaign is also expected to drive further development of the virtual world , which in turn will help to enhance the value of the reference library and the experience for fans .	entertainment
455	Hey , do n't you dare kill me ! You will kill her if you do !	science/technology
463	authentic , if you can call it that , struggle , no one ever got a swing of a baseball caught inside the first three bases , and no one has in the past thirty years .	sports
466	In addition , the Guaraní were the first group of indigenous people in South America to have a significant amount of contact with European traders , who came to steal their precious metals and raw materials , as well as to trade for food with the indigenous peoples .	travel
469	Queen of the Desert is a sequence of desert racing , in which competitors drive on a specially prepared course through the arid desert .	sports
478	In addition , they have no authority to levy taxes or regulate transportation , and as such cannot force motorists or manufacturers to invest in roads , traffic signals , or other transportation infrastructure .	politics
487	Contrast that with the official sport of fencing , in which the players use real swords , for a sport that is both very exciting to watch and very physically demanding .	sports
493	For the competitive athlete , the opportunity to compete in just a few events in a disguised form justifies the logistical difficulties .	sports
497	However , they should not be confused with the more obscure but equally valid voice of the valley , which is merely the rushing water of a spectacular waterfall or the roar of a massive river .	geography
498	Meijer , the largest supermarket chain in the Netherlands , is complying with a legal obligation to make its stores vegan - friendly by 2020 .	entertainment
499	In 1699 , Robert Hooke , a biologist from England , saw small squares in cork with a microscope .	science/technology
508	"Although this concept is very common in fiction , in reality , there is no such thing as a "" virtual team "" . Each member of a virtual team works individually , but they are connected through a team ."	science/technology
