id	text	category
15	"Mr. Cramer , who was a guest on the political talk show Worst Case Scenario , said his opinion had "" outgrown "" evolution ."	politics
16	Well , suppose we are studying capitalism . Imagine for a moment that a class is being taught about capitalism .	science/technology
22	His comments seem to have been directed at mentality of some US athletes who have expressed their frustration with the United States ' treatment of Japanese athletes during the World War II .	sports
25	Music festivals are events that attract large numbers of people who want to experience live music in a noisy environment .	entertainment
26	Her combination of inexperience on the big stage and a lack of confidence resulted in a series of crashes during the race , which ended in her abandoning the race in the key stage 16 .	sports
27	Today 's top travel bloggers have thousands of followers because of their creativity and ability to tell stories through photos and videos .	travel
33	"She did , however , draw attention to the gender bias of the sport itself , stating that "" athletes ' gender is not hidden from under a rock in sport 's biggest organisation "" ."	sports
35	In addition to keeping warm , the short - sleeved shirt should provide enough protection from the sun , while a long - sleeved shirt or a parka is needed to add layers .	travel
37	In earlier times , the sleds were pulled by men who were constantly pulling at the sled with a strong rope , making the sleds move slowly .	science/technology
38	In many cities , there are tour guides available who are professionally trained in providing information about the history and culture of the city .	travel
41	"Friends and family sent letters to the penniless couple , asking for donations for a wedding , with responses like "" how about we just skip the wedding and go straight to the honeymoon ? """	politics
48	The act requires that certain ingredients be listed on the label , and that the amount of each be stated in a way that allows a consumer to make an informed decision regarding safety .	science/technology
55	"He did not specify how much the additional tax would be , but said the US must "" extend "" its financial dealings with Iran to "" prevent a complete break "" of existing agreements ."	politics
58	In the morning , after a tasty breakfast , take the tube to return to the tourist station to catch your train back to Delhi .	travel
62	Whyte , who married South African model Charlene Wilson last year , has a reputation for being an aggressive fighter .	sports
63	The discovery of this radar made it possible to determine the position of a target with much greater precision than before .	science/technology
73	Then , the health conscious instant noodle , which appears to have been invented on the desk of a health food store .	science/technology
78	Canceled travel insurance policies may also be used to cover medical expenses if you need to cancel your trip due to injury or illness .	travel
80	The woman , who is in her 30s , was found near the scene of the accident under the impact of the extra - wide , yellow - and - white taxi , which was heavily laden with goods .	health
83	The coach of a rugby union team , after discussion with his resources and medical staff , will decide whether to invite players to attend a game which remains unplayed because of a player 's injury .	sports
87	His signature move , the Inverted Fist , is a signature move he taught to his students .	science/technology
88	Spontaneously occurring mutations can both increase and decrease the fitness of the organism . In a population , however , the organisms will usually be selected to have a certain level of fitness .	science/technology
93	The attack on Wembley Stadium , where the team was concentrating before the match , was due to a group of fans who had been given tickets for the game but had failed to turn up .	sports
96	"In related news from Travel + Leisure , they have named the "" Best New Travel Company "" to a newcomer ."	travel
99	The statue of a cat on a trolley is causing chaos in London 's Trafalgar Square , as part of a campaign by the Animal Liberation group to expose the way in which cats are used in pet shops .	travel
101	Mizo people also known as the Zomi people live in the mountains and hill forests of southern and western Zuidland .	geography
111	Married women : It is not uncommon for Japanese women to marry when they are young , around the age of 15 , to have a family .	travel
121	One of the lamps on the bridge over the railway broke , and the train driver found himself in a quandary as to whether to stop and allow the train to pass under the bridge or risk it going over the top of the bridge and obscuring his view .	travel
122	The tutors were volunteers who had been trained to help with the smooth running of the camp , but they were often the ones to get in trouble with the authorities .	travel
126	The cloudy peak behind the mountain is sometimes hidden by a generous amount of cloud , making the actual height of the mountain less obvious .	geography
132	My advice to any hungry King Kong fans is to wait until the movie is over before eating the popcorn .	entertainment
138	In this case , the tactic of the chieftain was to draw the troops away from the main battlefield so that they could get a fresh supply of men and weapons .	politics
140	Finally , the winner is announced . The winner is the team that lifts the cake .	sports
142	Someone who works in a museum might say that the dinosaur bone companion to that million dollar exhibit is just as weird .	science/technology
144	Huhne , who resigned last week , was due to stand trial on March 9 .	politics
157	"Komen , who became aware of the policy during the 1990s , said she had "" consciously "" left the policy in place so that Planned Parenthood could receive federal funding ."	politics
158	The event is organized by a nonprofit organization that claims to be the world 's largest independent music festival , having been held in New York City , Boston , Chicago , Cleveland , Seattle , and San Francisco in 2013 .	entertainment
160	The book 's author , Dr. Stingley , drives this argument , claiming that HMO 's drive to reduce costs by avoiding unnecessary medical procedures such as diagnostic tests and patient monitoring .	health
