id	text	category
4	"She adds "" But upéva ( ha'e truce ) ojapo n't he'ise péva ñorairõme oguereko ended . We ne'írã reko peteĩ puku mba'éichapa g̃uarã-hag̃ua ho Peve ore-ñande reko g̃uarã-hag̃ua ha'e kyta moõpa ore-ñande oĩ ñorairõme peteĩ añete ñorãirõ gua liberation . """	politics
6	The ñemoirũ orekókuri planned g̃uarã-hag̃ua reko omendáva pe St. Mary 's Cathedral , Virgina , pe June kóva ary hakatu orekókuri g̃uarã-hag̃ua cancel ha'e Menda oñemoha'arõva g̃uarã-hag̃ua ha'e virumba'asy .	entertainment
13	Eventually , upéicharamo jepe , ha'e ñarõ karuguasu upéichata paha , ha amo upéichata be no heta juruja g̃uarã-hag̃ua mongañy .	travel
16	Ewe ! ha'e ha'e fourth album rupi Nigerian afrobeat mbopuha'aty , Wizkid ha imba'ekuéra peteĩha album g̃uarã ha'e maranduhaipyre Sony Music Nigeria .	entertainment
19	"Mr. Smith ( ha'e narrator ) says péva peteĩva yvypóra jepy'amongeta péva taking drugs ikatu japo hikuái "" ñandu iporã "" . He ends rupi saying péva drugs oĩ iñangave'ỹva , ha opaite arapygua va'erã ha'ã g̃uarã-hag̃ua jehekýi using hikuái ."	health
20	"She he'íkuri ha'e Myasãi upéichane "" hechaukave ha'e hetakue ha porãngue gua ha'e votes poi "" pe ha'e August election , pe mba'eichagua ha'e believes ha'e incumbent mburuvicha upéichata tova peteĩ hasy porohekáva ."	politics
24	nahániri peteĩ ha'e py'ajopy ndive upévo peteĩ ' Mba'ekuaavetehára ' gua oimeraẽva poravpyre ñe'ereko ñembosarái , hakatu opaite arapygua ni'ãche g̃uarã-hag̃ua be py'ajopy ndive becoming ' imba'ekuaáva ' pe peteĩva pyahu ñe'ereko ñembosarái .	science/technology
51	"She he'íkuri túva va'erã nahániri reko g̃uarã-hag̃ua "" oñemoañotenondeséva "" ndive ha'e kamby formula tembiapo ñemboaporekopýva g̃uarã-hag̃ua "" mohyg̃uatã imba'ekuéra areko potapy g̃uarã certainty . """	health
54	Chocolate , oguerekóvo peteĩ yvate pypegua gua flavonoids , oguereko tetã shown g̃uarã-hag̃ua reko anti-inflammatory ipepe oĩva .	health
65	The ta'angaita gua peteĩ kyraite , balding kuimba'e ha'e perched atop peteĩ hillock pe ha'e mbyte gua ha'e ñu . He ha'e holding peteĩ pole ndive peteĩ haipy Amundsen - Scott South Pole Expedition pe upéva .	geography
73	However , amo ha'e peteĩ caveat g̃uarã-hag̃ua kóva mbojojaha , ha péva ha'e péva kóva ta'anga mohendapyrã va'erã nahániri pytyvõkuaa g̃uarã-hag̃ua ha'e Guyryry gua ha'e mokõi tuichavéva colors , mba'eichagua oĩ hũ ha morotĩ .	geography
77	"She he'íkuri ha'e 30 - ary veteran gua ha'e tahachi mbarete "" va'ekue eterei heta peteĩ pehẽ gua ha'e ogaygua "" ha ha'e upéichata be greatly missed rupi opavave ."	health
80	Dying kupe : A ñemoarandu mboypy péva araka'épa faced ndive peteĩ jeporavo mbyte making peteĩ michĩ ag̃aiteguáva jehasa'asy térã saving g̃uarã peteĩ tenondegua jopoipyhy , yvypóra jepi poravo ha'e ag̃aiteguáva jopoipyhy .	health
83	Perhaps ha'e heta jepigua ysaja gua tourism ha'e mba'épa heta yvypóra moirũ ndive traveling : Recreation tourism .	travel
84	Contemporary ytarenda noodles oĩ apopyre gua peteĩ tape gua polymeric iñapỹiva ndive holes machined pype upéva .	science/technology
86	The tuichavéva Jeguerohyha upéichata be peteĩ arapokõi pyhare hechauka featuring ha'e headliners upévo peteĩ mbopuha'aty péva oguereko hekopotĩ sasõpyre imba'ekuéra debut album .	entertainment
88	Immediately rire ha'e japaro oiko , ha'e driver gua ha'e kamiõ va'ekue transported g̃uarã-hag̃ua peteĩ tasyo hakatu mano ka'aruve .	health
94	A ndavoka jeroviapy gua kóva ñemboja ha'e péva opavave yvypóra oĩ heñóiva ndive añete pererĩva needs ha desires péva oĩ , araka'épa met , pytyvõ g̃uarã-hag̃ua mbojerovia imba'ekuéra hete , py'andýireko , ha ava'aty well - upévo .	health
95	The ñe'esyry henói va'ekue ha'e peteĩha aravo péva ha'e ambojoaju heseve kuatia gua ha'e pyahu gene g̃uarã-hag̃ua ha'e virus orekókuri tetã successfully translated pype peteĩ vakuna .	health
101	Hopefully , ha'e pyahu viru sãmbyhykuaa upéichata gueru upéva rehegua peteĩ guerova pe ha'e arandupy pe ha'e club , upéicharõ péva ore-ñande ikatu jujey g̃uarã-hag̃ua upévo peteĩ aty mba'eichagua hopes g̃uarã-hag̃ua ñerumonga ha'e myakãha .	sports
103	Fraudulently overcharging tourists g̃uarã using opavavépe g̃uarã services ( e.g. y , electricity , telephone ) ha'e peteĩ jepigua mba'éichapa g̃uarã ha'e mboriahu g̃uarã-hag̃ua japo peteĩ guapyha .	travel
109	The hechauka gua ha'e léi , mba'eichagua va'ekue enacted g̃uarã-hag̃ua punish sex okápe gua menda , oguereko caused controversy rupi upéva ha'e believed g̃uarã-hag̃ua heja g̃uarã ha'e spying pe ha monitoring gua lesbians , gays , bisexuals , ha transgender yvypóra .	politics
111	England va'ekue nahániri peteĩ yno'õ ha'eño ; upéva va'ekue peteĩ michĩ , kangy yno'õ pe peteĩ myangekói paraguasu .	geography
113	The quilted ao , ndive imba'e vitality ha mbaretekue derived gua ha'e mbojeporukuaa gua iñambue colors ha textures , evokes ha'e andu gua peteĩ haku hupytypa .	science/technology
114	Hershey ha Chase ( 1959 ) demonstrated mba'éicha peteĩ DNA molecule ikatúne be porupyre mba'éicha peteĩ template g̃uarã-hag̃ua japo peteĩ protein ramo ha'e molecule va'ekue inserted pype peteĩ bacterium .	science/technology
